FlightID,Airline,FlightNumber,Origin,Destination,ScheduledDeparture,ActualDeparture,ScheduledArrival,ActualArrival,DelayMinutes,DelayReason,Cancelled,Diverted,AircraftType,TailNumber,Distance
506346,Delta,5639,JFK,SEA,2024-09-01 15:12:00,2024-09-01 15:32:00,2024-09-01 21:12:00,2024-09-01 21:14:00,2,Maintenance,false,true,Boeing 777,N70360,2555
784173,Southwest,3588,JFK,MIA,2024-09-01 04:00:00,2024-09-01 04:21:00,2024-09-01 05:00:00,2024-09-01 05:29:00,29,Air Traffic Control,false,false,Boeing 777,N59372,2565
442394,United,1245,DFW,JFK,2024-09-01 12:51:00,2024-09-01 13:16:00,2024-09-01 18:51:00,2024-09-01 18:50:00,-1,,true,false,Boeing 737,N61293,2198
075897,United,6448,JFK,SFO,2024-09-01 07:40:00,2024-09-01 08:10:00,2024-09-01 08:40:00,2024-09-01 08:46:00,6,Air Traffic Control,true,true,Boeing 737,N64419,2259
037833,United,4308,ORD,JFK,2024-09-01 12:19:00,2024-09-01 12:22:00,2024-09-01 16:19:00,2024-09-01 16:11:00,-8,,true,false,Boeing 737,N34358,1059
1290513,United,4765,JFK,SEA,2024-09-01 13:24:00,2024-09-01 13:50:00,2024-09-01 17:24:00,2024-09-01 17:18:00,-6,,false,false,Boeing 737,N77672,996
661678,Southwest,1576,ATL,MIA,2024-09-01 13:56:00,2024-09-01 14:13:00,2024-09-01 18:56:00,2024-09-01 18:47:00,-9,,false,false,Boeing 777,N85954,1168
1259014,American Airlines,0896,LAX,JFK,2024-09-01 09:55:00,2024-09-01 10:10:00,2024-09-01 15:55:00,2024-09-01 15:45:00,-10,,true,false,Boeing 737,N50872,1292
1030520,Southwest,8357,JFK,JFK,2024-09-01 07:23:00,2024-09-01 07:39:00,2024-09-01 09:23:00,2024-09-01 09:21:00,-2,,true,true,Airbus A320,N98133,2335
366892,Delta,1232,ATL,JFK,2024-09-01 10:56:00,2024-09-01 11:14:00,2024-09-01 12:56:00,2024-09-01 13:21:00,25,Weather,false,false,Boeing 777,N88673,2860
983713,Southwest,8638,ORD,SFO,2024-09-01 13:15:00,2024-09-01 13:16:00,2024-09-01 15:15:00,2024-09-01 15:11:00,-4,,true,true,Airbus A320,N86209,2261
316673,United,2988,ORD,JFK,2024-09-01 04:22:00,2024-09-01 04:50:00,2024-09-01 05:22:00,2024-09-01 05:35:00,13,Weather,false,false,Airbus A320,N61045,1400
1284666,American Airlines,1224,ORD,BOS,2024-09-01 21:53:00,2024-09-01 22:02:00,2024-09-02 00:53:00,2024-09-02 00:53:00,0,,true,false,Boeing 737,N88996,127
1172469,Southwest,6604,LAX,SEA,2024-09-01 04:46:00,2024-09-01 04:57:00,2024-09-01 08:46:00,2024-09-01 08:54:00,8,Maintenance,true,false,Airbus A320,N98748,549
