id,title,duration,MPA,rating,votes,meta_score,description,movie_link,writers,directors,stars,budget,opening_weekend_gross,gross_worldwide,gross_us_canada,release_date,countries_origin,filming_locations,production_companies,awards_content,genres,languages
tt0335195,Jirochô sangokushi,1h 42m,,6.6,48,,"The tale of real-life Yakuza boss Shimizu Jirocho is told from his earliest beginnings as a gambler on the road as he forms his gang and sets out on the path to fame and fortune. One of the smartest and strongest of all the gang bosses, he went on to survive the end of the samurai era and become a successful businessman. But first, he must survive against all odds in order to build his reputation and develop his strength. Powerful portrayals of the group are led by the great Tsuruta Koji with help from the likes of Matsukata Hiroki.",https://www.imdb.com/title/tt0335195/,"['Masahiro Makino', 'Genzo Murakami', 'Tetsuya Yamanouchi']",['Masahiro Makino'],"['Kôji Tsuruta', 'Yoshiko Sakuma', 'Shingo Yamashiro', 'Hiroki Matsukata', 'Minoru Ôki', 'Haruo Tanaka', 'Masahiko Tsugawa', 'Sumiko Fuji', 'Makoto Fujita', 'Michitarô Mizushima']",,,,,1963-10-20,['Japan'],,['Toei Company'],,"['Action', 'Drama']",['Japanese']
tt0064006,The Alley Cats,1h 23m,,4.8,238,,"A couple about to be married are both having affairs, with women. This campy sex-romp takes place in some European city where everyone appears to be sex crazed and speaks with a different accent.",https://www.imdb.com/title/tt0064006/,['Peter Fernandez'],['Radley Metzger'],"['Anne Arthur', 'Karin Field', 'Sabrina Koch', 'Charlie Hickman', 'Harald Baerow', 'Uta Levka', 'Alexander Allerson', 'Olin Osman', 'Sergio Casmai', 'Christa Roll']",,,,,1968-01-19,['United States'],"['Munich, Bavaria, Germany']","['J.C. Productions', 'Spear Productions']",,['Drama'],['English']
tt0040067,Aag,2h 18m,,7.0,434,,"Failing to move on from his loss of childhood love, a man turns to his passion for theater.",https://www.imdb.com/title/tt0040067/,['Inder Raj Anand'],['Raj Kapoor'],"['Nargis', 'Kamini Kaushal', 'Nigar Sultana', 'Kamal Kapoor', 'Indumati', 'Premnath Malhotra', 'Raj Kapoor', 'Vishwa Mehra', 'Shree Ram', 'Brijmohan']",,,,,1948-08-06,['India'],,['R.K. Films Ltd.'],,"['Musical', 'Romance']",['Hindi']
tt0080129,"When You Comin' Back, Red Ryder?",1h 58m,R,6.9,520,,"Teddy, a troubled Vietnam veteran, has his car break down near a Texas roadside diner. He goes inside and subjects the diners to physical and mental torture.",https://www.imdb.com/title/tt0080129/,['Mark Medoff'],['Milton Katselas'],"['Candy Clark', 'Marjoe Gortner', 'Stephanie Faracy', 'Dixie Harris', 'Anne Ramsey', 'Lee Grant', 'Hal Linden', 'Peter Firth', 'Pat Hingle', 'Bill McKinney']","$1,800,000 (estimated)",,,,1980-02-01,['United States'],"['Las Cruces, New Mexico, USA']",['Melvin Simon Productions'],,['Drama'],['English']
tt0011067,"Colonel Newcombe, the Perfect Gentleman",,,,,,A colonel's son loves a girl who was compromised by a widow's son in a scheme to enforce a rich marriage.,https://www.imdb.com/title/tt0011067/,['William J. Elliott'],['Fred Goodwins'],"['Milton Rosmer', 'Joyce Carey', 'Temple Bell', 'Louis Willoughby', 'May Whitty', 'Fred Morgan', 'Haidee Wright', 'Bobby Andrews', 'Norma Whalley']",,,,,1920-07-17,['United Kingdom'],,['Ideal Films'],,['Drama'],['None']
tt0079709,Penitentiary,1h 39m,R,5.7,1.3K,,"A hitchhiker gets arrested after a biker dies in a fight over a prostitute. In prison, he joins the boxing team to gain dominance and secure early parole from the toughest gang.",https://www.imdb.com/title/tt0079709/,['Jamaa Fanaka'],['Jamaa Fanaka'],"['Leon Isaac Kennedy', ""Wilbur 'Hi-Fi' White"", 'Thomas M. Pollard', 'Hazel Spears', 'Donovan Womack', ""Floyd 'Wildcat' Chatman"", 'Gloria Delaney', 'Badja Djola', 'Chuck Mitchell', 'Cepheus Jaxon']","$100,000 (estimated)",,,,1979-12-17,['United States'],"['Lincoln Heights Jail - 401 N. Avenue 19, Lincoln Heights, Los Angeles, California, USA (jail interior scenes)']",['Jamaa Fanaka Production'],,"['Crime', 'Drama', 'Sport']",['English']
tt8707922,Can You Keep a Secret?,1h 34m,TV-MA,5.4,22K,35.0,"Thinking they're about to crash, Emma spills her secrets to a stranger on a plane. At least, she thought he was a stranger...Until she later meets Jack, her company's young CEO, who now knows every humiliating detail about her. Based on the blockbuster NYT bestseller.",https://www.imdb.com/title/tt8707922/,"['Peter Hutchings', 'Sophie Kinsella']",['Elise Durán'],"['Alexandra Daddario', 'Tyler Hoechlin', 'Sunita Mani', 'David Ebert', 'Kate Easton', 'Robert King', 'James Lipsius', 'Laverne Cox', 'Kimiko Glenn', 'Sam Asghari']",,,"$1,378,160",,2019-09-13,['United States'],,"['BCDF Pictures', 'Big Indie Pictures']",,"['Comedy', 'Romance']",['English']
tt0204030,Violence and Flesh,1h 33m,Unrated,4.5,204,,"Three criminals escape from prison and break in a seaside house to wait for the getaway boat. They subdue four aspirant actresses and three men and rape and torture them. One of the escapees is an idealistic political prisoner that falls in love with Letícia. When the violent Jorge kills a woman camped on the beach, the police investigate the area.",https://www.imdb.com/title/tt0204030/,['Alfredo Sternheim'],['Alfredo Sternheim'],"['Helena Ramos', 'Sonia Garcia', 'Neide Ribeiro', 'Nadia Destro', 'José Lucas', 'Carlos Milani', 'Roque Rodrigues', 'Zécarlos de Andrade', 'André Luiz de Morais', 'Hércules Barbosa']",,,,,1981-05-18,['Brazil'],,['Olympus Filmes'],"Awards, 1 win total","['Crime', 'Horror']",['Portuguese']
tt0104135,Double Trouble,1h 26m,R,4.2,2.2K,,Muscle-bound twins try to smash a jewel smuggling ring.,https://www.imdb.com/title/tt0104135/,"['Jeffrey Kerns', 'Kurt Wimmer', 'Charles Osburn']",['John Paragon'],"['Peter Paul', 'David Paul', 'Roddy McDowall', 'David Carradine', 'Steve Kanaly', 'Troy Donahue', 'A.J. Johnson', 'Bill Mumy', 'James Doohan', 'Collin Bernsen']",,,,,1992-02-14,['United States'],"['5314 Pacific Ave., Marina del Ray, California, USA (on location)']",['Motion Picture Corporation of America (MPCA)'],,"['B-Action', 'Buddy Cop', 'Action', 'Comedy', 'Crime', 'Thriller']",['English']
tt0070447,Submersion of Japan,2h 23m,PG,5.5,556,,"The shorted re-edited American version of Submersion of Japan, in which Japan slowly sinks into the sea as the US and Japan work together to stop it.",https://www.imdb.com/title/tt0070447/,"['Shinobu Hashimoto', 'Sakyô Komatsu', 'Andrew Mayer']","['Shirô Moritani', 'Andrew Mayer']","['Lorne Greene', 'Keiju Kobayashi', 'Rhonda Hopkins', 'Hiroshi Fujioka', 'Tetsurô Tanba', 'Ayumi Ishida', 'Shôgo Shimada', 'John Fujioka', 'Andrew Hughes', 'Nobuo Nakamura']",,,,,1975-05-17,['Japan'],,"['Toho Eizo Co.', 'Toho Pictures', 'Toho']",,"['Disaster', 'Action', 'Drama', 'Sci-Fi', 'Thriller']",['Japanese']
tt0328886,Beauties by Night,1h 40m,,6.7,105,,"A boxer in the twilight of his career is forced to work at a famous night club called ""King Kong"" in order to support his beloved sister.",https://www.imdb.com/title/tt0328886/,"['Víctor Manuel Castro', 'Francisco Cavazos']",['Miguel M. Delgado'],"['Jorge Rivero', 'Sasha Montenegro', 'Carmen Salinas', 'Eduardo de la Peña', 'Mabel Luna', 'Lyn May', 'Pancho Córdova', 'Víctor Manuel Castro', 'Rafael Inclán', 'Gabriela Ríos']",,,,,1977-09-06,['Mexico'],"['Mexico City, Distrito Federal, Mexico']",['Cinematográfica Calderón S.A.'],,"['Comedy', 'Drama', 'Romance']",['Spanish']
tt2239832,Think Like a Man Too,1h 46m,PG-13,5.7,24K,38.0,"All the couples are back for a wedding in Las Vegas, but plans for a romantic weekend go awry when their various misadventures get them into some compromising situations that threaten to derail the big event.",https://www.imdb.com/title/tt2239832/,"['Keith Merryman', 'David A. Newman', 'Steve Harvey']",['Tim Story'],"['Kevin Hart', 'Gabrielle Union', 'Wendi McLendon-Covey', 'La La Anthony', 'Adam Brody', 'Michael Ealy', 'Jerry Ferrara', 'Meagan Good', 'Regina Hall', 'Dennis Haysbert']","$24,000,000 (estimated)","$29,241,911","$70,181,428","$65,182,182",2014-06-20,['United States'],"['Las Vegas, Nevada, USA']","['LStar Capital', 'Media Rights Capital (MRC)', 'Screen Gems']","Awards, 2 wins & 4 nominations total","['Romantic Comedy', 'Comedy', 'Romance']",['English']
tt0038285,Accomplice,1h 8m,Approved,5.2,212,,Private Eye Simon Lash is hired by an old flame to find her missing husband.,https://www.imdb.com/title/tt0038285/,"['Irving Elman', 'Frank Gruber']",['Walter Colmes'],"['Richard Arlen', 'Veda Ann Borg', 'Tom Dugan', 'Archie Twitchell', 'Marjorie Manners', 'Earle Hodgins', 'Francis Ford', 'Edward Earle', 'Herbert Rawlinson', 'Sherry Hall']",,,,,1946-09-29,['United States'],"[""Shea's Castle - 44901 Fairmont Rd, Antelope Valley, California, USA (Exterior)""]",['Producers Releasing Corporation (PRC)'],,"['Film Noir', 'Mystery', 'Thriller']",['English']
tt0110632,Natural Born Killers,1h 59m,R,7.2,259K,74.0,Two victims of traumatized childhoods become lovers and psychopathic serial murderers irresponsibly glorified by the mass media.,https://www.imdb.com/title/tt0110632/,"['Quentin Tarantino', 'David Veloz', 'Richard Rutowski']",['Oliver Stone'],"['Woody Harrelson', 'Juliette Lewis', 'O-Lan Jones', 'Ed White', 'Richard Lineback', 'Lanny Flaherty', 'Carol-Renee Modrall', 'Rodney Dangerfield', 'Edie McClurg', 'Sean Stone']","$34,000,000 (estimated)","$11,166,687","$50,287,182","$50,282,766",1994-08-26,['United States'],"['Gallup, New Mexico, USA']","['Warner Bros.', 'New Regency Productions', 'Alcor Films']","Awards, 5 wins & 10 nominations total","['Dark Comedy', 'Dark Romance', 'Serial Killer', 'Crime', 'Romance']","['English', 'Navajo', 'Japanese']"
tt0064126,The Mafia Wants Blood,1h 36m,R,5.0,275,,"Serge Morgan is a killer working for the American Mafia. After performing a contract in New York for his employers, he takes the plane back to Paris and, during the flight, he gets to know Jane, the rich daughter of an ambassador. Once in Orly Airport he gets seriously wounded by the men of French drug kingpin Henri Emery. He manages to escape them though and takes refuge at Jane's. Passion sets in between the killer and the young lady. As of then, sex will be intertwined with blood and death. For better or worse...",https://www.imdb.com/title/tt0064126/,"['F.S. Gilbert', 'Franz-André Burguet', 'Pierre Koralnik']",['Pierre Koralnik'],"['Serge Gainsbourg', 'Jane Birkin', 'Paul Nicholas', 'Gabriele Ferzetti', 'Paul Albert Krumm', 'Yvette Lebon', 'Curd Jürgens', 'Laurence Badie', 'Rita Renoir', 'Marcel Lupovici']",,,,,1974-12-17,"['France', 'Italy', 'West Germany', 'United States']","['Brooklyn Bridge, New York City, New York, USA']","['Les Films Océanic', 'Euro-France Films', 'Capitole Films']",,"['Action', 'Crime', 'Drama', 'Romance', 'Thriller']",['French']
