index,budget,genres,homepage,id,keywords,original_language,original_title,overview,popularity,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,vote_average,vote_count,cast,director
4315,2600000,Action Adventure Comedy,,13064,sport rollerblade,en,Airborne,"Mitchell Goosen is sixteen/seventeen year old kid from California who loves to surf and roller blade. Yet, his parents, who are two zoologists were given a grant to work in Australia. The only problem was: Mitchell couldn't go with them. So, he gets sent to stay with his aunt, uncle, and cousin in Cincinnati, Ohio. When he arrives, he meets his cousin who is also his new roommate for the next six months: Wiley. Mitchell then goes to school and gets on the bad side the high school hockey players. Mitchell and Wiley end up enduring weeks of torture from the guys. Then, the big guys and Mitchell and Wiley have to learn to get along to try to beat the Central High School rivals in a competition down Devil's Backbone",8.001156,[],"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",1993-09-17,2850263,91.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,There are two kinds of people: those who get AIRBORNE...and those who don't.,Airborne,6.1,20,Shane McDermott Seth Green Brittney Powell Chris Conrad Edie McClurg,Rob Bowman
3869,0,Mystery Drama Crime Thriller,,13551,prostitute fire newspaper independent film woman director,en,The Dead Girl,The clues to a young woman's death come together as the lives of seemingly unrelated people begin to intersect.,3.069605,"[{""name"": ""Lakeshore Entertainment"", ""id"": 126}, {""name"": ""Bruin Grip Services"", ""id"": 5330}, {""name"": ""Pitbull Pictures"", ""id"": 19851}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2006-11-07,0,85.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,One life ends. Seven others begin.,The Dead Girl,6.4,66,Brittany Murphy Toni Collette Rose Byrne Josh Brolin James Franco,Karen Moncrieff
1389,35000000,Comedy Family,http://disney.go.com/olddogs/,22949,japanese camp best friend co-worker kids,en,Old Dogs,"Charlie and Dan have been best friends and business partners for thirty years; their Manhattan public relations firm is on the verge of a huge business deal with a Japanese company. With two weeks to sew up the contract, Dan gets a surprise: a woman he married on a drunken impulse nearly nine years before (annulled the next day) shows up to tell him he's the father of her twins, now seven, and she'll be in jail for 14 days for a political protest. Dan volunteers to keep the tykes, although he's up tight and clueless. With Charlie's help is there any way they can be dad and uncle, meet the kids' expectations, and still land the account?",13.707842999999999,"[{""name"": ""Walt Disney Pictures"", ""id"": 2}, {""name"": ""Tapestry Films"", ""id"": 870}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2009-11-24,92219310,88.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""uk"", ""name"": ""\u0423\u043a\u0440\u0430\u0457\u043d\u0441\u044c\u043a\u0438\u0439""}]",Released,Life is Not Child-Proof.,Old Dogs,5.2,210,Robin Williams John Travolta Seth Green Justin Long Matt Dillon,Walt Becker
1827,25000000,Science Fiction Adventure Action Comedy Family,,1497,crime fighter fight mutant turtle ninja,en,Teenage Mutant Ninja Turtles II: The Secret of the Ooze,"The Turtles and the Shredder battle once again, this time for the last cannister of the ooze that created the Turtles, which Shredder wants to create an army of new mutants.",15.505137,"[{""name"": ""New Line Cinema"", ""id"": 12}, {""name"": ""Golden Harvest Company"", ""id"": 2521}]","[{""iso_3166_1"": ""HK"", ""name"": ""Hong Kong""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",1991-03-22,78000000,88.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,"Cowabunga, it's the new turtle movie.",Teenage Mutant Ninja Turtles II: The Secret of the Ooze,5.8,286,Paige Turco David Warner Michelan Sisti Leif Tilden Kenn Scott,Michael Pressman
3343,7000000,Adventure Action Thriller,http://www.mgm.com/view/movie/1130/Live-and-Let-Die/,253,london england new york bomb england spy,en,Live and Let Die,James Bond must investigate a mysterious murder case of a British agent in New Orleans. Soon he finds himself up against a gangster boss named Mr. Big.,30.465138,"[{""name"": ""United Artists"", ""id"": 60}, {""name"": ""Eon Productions"", ""id"": 7576}, {""name"": ""Danjaq"", ""id"": 10761}]","[{""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}]",1973-07-05,161777836,121.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""hu"", ""name"": ""Magyar""}]",Released,Roger Moore is James Bond.,Live and Let Die,6.4,533,Roger Moore Yaphet Kotto Jane Seymour Clifton James Julius Harris,Guy Hamilton
4198,1000000,Drama Romance,,191714,,hi,Dabba,"A mistaken delivery in Mumbai's famously efficient lunchbox delivery system (Mumbai's Dabbawallahs) connects a young housewife to a stranger in the dusk of his life. They build a fantasy world together through notes in the lunchbox. Gradually, this fantasy threatens to overwhelm their reality.",14.017809,"[{""name"": ""UTV Motion Pictures"", ""id"": 2320}]","[{""iso_3166_1"": ""IN"", ""name"": ""India""}, {""iso_3166_1"": ""FR"", ""name"": ""France""}, {""iso_3166_1"": ""DE"", ""name"": ""Germany""}]",2013-09-19,4235151,104.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""hi"", ""name"": ""\u0939\u093f\u0928\u094d\u0926\u0940""}]",Released,,The Lunchbox,7.3,221,Irrfan Khan Nimrat Kaur Nawazuddin Siddiqui Denzil Smith Bharati Achrekar,Ritesh Batra
723,60000000,Thriller Science Fiction,http://www.thehappeningmovie.com,8645,tree natural disaster crisis park strange behavior,en,The Happening,"When a deadly airborne virus threatens to wipe out the northeastern United States, teacher Elliott Moore (Mark Wahlberg) and his wife (Zooey Deschanel) flee from contaminated cities into the countryside in a fight to discover the truth. Is it terrorism, the accidental release of some toxic military bio weapon -- or something even more sinister? John Leguizamo and Betty Buckley co-star in this thriller from writer-director M. Night Shyamalan.",20.501582,"[{""name"": ""Spyglass Entertainment"", ""id"": 158}, {""name"": ""Twentieth Century Fox Film Corporation"", ""id"": 306}, {""name"": ""Dune Entertainment"", ""id"": 444}, {""name"": ""UTV Motion Pictures"", ""id"": 2320}, {""name"": ""Blinding Edge Pictures"", ""id"": 12236}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}, {""iso_3166_1"": ""IN"", ""name"": ""India""}, {""iso_3166_1"": ""FR"", ""name"": ""France""}]",2008-06-11,163403799,91.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""fr"", ""name"": ""Fran\u00e7ais""}]",Released,We've Sensed It. We've Seen The Signs. Now... It's Happening.,The Happening,4.9,950,Mark Wahlberg Zooey Deschanel John Leguizamo Spencer Breslin Betty Buckley,M. Night Shyamalan
1481,34000000,Family Fantasy Animation Adventure,http://www.nwave.com/films/3d-feature-films/13-films-cat/feature/95-the-house-of-magic-3d,202575,magic 3d,en,The House of Magic,"Thunder, an abandoned young cat seeking shelter from a storm, stumbles into the strangest house imaginable, owned by an old magician and inhabited by a dazzling array of automatons and gizmos. Not everyone welcomes the new addition to the troupe as Jack Rabbit and Maggie Mouse plot to evict Thunder. The situation gets worse when the magician lands in hospital and his scheming nephew sees his chance to cash in by selling the mansion. Our young hero is determined to earn his place and so he enlists the help of some wacky magician's assistants to protect his magical new home.",12.867326,"[{""name"": ""StudioCanal"", ""id"": 694}, {""name"": ""nWave Pictures"", ""id"": 10159}, {""name"": ""Illuminata Pictures"", ""id"": 10160}, {""name"": ""Shout! Factory"", ""id"": 28831}]","[{""iso_3166_1"": ""BE"", ""name"": ""Belgium""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2013-12-24,0,85.0,"[{""iso_639_1"": ""de"", ""name"": ""Deutsch""}, {""iso_639_1"": ""fr"", ""name"": ""Fran\u00e7ais""}, {""iso_639_1"": ""en"", ""name"": ""English""}]",Released,One lost little cat. One magical adventure.,Thunder and the House of Magic,6.3,121,Brianne Siddall Joey Camen Elisa Gabrielli Robin Atkin Downes Shanelle Workman,Ben Stassen
1183,57000000,Action Comedy Crime Romance,,6073,kidnapping pistol,en,The Mexican,"Jerry Welbach, a reluctant bagman, has been given two ultimatums: The first is from his mob boss to travel to Mexico and retrieve a priceless antique pistol, known as ""the Mexican""... or suffer the consequences. The second is from his girlfriend Samantha to end his association with the mob. Jerry figures alive and in trouble with Samantha is better than the more permanent alternative, so he heads south of the border.",21.021809,"[{""name"": ""DreamWorks SKG"", ""id"": 27}, {""name"": ""Newmarket Capital Group"", ""id"": 506}, {""name"": ""Lawrence Bender Productions"", ""id"": 2253}, {""name"": ""Pistolero Productions LLC"", ""id"": 55852}]","[{""iso_3166_1"": ""MX"", ""name"": ""Mexico""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2001-03-01,147845033,123.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""es"", ""name"": ""Espa\u00f1ol""}]",Released,Love with the safety off.,The Mexican,5.8,441,Brad Pitt Julia Roberts James Gandolfini J.K. Simmons Gene Hackman,Gore Verbinski
169,140000000,Action Adventure Science Fiction,http://captainamerica.marvel.com/,1771,new york usa world war ii nazis marvel comic,en,Captain America: The First Avenger,"Predominantly set during World War II, Steve Rogers is a sickly man from Brooklyn who's transformed into super-soldier Captain America to aid in the war effort. Rogers must stop the Red Skull – Adolf Hitler's ruthless head of weaponry, and the leader of an organization that intends to use a mysterious device of untold powers for world domination.",74.50624599999998,"[{""name"": ""Marvel Studios"", ""id"": 420}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2011-07-22,370569774,124.0,"[{""iso_639_1"": ""fr"", ""name"": ""Fran\u00e7ais""}, {""iso_639_1"": ""no"", ""name"": ""Norsk""}, {""iso_639_1"": ""en"", ""name"": ""English""}]",Released,When patriots become heroes,Captain America: The First Avenger,6.6,7047,Chris Evans Hugo Weaving Tommy Lee Jones Hayley Atwell Sebastian Stan,Joe Johnston
