CAMIS,DBA,BORO,BUILDING,STREET,ZIPCODE,PHONE,CUISINE DESCRIPTION,INSPECTION DATE,ACTION,VIOLATION CODE,VIOLATION DESCRIPTION,CRITICAL FLAG,SCORE,GRADE,GRADE DATE,RECORD DATE,INSPECTION TYPE,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA,Location Point1
50117506,AROMI,Brooklyn,552,COURT STREET,11231,3475295752,Italian,2025-07-16,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",Critical,26,,,2025-09-18,Cycle Inspection / Initial Inspection,40.675014778231,-73.99944841929,306,39,006500,3005705,3003820032,BK33,
50000901,NOT RAY'S PIZZERIA,Brooklyn,694,FULTON STREET,11217,7183302400,Pizza,2021-08-25,Violations were cited in the following area(s).,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,34,,,2025-09-18,Cycle Inspection / Initial Inspection,40.686158384876,-73.974096597126,302,35,018100,3335280,3021150001,BK68,
41299322,AMOR CUBANO,Manhattan,2018,3 AVENUE,10029,2129961220,Latin American,2022-02-24,Violations were cited in the following area(s).,10H,Proper sanitization not provided for utensil ware washing operation.,Not Critical,12,A,2022-02-24,2025-09-18,Cycle Inspection / Re-inspection,40.794661070655,-73.942427370666,111,08,017200,1080661,1016380039,MN33,
50107101,MISTA OH,Manhattan,41,WEST   24 STREET,10010,3475379363,Korean,2023-12-01,Violations were cited in the following area(s).,04M,Live roaches in facility's food or non-food area.,Critical,48,,,2025-09-18,Cycle Inspection / Initial Inspection,40.742856869389,-73.990635195605,105,03,005800,1015594,1008260016,MN13,
50032701,KUU,Manhattan,20,JOHN STREET,10038,2125717177,Japanese,2024-01-22,Violations were cited in the following area(s).,02G,Cold TCS food item held above 41 °F; smoked or processed fish held above 38 °F; intact raw eggs held above 45 °F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation.,Critical,15,,,2025-09-18,Cycle Inspection / Initial Inspection,40.709837370946,-74.008876810465,101,01,001502,1001104,1000650022,MN25,
40878231,MOTI'S,Brooklyn,5007,16 AVENUE,11204,7184389833,Jewish/Kosher,2023-02-22,Violations were cited in the following area(s).,08C,"Pesticide not properly labeled or used by unlicensed individual.  Pesticide, other toxic chemical improperly used/stored. Unprotected, unlocked bait station used.",Not Critical,13,A,2023-02-22,2025-09-18,Cycle Inspection / Initial Inspection,40.630359126309,-73.986198128539,312,44,047400,3129383,3054590007,BK88,
50129155,LA MASA,Bronx,3399,EAST TREMONT AVENUE,10461,9177089247,Spanish,2024-11-04,Violations were cited in the following area(s).,04A,Food Protection Certificate (FPC) not held by manager or supervisor of food operations.,Critical,27,,,2025-09-18,Cycle Inspection / Initial Inspection,40.833327800321,-73.828373774921,210,13,018400,2072657,2053090001,BX52,
41632118,JIMMYS PIZZA,Brooklyn,561,WILSON AVENUE,11207,7184553237,Pizza,2023-11-02,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,12,,,2025-09-18,Cycle Inspection / Initial Inspection,40.691269002606,-73.909129163852,304,37,043700,3078860,3034120004,BK77,
50103214,KARAZISHI BOTAN,Brooklyn,255,SMITH STREET,11231,3477631155,Japanese,2022-11-04,Violations were cited in the following area(s).,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical,52,,,2025-09-18,Pre-permit (Operational) / Initial Inspection,40.683172029671,-73.992857414602,306,39,007500,3006695,3004150005,BK33,
50067016,WANISA KITCHEN,Brooklyn,142,SMITH STREET,11201,7185223027,Thai,2025-08-28,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",Critical,17,Z,2025-08-28,2025-09-18,Cycle Inspection / Re-inspection,40.686918462552,-73.990343804873,302,33,004300,3001227,3001930027,BK38,
50007157,BAR PRIMI,Manhattan,325,BOWERY,10003,6464427860,Italian,2023-04-19,Violations were cited in the following area(s).,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical,12,A,2023-04-19,2025-09-18,Cycle Inspection / Re-inspection,40.72574885656,-73.992012202805,103,02,003602,1079109,1004580001,MN22,
50162688,ORA'S MARKET / DOUBLE TREE BY HILTON,Queens,3815,9TH ST,11101,7187070102,American,2025-07-21,Violations were cited in the following area(s).,28-05,"Food adulterated or misbranded. Adulterated or misbranded food possessed, being manufactured, produced, packed, sold, offered for sale, delivered or given away",Not Critical,31,,,2025-09-18,Cycle Inspection / Initial Inspection,40.758708094284,-73.943570338706,401,26,008500,4005399,4004750026,QN68,
50114598,TACO SANTANA DELI,Brooklyn,301,KEAP STREET,11211,3479525093,Mexican,2021-12-16,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140º F.,Critical,7,A,2021-12-16,2025-09-18,Pre-permit (Operational) / Initial Inspection,40.707784199041,-73.955429760295,301,34,052700,3321342,3024620020,BK73,
50045884,TAQUERIA DIANA,Manhattan,524,9 AVENUE,10018,6466844541,Mexican,2022-06-09,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,23,,,2025-09-18,Cycle Inspection / Initial Inspection,40.756608343883,-73.993939589546,104,03,011500,1013674,1007630001,MN15,
50013798,IL MULINO PRIME,Manhattan,331,WEST BROADWAY,10013,2122260020,Steakhouse,2024-07-25,Violations were cited in the following area(s).,20-06,Current letter grade or Grade Pending card not posted,Not Critical,,,,2025-09-18,Administrative Miscellaneous / Initial Inspection,40.722172636494,-74.003925137847,102,01,004700,1002962,1002280022,MN24,
50104077,T-SWIRL CREPE,Queens,3924,BELL BLVD,11361,6463866895,Pancakes/Waffles,2023-01-25,Violations were cited in the following area(s).,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical,33,,,2025-09-18,Cycle Inspection / Initial Inspection,40.764969825868,-73.771721983578,411,19,112300,4137571,4062370118,QN46,
40403419,AIR INDIA LOUNGE,Queens,4,- JFK AIRPORT,,7187514040,Indian,2024-02-07,Violations were cited in the following area(s).,02H,"After cooking or removal from hot holding, TCS food not cooled by an approved method whereby the internal temperature is reduced from 140 °F to 70 °F or less within 2 hours, and from 70 °F to 41 °F or less within 4 additional hours.",Critical,7,A,2024-02-07,2025-09-18,Cycle Inspection / Re-inspection,0.0,0.0,,,,,4,,
41681367,JUMBO CHINESE KITCHEN,Queens,11304,JAMAICA AVENUE,11418,7184415946,Chinese,2023-01-18,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests  in  establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",Critical,19,,,2025-09-18,Cycle Inspection / Initial Inspection,40.697892476017,-73.835492890193,409,29,012400,4194942,4093030002,QN54,
40513164,MCGEE'S PUB,Manhattan,240,WEST   55 STREET,10019,2129573536,Irish,2022-12-06,Violations were cited in the following area(s).,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,22,,,2025-09-18,Cycle Inspection / Initial Inspection,40.764945783499,-73.982751471017,105,03,013700,1024859,1010260054,MN17,
50154816,LIMELIGHT COAL FRIED PIZZA,Manhattan,656,6 AVENUE,10010,6464845665,Pizza,2024-09-24,Violations were cited in the following area(s).,10G,"Dishwashing and ware washing: Cleaning and sanitizing of tableware, including dishes, utensils, and equipment deficient.",Not Critical,39,,,2025-09-18,Pre-permit (Operational) / Initial Inspection,40.741056536619,-73.99412144411,105,03,005400,1080657,1008220001,MN13,
41491097,SUBWAY,Manhattan,716,3 AVENUE,10017,6464904535,Sandwiches,2022-04-29,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,9,A,2022-04-29,2025-09-18,Cycle Inspection / Re-inspection,40.752537631965,-73.973164747889,106,04,009200,1036180,1012990040,MN19,
40591269,STARBUCKS,Manhattan,195,BROADWAY,10007,2123851104,Coffee/Tea,2023-03-24,Violations were cited in the following area(s).,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical,11,A,2023-03-24,2025-09-18,Cycle Inspection / Initial Inspection,40.710529012969,-74.009378280217,101,01,001300,1001227,1000800001,MN25,
50118360,NANA'S WONDERLAND,Queens,4507,248TH ST,11362,9174965332,American,2024-02-27,Violations were cited in the following area(s).,10B,Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.,Not Critical,12,A,2024-02-27,2025-09-18,Pre-permit (Operational) / Re-inspection,40.766709062125,-73.739080700201,411,19,150701,4625396,4082140001,QN45,
50138915,QUEENS BAGEL AND DELICATESSEN,Queens,11520,QUEENS BLVD,11375,7188982020,American,2023-09-19,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 °F.,Critical,35,C,2023-09-19,2025-09-18,Pre-permit (Operational) / Re-inspection,40.716293739706,-73.833791523591,406,29,076902,4079940,4033420037,QN17,
50153838,LUNA CAFE,Bronx,601,EAST  187 STREET,10458,9179154878,Coffee/Tea,2024-07-15,Violations were cited in the following area(s).,04A,Food Protection Certificate (FPC) not held by manager or supervisor of food operations.,Critical,22,,,2025-09-18,Pre-permit (Operational) / Initial Inspection,40.855501494332,-73.887456561445,206,15,038900,2097284,2030770001,BX06,
50171645,EL SABORITO,Queens,1070,CYPRESS AVENUE,11385,3472944894,Mexican,2025-07-23,Violations were cited in the following area(s).,10B,Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.,Not Critical,13,A,2025-07-23,2025-09-18,Pre-permit (Operational) / Initial Inspection,40.696795414956,-73.9006287963,405,34,055900,4085757,4035540059,QN20,
40885315,PATSY'S PIZZERIA,Manhattan,204-206,EAST   60 STREET,10022,2126889707,Pizza,2022-02-08,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,25,,,2025-09-18,Cycle Inspection / Initial Inspection,40.761996838475,-73.965731893844,108,04,011000,1043364,1014140045,MN31,
50121541,NINO'S 46,Manhattan,39,WEST   46 STREET,10036,2127194015,Italian,2025-07-02,Violations were cited in the following area(s).,10B,Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.,Not Critical,47,,,2025-09-18,Cycle Inspection / Initial Inspection,40.756604082261,-73.980382174536,105,04,009600,1034322,1012620019,MN17,
50077108,LA NACIONAL,Manhattan,239,WEST   14 STREET,10011,9172165259,Spanish,2024-02-20,Violations were cited in the following area(s).,02G,Cold TCS food item held above 41 °F; smoked or processed fish held above 38 °F; intact raw eggs held above 45 °F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation.,Critical,13,A,2024-02-20,2025-09-18,Cycle Inspection / Re-inspection,40.739058496307,-74.000873276672,104,03,008100,1013718,1007640018,MN13,
41004067,CHINA SUN,Brooklyn,787,LIBERTY AVENUE,11208,7186472322,Chinese,2024-01-02,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,19,,,2025-09-18,Cycle Inspection / Initial Inspection,40.676739548358,-73.880707623339,305,37,116800,3088431,3039730057,BK82,
40369641,JOHNNY'S REEF RESTAURANT,Bronx,2,CITY ISLAND AVENUE,10464,7188852086,Seafood,2024-10-24,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 °F.,Critical,20,,,2025-09-18,Cycle Inspection / Initial Inspection,40.837664418816,-73.782898935512,210,13,051600,2082394,2056370001,BX10,
50048856,THREE CORNERS CAFE,Manhattan,599,LEXINGTON AVENUE,10022,2125494222,American,2025-05-22,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,4,,,2025-09-18,Cycle Inspection / Initial Inspection,40.758268177392,-73.971054408587,106,04,010000,1036467,1013070023,MN19,
