Company Name,Subindustry,Sub Subindustry,Address,Phone,Website,Borough,Postcode,Latitude,Longitude,Community Board,Community Council ,Census Tract,BIN,BBL,NTA,Location 1
Europa Cafe,Café / Deli,,3 Times Sq,212-239-0160,www.euorpacafe.com,1,10036,40.756376,-73.986713,5,3,119,1024686,1010140033,Midtown-Midtown South                                                      ,"{'latitude': '40.756376', 'needs_recoding': False, 'longitude': '-73.986713', 'human_address': '{""address"":""3 Times Sq"",""city"":"""",""state"":"""",""zip"":""""}'}"
Ranch 1,Quick Serve,Fast Food,832 Eighth Ave,2129561111,,1,10019,40.762444,-73.985983,5,3,131,1024809,1010220002,Midtown-Midtown South                                                      ,"{'latitude': '40.762444', 'needs_recoding': False, 'longitude': '-73.985983', 'human_address': '{""address"":""832 Eighth Ave"",""city"":"""",""state"":"""",""zip"":""""}'}"
Sosa Borella,Full Serve,Argentinian,832 Eighth Ave,(212) 262-8282,http://www.sosaborella.com/,1,10019,40.762444,-73.985983,5,3,131,1024809,1010220002,Midtown-Midtown South                                                      ,"{'latitude': '40.762444', 'needs_recoding': False, 'longitude': '-73.985983', 'human_address': '{""address"":""832 Eighth Ave"",""city"":"""",""state"":"""",""zip"":""""}'}"
Mi Nidito (Cantina Mexicana),Full Serve,Mexican,852 Eighth Ave,(212) 265-0022,,1,10019,40.763128,-73.985481,5,3,131,1081646,1010230002,Midtown-Midtown South                                                      ,"{'latitude': '40.763128', 'needs_recoding': False, 'longitude': '-73.985481', 'human_address': '{""address"":""852 Eighth Ave"",""city"":"""",""state"":"""",""zip"":""""}'}"
Starbucks,Coffee,,"871-879 Eighth Ave, Suite# 871",2122467699,www.starbucks.com,1,10019,40.763644,-73.985134,4,3,133,1025257,1010437501,Clinton                                                                    ,"{'latitude': '40.763644', 'needs_recoding': False, 'longitude': '-73.985134', 'human_address': '{""address"":""871-879 Eighth Ave, Suite# 871"",""city"":"""",""state"":"""",""zip"":""""}'}"
China Gourmet,Full Serve,Chinese,877 Eighth Ave,(212) 246-8181,,1,10019,40.763789,-73.985026,4,3,133,1025257,1010437501,Clinton                                                                    ,"{'latitude': '40.763789', 'needs_recoding': False, 'longitude': '-73.985026', 'human_address': '{""address"":""877 Eighth Ave"",""city"":"""",""state"":"""",""zip"":""""}'}"
Rino Trattoria,Full Serve,Italian,877 Eighth Ave,(212) 307-0666,www.rinotrattoria.com,1,10019,40.763789,-73.985026,4,3,133,1025257,1010437501,Clinton                                                                    ,"{'latitude': '40.763789', 'needs_recoding': False, 'longitude': '-73.985026', 'human_address': '{""address"":""877 Eighth Ave"",""city"":"""",""state"":"""",""zip"":""""}'}"
Laxmi Corp. Newsstand,Café / Deli,,879 Eighth Ave,,,1,10019,40.763839,-73.98499,4,3,133,1025257,1010437501,Clinton                                                                    ,"{'latitude': '40.763839', 'needs_recoding': False, 'longitude': '-73.98499', 'human_address': '{""address"":""879 Eighth Ave"",""city"":"""",""state"":"""",""zip"":""""}'}"
Caffe Cielo,Full Serve,Italian,881 Eighth Ave,212 246-9555,,1,10019,40.763885,-73.984954,4,3,133,1025323,1010437502,Clinton                                                                    ,"{'latitude': '40.763885', 'needs_recoding': False, 'longitude': '-73.984954', 'human_address': '{""address"":""881 Eighth Ave"",""city"":"""",""state"":"""",""zip"":""""}'}"
Cosmic Diner,Full Serve,Diner,888 Eighth Ave,212 333-5888,,1,10019,40.764072,-73.984791,5,3,131,1024825,1010240001,Midtown-Midtown South                                                      ,"{'latitude': '40.764072', 'needs_recoding': False, 'longitude': '-73.984791', 'human_address': '{""address"":""888 Eighth Ave"",""city"":"""",""state"":"""",""zip"":""""}'}"
Brasserie Athena,Full Serve,French,300 W 46th St,(212) 399-1100,,1,10036,40.759963,-73.988355,4,3,121,1081654,1010360036,Clinton                                                                    ,"{'latitude': '40.759963', 'needs_recoding': False, 'longitude': '-73.988355', 'human_address': '{""address"":""300 W 46th St"",""city"":"""",""state"":"""",""zip"":""""}'}"
The House of Brews,Full Serve,American,302 W 51st St,,http://www.houseofbrewsny.com/,1,10019,40.763037,-73.985958,4,3,133,1025175,1010410037,Clinton                                                                    ,"{'latitude': '40.763037', 'needs_recoding': False, 'longitude': '-73.985958', 'human_address': '{""address"":""302 W 51st St"",""city"":"""",""state"":"""",""zip"":""""}'}"
Seasons,Full Serve,American,888 Eighth Ave,(212) 586-2257,,1,10019,40.764072,-73.984791,5,3,131,1024825,1010240001,Midtown-Midtown South                                                      ,"{'latitude': '40.764072', 'needs_recoding': False, 'longitude': '-73.984791', 'human_address': '{""address"":""888 Eighth Ave"",""city"":"""",""state"":"""",""zip"":""""}'}"
World of Nuts and Ice Cream,Quick Serve,Dessert,888 Eighth Ave,(212) 245-0398,www.worldofnutsandicecream.com,1,10019,40.764072,-73.984791,5,3,131,1024825,1010240001,Midtown-Midtown South                                                      ,"{'latitude': '40.764072', 'needs_recoding': False, 'longitude': '-73.984791', 'human_address': '{""address"":""888 Eighth Ave"",""city"":"""",""state"":"""",""zip"":""""}'}"
