Contravention Date,Contravention In Last 7 Days,Ticket Type,Ticket Description,Contravention Code,Contravention Code Suffix,Contravention Code Description,Ticket Issued Via CCTV Camera,Controlled Parking Zone Area,Street,Vehicle Category,Vehicle Removed,Status Of Case,Charging Band Description,Civil Enforcement Officer Error,Penalty Charge Notice Cancelled,Penalty Charge Notice Written Off,Cancellation Reason,Foreign Vehicle,Country Vehicle Registered To,Has Appeal,Formal Representation,Ward Code,Ward Name,Easting,Northing,Longitude,Latitude,Location,Spatial Accuracy,Last Uploaded,Socrata ID
29/11/2014,No,CCTV TMA,CCTV Parking Contravention,25J,J,Parked in a loading place or bay during restricted hours without loading camera enforcement,Yes,CA-E,CHARLOTTE STREET W1,(Private) Car,No,Paid/Closed,Band A (Higher),No,No,No,,No,United Kingdom,No,No,,,,,,,,Unknown,31/12/2017 01:44:29 AM,153723
20/05/2014,No,MTC,Moving Traffic Contravention,50L,L,Performing a prohibited turn (no left turn),Yes,CA-D,PHOENIX PLACE WC1,Large Van,No,Paid/Closed,Band A (Higher),No,No,No,,No,United Kingdom,No,No,,,,,,,,Unknown,31/12/2017 01:47:36 AM,173477
19/09/2014,No,MTC,Moving Traffic Contravention,50R,R,Performing a prohibited turn (no right turn),Yes,CA-E,MALET STREET WC1,Taxi,No,WrittenOff,Band A (Higher),No,No,Yes,Write Off,No,United Kingdom,No,No,E05000129,Bloomsbury,529724,182109,-0.131537,51.523008,"(51.523008, -0.131537)",Fixed CCTV Camera,31/12/2017 01:58:09 AM,322216
17/09/2014,No,O/S TMA,On Street Contravention,06,,Parked without clearly displaying a valid pay & display ticket or voucher,No,CA-B,BELSIZE TERRACE NW3,(Private) Car,No,Paid/Closed,Band A (Lower),No,No,No,,No,United Kingdom,No,No,,,,,,,,Unknown,31/12/2017 01:36:35 AM,68647
12/06/2014,No,MTC,Moving Traffic Contravention,52M,M,Failing to comply with a prohibition on certain types of vehicle (no motor vehicles),Yes,CA-L,GRAFTON ROAD NW5,(Private) Car,No,Paid/Closed,Band A (Higher),No,No,No,,No,United Kingdom,No,No,,,,,,,,Unknown,31/12/2017 01:48:51 AM,206614
15/11/2014,No,O/S TMA,On Street Contravention,05P,P,Parked after the expiry of paid for time - Pay & display,No,CA-E,HUNTLEY STREET WC1,(Private) Car,No,Paid/Closed,Band A (Lower),No,No,No,,No,United Kingdom,No,No,,,,,,,,Unknown,31/12/2017 01:34:45 AM,42843
23/08/2014,No,BUS,Bus Lane Contravention,34J,J,Being in a bus lane - camera enforcement,Yes,CA-C,SOUTHAMPTON ROW (CA-C) WC1,(Private) Car,No,Paid/Closed,Band A (Higher),No,No,No,,No,United Kingdom,No,Yes,E05000138,Holborn and Covent Garden,530476,181683,-0.120861,51.519006,"(51.519006, -0.120861)",Fixed CCTV Camera,31/12/2017 02:11:42 AM,493109
12/07/2014,No,O/S TMA,On Street Contravention,05U,U,Parked after the expiry of paid for time mobile phone parking,No,CA-C,DRURY LANE WC2,(Private) Car,No,Paid/Closed,Band A (Lower),No,No,No,,No,United Kingdom,No,No,,,,,,,,Unknown,31/12/2017 01:35:30 AM,53047
23/01/2015,No,O/S TMA,On Street Contravention,01,,Parked in a restricted street during prescribed hours,No,CA-M,BURGHLEY ROAD NW5,(Private) Car,No,Paid/Closed,Band A (Higher),No,No,No,,No,United Kingdom,No,No,,,,,,,,Unknown,31/12/2017 01:31:51 AM,16821
26/12/2014,No,CCTV TMA,CCTV Parking Contravention,62J,J,Parked with one or more wheels on or over a footpath or any part of a road other than a carriageway - camera enforcement,Yes,CA-C,GREAT RUSSELL STREET WC1,(Private) Car,No,Paid/Closed,Band A (Higher),No,No,No,,No,United Kingdom,No,No,,,,,,,,Unknown,31/12/2017 01:49:48 AM,217441
