PermitNum,PermitClass,PermitClassMapped,PermitTypeMapped,PermitTypeDesc,Description,HousingUnits,HousingUnitsRemoved,HousingUnitsAdded,EstProjectCost,AppliedDate,IssuedDate,ExpiresDate,CompletedDate,StatusCurrent,OriginalAddress1,OriginalCity,OriginalState,OriginalZip,ContractorCompanyName,Link,Latitude,Longitude,Location1
6670149-EX,N/A,N/A,Building,,,,,,,2018-05-24,,,,Withdrawn,,,,,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6670149-EX,,,
6713901-CN,N/A,N/A,Building,,,,,,,,,,,Additional Info Requested,,,,,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6713901-CN,,,
6089473-CN,N/A,N/A,Building,,,,,,,,,,,Closed,5270 RAINIER AVE S,SEATTLE,WA,98118,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6089473-CN,47.55455574,-122.28141663,"5270 RAINIER AVE S
SEATTLE, WA 98118
(47.55455574, -122.28141663)"
6709760-CN,N/A,N/A,Building,,,,,,,,,,,Additional Info Requested,,,,,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6709760-CN,,,
6716225-CN,N/A,N/A,Building,,,,,,,,,,,Additional Info Requested,,,,,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6716225-CN,,,
6107736-CN,N/A,N/A,Building,,,,,,,,,,,Closed,2425 NW 54TH ST,SEATTLE,WA,98107,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6107736-CN,47.66729907,-122.38830441,"2425 NW 54TH ST
SEATTLE, WA 98107
(47.66729907, -122.38830441)"
6686434-CN,N/A,N/A,Building,,,,,,,,,,,Additional Info Requested,,,,,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6686434-CN,,,
6709758-CN,N/A,N/A,Building,,,,,,,,,,,Additional Info Requested,,,,,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6709758-CN,,,
6698098-CN,N/A,N/A,Building,,,,,,,,,,,Additional Info Requested,,,,,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6698098-CN,,,
6356139-CN,N/A,N/A,Building,,,,,,,,,,,Closed,1600 E JEFFERSON ST,SEATTLE,WA,98122,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6356139-CN,47.60649299,-122.31122887,"1600 E JEFFERSON ST
SEATTLE, WA 98122
(47.60649299, -122.31122887)"
6670343-CN,N/A,N/A,Building,,,,,,,,,,,Additional Info Requested,,,,,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6670343-CN,,,
6670226-CN,N/A,N/A,Building,,,,,,,,,,,Additional Info Requested,,,,,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6670226-CN,,,
6691470-DM,N/A,N/A,Demolition,,,,,,,,,,,Additional Info Requested,,,,,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6691470-DM,,,
6356262-CN,N/A,N/A,Building,,,,,,,,,,,Closed,7810 5TH AVE NE,SEATTLE,WA,98115,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6356262-CN,47.68584148,-122.32273754,"7810 5TH AVE NE
SEATTLE, WA 98115
(47.68584148, -122.32273754)"
6691604-CN,N/A,N/A,Building,,,,,,,,,,,Additional Info Requested,,,,,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6691604-CN,,,
6665871-CN,N/A,N/A,Building,,,,,,,,,,,Additional Info Requested,,,,,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6665871-CN,,,
