RegistrationNum,RegisteredTypeMapped,RegisteredTypeDesc,RentalHousingUnits,PropertyName,RegisteredDate,ExpiresDate,StatusCurrent,OriginalAddress1,OriginalCity,OriginalState,OriginalZip,PropertyContactName,Link,Latitude,Longitude,Location1
001-0139571,Rental Property,Registration,1,"12038 ?Roosevelt ?Way ?NE, ?Unit B, Seattle, ?WA",2020-04-19,2022-04-19,Active Registration,12038 B ROOSEVELT WAY NE,SEATTLE,WA,98125,Davis Feng,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=001-0139571,47.71697663,-122.31782407,"12038 B ROOSEVELT WAY NE
SEATTLE, WA 98125
(47.71697663, -122.31782407)"
001-0127418,Rental Property,Registration,1,,2016-10-11,2021-10-11,Active Registration,9202 37TH AVE S,SEATTLE,WA,98118,Misty watson,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=001-0127418,47.52123332,-122.28570502,"9202 37TH AVE S
SEATTLE, WA 98118
(47.52123332, -122.28570502)"
001-0127982,Rental Property,Registration,1,,2016-11-07,2021-11-07,Active Registration,812 NE 70TH ST,SEATTLE,WA,98115,Vicki Seelig,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=001-0127982,47.67968093,-122.31918141,"812 NE 70TH ST
SEATTLE, WA 98115
(47.67968093, -122.31918141)"
001-0127038,Rental Property,Registration,1,,2016-10-01,2021-10-01,Active Registration,5209 33RD AVE S,SEATTLE,WA,98118,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=001-0127038,47.554995,-122.29084164,"5209 33RD AVE S
SEATTLE, WA 98118
(47.554995, -122.29084164)"
001-0128778,Rental Property,Registration,1,,2016-12-07,2021-12-07,Active Registration,2312 NE 91ST ST,SEATTLE,WA,98115,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=001-0128778,47.69508472,-122.30358705,"2312 NE 91ST ST
SEATTLE, WA 98115
(47.69508472, -122.30358705)"
001-0104321,Rental Property,Registration,5,,2020-02-03,2022-03-17,Active Registration,1419 N NORTHGATE WAY,SEATTLE,WA,98133,Barrick Benson,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=001-0104321,47.70482851,-122.33984793,"1419 N NORTHGATE WAY
SEATTLE, WA 98133
(47.70482851, -122.33984793)"
001-0100877,Rental Property,Registration,10,,2019-07-17,2021-09-11,Active Registration,10737 GREENWOOD AVE N,SEATTLE,WA,98133,Carl Pedersen,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=001-0100877,47.7080609,-122.35590598,"10737 GREENWOOD AVE N
SEATTLE, WA 98133
(47.7080609, -122.35590598)"
001-0139399,Rental Property,Registration,1,,2020-03-17,2022-03-17,Active Registration,3203 S LANE ST,SEATTLE,WA,98144,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=001-0139399,47.59645579,-122.29111998,"3203 S LANE ST
SEATTLE, WA 98144
(47.59645579, -122.29111998)"
001-0120823,Rental Property,Registration,1,Magnolia Townhome,2016-05-18,2021-05-18,Active Registration,3413 A 21ST AVE W,SEATTLE,WA,98199,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=001-0120823,47.65073664,-122.3839214,"3413 A 21ST AVE W
SEATTLE, WA 98199
(47.65073664, -122.3839214)"
001-0137638,Rental Property,Registration,1,Yamaguchi,2019-10-06,2021-10-06,Active Registration,3644 B 36TH AVE S,SEATTLE,WA,98144,Kathy Entrop,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=001-0137638,47.570196,-122.28809569,"3644 B 36TH AVE S
SEATTLE, WA 98144
(47.570196, -122.28809569)"
