Transaction ID,Meter Code,Transaction DateTime,Payment Mean,Amount Paid,Duration In Minutes,Blockface Name,Side Of Street,Element key,Parking Space Number,Latitude,Longitude
914087488,19120010,12/09/2020 04:53:00 AM,CREDIT CARD,4.00,480,FAIRVIEW AVE N BETWEEN JOHN ST AND THOMAS ST,E,33146,,47.62024125,-122.33419944
914087562,19127010,12/09/2020 04:54:00 AM,CREDIT CARD,3.25,390,EASTLAKE AVE E BETWEEN WARD ST AND PROSPECT ST,W,120102,,47.62823632,-122.32938631
914087571,4081002,12/09/2020 04:55:00 AM,CREDIT CARD,1.00,120,COLUMBIA ST BETWEEN 4TH AVE AND 5TH AVE,SE,9770,,47.6048449,-122.33100429
914087639,5087002,12/09/2020 04:55:00 AM,CASH,1.00,120,SENECA ST BETWEEN 5TH AVE AND 6TH AVE,NW,58081,,47.60825757,-122.33263214
914087641,5058102,12/09/2020 04:55:00 AM,CREDIT CARD,0.75,90,UNIVERSITY ST BETWEEN 3RD AVE AND 4TH AVE,NW,13185,,47.60806691,-122.33548167
914087665,5003002,12/09/2020 04:56:00 AM,CREDIT CARD,1.00,120,UNIVERSITY ST BETWEEN 1ST AVE AND 2ND AVE,NW,58493,,47.60710524,-122.33768158
914087713,19402010,12/09/2020 04:56:00 AM,CREDIT CARD,2.75,330,MERCER ST BETWEEN MERCER SR ST AND MINOR AVE N,S,121340,,47.62422099,-122.33342324
914087848,19374010,12/09/2020 04:58:00 AM,PHONE,2.98,358,MERCER NR ST BETWEEN 8TH AVE N AND 9TH AVE N,N,130793,,47.62467469,-122.34044917
914087999,19154010,12/09/2020 04:59:00 AM,PHONE,0.99,119,VALLEY ST BETWEEN FAIRVIEW AVE N AND MINOR AVE N,S,81246,,47.62587776,-122.33348049
914088028,19233010,12/09/2020 05:00:00 AM,PHONE,3.50,420,8TH AVE N BETWEEN ALOHA ST AND WESTLAKE S AVE N,W,53549,,47.62820088,-122.34111554
914088030,4020002,12/09/2020 04:59:00 AM,CREDIT CARD,1.00,120,COLUMBIA ST BETWEEN 3RD AVE AND 4TH AVE,SE,77610,,47.60437894,-122.332118
914088057,21148004,12/09/2020 04:59:00 AM,CREDIT CARD,2.50,240,9TH AVE BETWEEN VIRGINIA ST AND LENORA ST,NE,53806,,47.61680818,-122.33632144
914088094,19369010,12/09/2020 05:00:00 AM,CREDIT CARD,3.00,360,VALLEY ST BETWEEN TERRY AVE N AND LAKE UNION PARK ACCESS RD,S,81242,,47.62564256,-122.33666877
914088175,19361010,12/09/2020 05:01:00 AM,PHONE,3.51,421,MERCER SR ST BETWEEN TERRY AVE N AND BOREN AVE N,S,11782,,47.62447169,-122.33659908
914088217,19374010,12/09/2020 05:01:00 AM,PHONE,3.51,421,MERCER NR ST BETWEEN 8TH AVE N AND 9TH AVE N,N,130793,,47.62467469,-122.34044917
914088218,17067004,12/09/2020 05:01:00 AM,PHONE,2.00,240,QUEEN ANNE AVE N BETWEEN HARRISON ST AND REPUBLICAN ST,E,12286,,47.62267722,-122.35663954
914088242,19360010,12/09/2020 05:01:00 AM,PHONE,3.30,396,MERCER SR ST BETWEEN WESTLAKE AVE N AND TERRY AVE N,S,11778,,47.62446799,-122.33783456
914088315,19146010,12/09/2020 05:02:00 AM,PHONE,3.02,362,MINOR AVE N BETWEEN VALLEY ST AND ALOHA ST,E,34518,,47.6264104,-122.33247238
914088408,1048002,12/09/2020 05:02:00 AM,CREDIT CARD,1.00,120,1ST AVE S BETWEEN S KING ST AND RAILROAD N WAY S,W,46409,,47.59737065,-122.33432548
914088479,1047002,12/09/2020 05:03:00 AM,CREDIT CARD,1.00,120,1ST AVE S BETWEEN S KING ST AND RAILROAD N WAY S,E,46410,,47.5973651,-122.33405798
914088484,2502004,12/09/2020 05:03:00 AM,PHONE,0.52,63,ELLIOTT AVE BETWEEN BATTERY ST AND WALL ST,NE,10214,,47.61312816,-122.3499266
914088564,4074002,12/09/2020 05:04:00 AM,PHONE,0.53,64,MARION ST BETWEEN 4TH AVE AND 5TH AVE,NW,11665,,47.60567221,-122.33170659
914088668,1048002,12/09/2020 05:05:00 AM,CREDIT CARD,1.00,120,1ST AVE S BETWEEN S KING ST AND RAILROAD N WAY S,W,46409,,47.59737065,-122.33432548
914088903,19105010,12/09/2020 05:06:00 AM,CREDIT CARD,5.00,600,MINOR AVE N BETWEEN THOMAS ST AND HARRISON ST,W,34505,,47.62139739,-122.33309119
914088913,4016202,12/09/2020 05:06:00 AM,CREDIT CARD,1.00,120,CHERRY ST BETWEEN 4TH AVE AND 5TH AVE,NW,94651,,47.6042352,-122.33045145
914089105,19323010,12/09/2020 05:09:00 AM,CREDIT CARD,4.00,480,9TH AVE N BETWEEN DENNY WAY AND JOHN ST,E,31310,,47.61912274,-122.33968381
914089224,5023002,12/09/2020 05:10:00 AM,CREDIT CARD,1.00,120,6TH AVE BETWEEN UNION ST AND PIKE ST,SW,75781,,47.61061354,-122.33409932
914089286,18001007,12/09/2020 05:10:00 AM,CREDIT CARD,0.25,30,WESTLAKE EAST RDWY AVE N BETWEEN ALOHA ST AND WESTLAKE SHORE RDWY AVE N,SW,36157,353,47.62803577,-122.34014157
914089446,21138004,12/09/2020 05:12:00 AM,CREDIT CARD,2.50,240,6TH AVE BETWEEN BLANCHARD ST AND BELL ST,SW,53125,,47.61624342,-122.34164254
914089456,19145010,12/09/2020 05:12:00 AM,PHONE,3.10,372,MINOR AVE N BETWEEN ROY ST AND VALLEY ST,W,57201,,47.62552645,-122.33266709
914089459,10361004,12/09/2020 05:11:00 AM,CREDIT CARD,2.00,240,VINE ST BETWEEN 5TH AVE AND DENNY WAY,SE,13298,,47.61819148,-122.34572231
914089484,19254010,12/09/2020 05:12:00 AM,CREDIT CARD,4.00,480,VALLEY ST BETWEEN DEXTER AVE N AND 8TH AVE N,N,35881,,47.62632754,-122.34168272
914089542,10346004,12/09/2020 05:12:00 AM,CREDIT CARD,2.00,240,5TH AVE BETWEEN BELL ST AND BATTERY ST,NE,52526,,47.61647857,-122.3436466
914089556,19272010,12/09/2020 05:12:00 AM,CREDIT CARD,3.00,360,JOHN ST BETWEEN 7TH NB AVE N AND DEXTER AVE N,N,56349,,47.61980442,-122.34299816
914089724,17060004,12/09/2020 05:14:00 AM,CREDIT CARD,2.00,240,1ST AVE W BETWEEN W HARRISON ST AND W REPUBLICAN ST,E,46458,,47.62269437,-122.3579536
914089778,21091004,12/09/2020 05:15:00 AM,CREDIT CARD,2.50,240,9TH AVE BETWEEN VIRGINIA ST AND LENORA ST,SW,53805,,47.61672619,-122.33644763
914089834,19146010,12/09/2020 05:15:00 AM,CREDIT CARD,5.00,600,MINOR AVE N BETWEEN VALLEY ST AND ALOHA ST,E,34518,,47.6264104,-122.33247238
914089845,19094010,12/09/2020 05:15:00 AM,CREDIT CARD,5.00,600,MINOR AVE N BETWEEN JOHN ST AND THOMAS ST,W,34501,,47.62023889,-122.33308446
914089875,19208010,12/09/2020 05:15:00 AM,CREDIT CARD,3.00,360,THOMAS ST BETWEEN BOREN AVE N AND FAIRVIEW AVE N,S,13138,,47.62078405,-122.33510817
914090191,17017002,12/09/2020 05:18:00 AM,CASH,1.00,120,QUEEN ANNE AVE N BETWEEN MERCER ST AND ROY ST,E,12290,,47.62501138,-122.35660058
914090255,19020002,12/09/2020 05:19:00 AM,CREDIT CARD,1.00,120,YALE AVE N BETWEEN JOHN ST AND THOMAS ST,E,13794,,47.62024049,-122.33031902
914090300,19145010,12/09/2020 05:20:00 AM,CREDIT CARD,2.75,330,MINOR AVE N BETWEEN ROY ST AND VALLEY ST,W,57201,,47.62552645,-122.33266709
914090344,19222010,12/09/2020 05:20:00 AM,CREDIT CARD,5.00,600,8TH AVE N BETWEEN ALOHA ST AND WESTLAKE S AVE N,E,53550,,47.62817888,-122.34086055
914090424,17154010,12/09/2020 05:21:00 AM,CREDIT CARD,3.25,390,6TH AVE N BETWEEN JOHN ST AND THOMAS ST,E,53138,,47.62031408,-122.34484504
914090450,17154010,12/09/2020 05:22:00 AM,CREDIT CARD,3.00,360,6TH AVE N BETWEEN JOHN ST AND THOMAS ST,E,53138,,47.62031408,-122.34484504
914090451,4065002,12/09/2020 05:22:00 AM,CREDIT CARD,1.00,120,5TH AVE BETWEEN MARION ST AND MADISON ST,NE,7250,,47.60621283,-122.33137792
914090509,5518002,12/09/2020 05:23:00 AM,CREDIT CARD,1.00,120,UNION ST BETWEEN 4TH AVE AND 5TH AVE,SE,35798,,47.60939858,-122.33515851
914090536,19017002,12/09/2020 05:23:00 AM,CREDIT CARD,0.25,30,YALE AVE N BETWEEN STEWART ST AND JOHN ST,E,13790,,47.61923507,-122.3303422
914090577,19503010,12/09/2020 05:24:00 AM,PHONE,2.87,344,FAIRVIEW AVE N BETWEEN WARD ST AND YALE AVE N,NW,78269,,47.62826906,-122.33159069
914090579,5518002,12/09/2020 05:23:00 AM,CREDIT CARD,1.00,120,UNION ST BETWEEN 4TH AVE AND 5TH AVE,SE,35798,,47.60939858,-122.33515851
914097880,19047002,12/09/2020 06:26:00 AM,CREDIT CARD,0.25,30,THOMAS ST BETWEEN FAIRVIEW AVE N AND MINOR AVE N,N,58453,,47.62089482,-122.33361805
914097891,18008007,12/09/2020 06:26:00 AM,PHONE,3.50,60,WESTLAKE EAST RDWY AVE N BETWEEN GALER ST AND WESTLAKE SHORE RDWY 1 AVE N,W,13577,533,47.63302149,-122.34057928
914097918,1061002,12/09/2020 06:26:00 AM,CASH,1.00,120,YESLER WAY BETWEEN WESTERN AVE AND POST AVE,S,13810,,47.60167339,-122.33524263
914097941,19120010,12/09/2020 06:26:00 AM,CREDIT CARD,4.00,480,FAIRVIEW AVE N BETWEEN JOHN ST AND THOMAS ST,E,33146,,47.62024125,-122.33419944
914097961,19308002,12/09/2020 06:26:00 AM,CREDIT CARD,1.00,120,8TH AVE N BETWEEN JOHN ST AND THOMAS ST,W,76197,,47.62032565,-122.34118265
914098069,19120010,12/09/2020 06:27:00 AM,CREDIT CARD,4.00,480,FAIRVIEW AVE N BETWEEN JOHN ST AND THOMAS ST,E,33146,,47.62024125,-122.33419944
914098123,19120010,12/09/2020 06:27:00 AM,PHONE,3.72,447,FAIRVIEW AVE N BETWEEN JOHN ST AND THOMAS ST,E,33146,,47.62024125,-122.33419944
914098158,17186004,12/09/2020 06:27:00 AM,CREDIT CARD,2.00,240,MERCER ST BETWEEN 3RD AVE N AND 4TH AVE N,N,57077,,47.62465764,-122.35019179
914098185,10328002,12/09/2020 06:28:00 AM,PHONE,0.23,28,WESTLAKE AVE BETWEEN 6TH AVE AND VIRGINIA ST,W,13545,,47.61441774,-122.33777839
914098204,2071002,12/09/2020 06:28:00 AM,PHONE,1.00,120,STEWART ST BETWEEN PIKE PL AND POST AL,SE,80878,,47.60978392,-122.34189906
914098213,2070002,12/09/2020 06:28:00 AM,CASH,1.00,120,STEWART ST BETWEEN POST AL AND 1ST AVE,NW,12869,,47.61012337,-122.341665
914098219,19323010,12/09/2020 06:28:00 AM,CREDIT CARD,3.50,420,9TH AVE N BETWEEN DENNY WAY AND JOHN ST,E,31310,,47.61912274,-122.33968381
914098269,17186004,12/09/2020 06:28:00 AM,PHONE,0.23,28,MERCER ST BETWEEN 3RD AVE N AND 4TH AVE N,N,57077,,47.62465764,-122.35019179
914098313,18004007,12/09/2020 06:28:00 AM,CREDIT CARD,3.25,390,WESTLAKE EAST RDWY AVE N BETWEEN HIGHLAND DR AND COMSTOCK ST,E,81510,68,47.63029778,-122.34065374
914098335,10186004,12/09/2020 06:28:00 AM,CREDIT CARD,2.00,240,1ST AVE BETWEEN WALL ST AND VINE ST,NE,24046,,47.61504371,-122.34916205
914098365,17073004,12/09/2020 06:28:00 AM,CREDIT CARD,2.00,240,QUEEN ANNE AVE N BETWEEN THOMAS ST AND HARRISON ST,W,80277,,47.62150584,-122.35681515
914098408,10282004,12/09/2020 06:29:00 AM,CREDIT CARD,2.00,240,VINE ST BETWEEN 1ST AVE AND 2ND AVE,NW,58617,,47.61565061,-122.3492925
914098433,19154010,12/09/2020 06:29:00 AM,PHONE,3.74,449,VALLEY ST BETWEEN FAIRVIEW AVE N AND MINOR AVE N,S,81246,,47.62587776,-122.33348049
914098456,19094010,12/09/2020 06:30:00 AM,PHONE,4.25,510,MINOR AVE N BETWEEN JOHN ST AND THOMAS ST,W,34501,,47.62023889,-122.33308446
914098482,19363010,12/09/2020 06:30:00 AM,PHONE,4.25,510,MERCER NR ST BETWEEN WESTLAKE AVE N AND TERRY AVE N,N,130799,,47.6247452,-122.33777132
914098484,18004007,12/09/2020 06:29:00 AM,CREDIT CARD,6.75,390,WESTLAKE EAST RDWY AVE N BETWEEN HIGHLAND DR AND COMSTOCK ST,E,81510,72,47.63029778,-122.34065374
914098550,19157010,12/09/2020 06:30:00 AM,PHONE,3.25,390,VALLEY ST BETWEEN MINOR AVE N AND YALE AVE N,N,35889,,47.62602813,-122.33168043
914098585,19221010,12/09/2020 06:30:00 AM,CREDIT CARD,4.25,510,8TH AVE N BETWEEN ALOHA ST AND WESTLAKE S AVE N,W,53549,,47.62820088,-122.34111554
