Maintenance Area,Neighbourhood Name,Planned Start Week,Earliest Scheduled Start Date,Latest Scheduled Start Date,Planned Start Date,Street Cleaning Status,Location,Data Update,Planned Start Week Revised/Postponed,Note,Revised Start Week,Revised Earliest Scheduled Start Date,Revised Latest Scheduled Start Date,Revised Start Date
390,Westview Village,18-May-2020 thru 24-May-2020,2020-05-18,2020-05-24,27-May-2020,Completed,"(53.5527531, -113.7007482)",09/23/2020 10:22:28 AM,NO,Please plan to have your vehicles moved during the day.,Not Applicable,Not Applicable,Not Applicable,Not Applicable
208,"Grandview Heights, University Reasearch Station, and Lansdowne",04-May-2020 thru 10-May-2020,2020-05-04,2020-05-10,04-May-2020,Completed,"(53.49496828, -113.5504035)",09/23/2020 10:22:28 AM,YES,Please plan to have your vehicles moved during the day.,11-May-2020 thru 17-May-2020,11-May-2020,17-May-2020,11-May-2020
109,"Highlands, and Bellevue",25-May-2020 thru 31-May-2020,2020-05-25,2020-05-31,26-May-2020,Completed,"(53.56357062, -113.4349897)",09/23/2020 10:22:28 AM,NO,Please plan to have your vehicles moved during the day.,Not Applicable,Not Applicable,Not Applicable,Not Applicable
275,Calgary Trail North,11-May-2020 thru 17-May-2020,2020-05-11,2020-05-17,11-May-2020,Completed,"(53.4948447, -113.494587)",09/23/2020 10:22:28 AM,NO,Please plan to have your vehicles moved during the day.,Not Applicable,Not Applicable,Not Applicable,Not Applicable
382,"White, Poundmaker, Wilson, Edmiston, Armstrong and Mcnamara Industrial",25-May-2020 thru 31-May-2020,2020-05-25,2020-05-31,26-May-2020,Completed,"(53.5626358, -113.6400054)",09/23/2020 10:22:28 AM,NO,Please plan to have your vehicles moved during the day.,Not Applicable,Not Applicable,Not Applicable,Not Applicable
430,"Brintnell, and Miller",18-May-2020 thru 24-May-2020,2020-05-18,2020-05-24,21-May-2020,Completed,"(53.61964415, -113.4085174)",09/23/2020 10:22:28 AM,YES,Please plan to have your vehicles moved during the day.,25-May-2020 thru 31-May-2020,25-May-2020,31-May-2020,TBD
102,"parts of (Prince Rupert, Queen Mary Park, and Central McDougall)",20-Apr-2020 thru 26-Apr-2020,2020-04-20,2020-04-26,20-Apr-2020,Completed,"(53.55817376, -113.507682)",09/23/2020 10:22:28 AM,NO,Please plan to have your vehicles moved during the day.,Not Applicable,Not Applicable,Not Applicable,Not Applicable
436,Rural Northeast/South Sturgeon,Not Applicable thru Not Applicable,,,Not Applicable,Not Required,"(53.6185421, -113.3105434)",09/23/2020 10:22:28 AM,NO,Please plan to have your vehicles moved during the day.,Not Applicable,Not Applicable,Not Applicable,Not Applicable
320,Laurier Heights,18-May-2020 thru 24-May-2020,2020-05-18,2020-05-24,21-May-2020,Completed,"(53.51344441, -113.5606514)",09/23/2020 10:22:28 AM,YES,Please plan to have your vehicles moved during the day.,01-Jun-2020 thru 07-Jun-2020,01-Jun-2020,07-Jun-2020,01-Jun-2020
385,Mistatim Industrial,18-May-2020 thru 24-May-2020,2020-05-18,2020-05-24,26-May-2020,Completed,"(53.5918359, -113.6030768)",09/23/2020 10:22:28 AM,NO,Please plan to have your vehicles moved during the day.,Not Applicable,Not Applicable,Not Applicable,Not Applicable
