DATE,TIME,STATION_NUMBER,TOTAL_AMOUNT_FALLEN_PAST_24_HOURS,STORM_RATING_ID,STORM_RATING_DESCRIPTION,Amount Legend,LOCATION
October 05 2020,23:59:59,RG60,0.0,0,"No rain, or minor rain - Roads damp, lawns may still need watering after",0 - 5 mm,"(53.526, -113.297)"
October 05 2020,23:59:59,RG20,0.0,0,"No rain, or minor rain - Roads damp, lawns may still need watering after",0 - 5 mm,"(53.542, -113.419)"
October 05 2020,23:59:59,RG21,0.0,0,"No rain, or minor rain - Roads damp, lawns may still need watering after",0 - 5 mm,"(53.57, -113.478)"
October 05 2020,23:59:59,RG27,0.0,0,"No rain, or minor rain - Roads damp, lawns may still need watering after",0 - 5 mm,"(53.468, -113.481)"
October 05 2020,23:59:59,RG30,0.0,0,"No rain, or minor rain - Roads damp, lawns may still need watering after",0 - 5 mm,"(53.543, -113.545)"
October 05 2020,23:59:59,RG33,0.0,0,"No rain, or minor rain - Roads damp, lawns may still need watering after",0 - 5 mm,"(53.565, -113.569)"
October 05 2020,23:59:59,RG37,0.0,0,"No rain, or minor rain - Roads damp, lawns may still need watering after",0 - 5 mm,"(53.612, -113.373)"
October 05 2020,23:59:59,RG38,0.0,0,"No rain, or minor rain - Roads damp, lawns may still need watering after",0 - 5 mm,"(53.612, -113.461)"
October 05 2020,23:59:59,RG40,0.0,0,"No rain, or minor rain - Roads damp, lawns may still need watering after",0 - 5 mm,"(53.623, -113.526)"
October 05 2020,23:59:59,RG42,0.0,0,"No rain, or minor rain - Roads damp, lawns may still need watering after",0 - 5 mm,"(53.497, -113.537)"
October 05 2020,23:59:59,RG62,0.0,0,"No rain, or minor rain - Roads damp, lawns may still need watering after",0 - 5 mm,"(53.43, -113.407)"
October 05 2020,23:59:59,RG53,0.0,0,"No rain, or minor rain - Roads damp, lawns may still need watering after",0 - 5 mm,"(53.425, -113.479)"
October 05 2020,23:59:59,RG17,0.0,0,"No rain, or minor rain - Roads damp, lawns may still need watering after",0 - 5 mm,"(53.552, -113.611)"
October 05 2020,23:59:59,RG18,0.0,0,"No rain, or minor rain - Roads damp, lawns may still need watering after",0 - 5 mm,"(53.549, -113.5)"
October 05 2020,23:59:59,RG31,0.0,0,"No rain, or minor rain - Roads damp, lawns may still need watering after",0 - 5 mm,"(53.59, -113.513)"
October 05 2020,23:59:59,RG32,0.0,0,"No rain, or minor rain - Roads damp, lawns may still need watering after",0 - 5 mm,"(53.586, -113.434)"
October 05 2020,23:59:59,RG36,0.0,0,"No rain, or minor rain - Roads damp, lawns may still need watering after",0 - 5 mm,"(53.457, -113.446)"
October 05 2020,23:59:59,RG39,0.0,0,"No rain, or minor rain - Roads damp, lawns may still need watering after",0 - 5 mm,"(53.602, -113.549)"
October 05 2020,23:59:59,RG48,0.1,0,"No rain, or minor rain - Roads damp, lawns may still need watering after",0 - 5 mm,"(53.498, -113.664)"
October 05 2020,23:59:59,RG57,0.0,0,"No rain, or minor rain - Roads damp, lawns may still need watering after",0 - 5 mm,"(53.462, -113.551)"
October 05 2020,23:59:59,RG49,0.0,0,"No rain, or minor rain - Roads damp, lawns may still need watering after",0 - 5 mm,"(53.473, -113.618)"
October 05 2020,23:59:59,RG50,0.0,0,"No rain, or minor rain - Roads damp, lawns may still need watering after",0 - 5 mm,"(53.567, -113.519)"
October 05 2020,23:59:59,RG51,0.0,0,"No rain, or minor rain - Roads damp, lawns may still need watering after",0 - 5 mm,"(53.673, -113.491)"
October 05 2020,23:59:59,RG52,0.0,0,"No rain, or minor rain - Roads damp, lawns may still need watering after",0 - 5 mm,"(53.558, -113.713)"
October 05 2020,23:59:59,RG54,0.0,0,"No rain, or minor rain - Roads damp, lawns may still need watering after",0 - 5 mm,"(53.494, -113.419)"
October 05 2020,23:59:59,RG55,0.0,0,"No rain, or minor rain - Roads damp, lawns may still need watering after",0 - 5 mm,"(53.505, -113.46)"
October 05 2020,23:59:59,RG59,0.0,0,"No rain, or minor rain - Roads damp, lawns may still need watering after",0 - 5 mm,"(53.599, -113.32)"
