ID,NEIGHBOURHOOD_NAME,LOCATION_TYPE,SPECIES_BOTANICAL,SPECIES_COMMON,GENUS,SPECIES,CULTIVAR,DIAMETER_BREAST_HEIGHT,CONDITION_PERCENT,PLANTED_DATE,OWNER,Bears Edible Fruit,Type of Edible Fruit,COUNT,LATITUDE,LONGITUDE,LOCATION
329949,Queen Alexandra,Boulevard,Fraxinus pennsylvanica,"Ash, Green",Fraxinus,pennsylvanica,,50,65,1990-01-01,Parks,No,N/A,1,53.51714375673375,-113.50818095264462,"(53.51714375673375, -113.50818095264462)"
412612,Hodgson,Boulevard,Ulmus americana,"Elm, American",Ulmus,americana,Brandon,10,65,2006-06-01,Parks,No,N/A,1,53.454238303279574,-113.56153362267798,"(53.454238303279574, -113.56153362267798)"
249531,Athlone,Boulevard,Fraxinus pennsylvanica,"Ash, Green",Fraxinus,pennsylvanica,Patmore,11,65,2006-06-01,Parks,No,N/A,1,53.592118146221665,-113.5511519365475,"(53.592118146221665, -113.5511519365475)"
252766,Glastonbury,Park,Picea pungens,"Spruce, Colorado",Picea,pungens,Blue,15,65,1990-01-01,Parks,No,N/A,1,53.50027410348168,-113.6652151841001,"(53.50027410348168, -113.6652151841001)"
194935,Chambery,Boulevard,Fraxinus pennsylvanica,"Ash, Green",Fraxinus,pennsylvanica,Patmore,17,65,2004-06-01,Parks,No,N/A,1,53.640368926376674,-113.5065253522254,"(53.640368926376674, -113.5065253522254)"
264123,River Valley Laurier,Park,Ulmus americana,"Elm, American",Ulmus,americana,,62,65,1990-01-01,Parks,No,N/A,1,53.511546865474955,-113.55484859529483,"(53.511546865474955, -113.55484859529483)"
150202,Menisa,Buffer,Picea pungens,"Spruce, Colorado",Picea,pungens,Blue,19,65,1990-01-01,Parks,No,N/A,1,53.442786132491875,-113.4389986271853,"(53.442786132491875, -113.4389986271853)"
506406,Mill Woods Town Centre,Park,Malus x adstringens,Crabapple,Malus,x,Thunderchild,6,65,2013-06-01,Parks,No,N/A,1,53.45721021952727,-113.42503986421096,"(53.45721021952727, -113.42503986421096)"
518746,Clover Bar Area,Park,Populus tremula,"Aspen, Swedish Columnar",Populus,tremula,,6,65,2013-06-01,Parks,No,N/A,1,53.57162582541841,-113.30662734870373,"(53.57162582541841, -113.30662734870373)"
400320,Terra Losa,Centre Median,Fraxinus pennsylvanica,"Ash, Green",Fraxinus,pennsylvanica,Patmore,11,65,1990-01-01,Parks,No,N/A,1,53.534689372661404,-113.62818577113843,"(53.534689372661404, -113.62818577113843)"
377195,McCauley,Park,Picea pungens,"Spruce, Colorado",Picea,pungens,Blue,8,65,2009-06-01,Parks,No,N/A,1,53.55792419086577,-113.4803529602044,"(53.55792419086577, -113.4803529602044)"
213657,Royal Gardens,Park,Larix siberica,"Larch, Siberian",Larix,siberica,,21,65,1990-01-01,Parks,No,N/A,1,53.48165082205828,-113.51690182461283,"(53.48165082205828, -113.51690182461283)"
