Account Number,Assessment Year,Suite,House Number,Street Name,Legal Description,Latitude,Longitude,Point Location,Neighbourhood,Actual Year Built,Garage,Zoning,Lot Size,Assessed Value,Assessment Class 1,Assessment Class % 1,Assessment Class 2,Assessment Class % 2,Assessment Class 3,Assessment Class % 3
6317119,2013,,12958,113 STREET NW,Plan: 6042KS  Block: 2  Lot: 19,53.58916,-113.51549,POINT (-113.51549 53.58916),LAUDERDALE,1962,Y,RF1,499.6680,289500.00,RESIDENTIAL,100,,,,
6205355,2019,,11910,103 STREET NW,Plan: RN52  Block: 3  Lot: 58 / Plan: RN52  Block: 3  Lot: 59,53.57234,-113.49792,POINT (-113.49792 53.57234),WESTWOOD,1968,N,RA7,1392.4900,1659000.00,OTHER RESIDENTIAL,100,,,,
6287486,2017,,13523,104A STREET NW,Plan: 6490KS  Block: 9  Lot: 19,53.59751,-113.5002,POINT (-113.5002 53.59751),ROSSLYN,1962,Y,RF1,561.7350,335000.00,RESIDENTIAL,100,,,,
6173009,2017,,12327,103 STREET NW,Plan: 1232HW  Block: 15  Lot: G,53.57915,-113.49687,POINT (-113.49687 53.57915),WESTWOOD,1950,Y,RF3,585.5460,471000.00,RESIDENTIAL,100,,,,
6309884,2014,,13215,109 STREET NW,Plan: 1830MC  Block: 29A  Lot: 49,53.59273,-113.50793,POINT (-113.50793 53.59273),ROSSLYN,1960,Y,RF5,291.6690,204500.00,RESIDENTIAL,100,,,,
6333470,2017,,12836,106 STREET NW,Plan: 615KS  Block: 2  Lot: 18,53.58689,-113.50296,POINT (-113.50296 53.58689),LAUDERDALE,1958,Y,RF1,575.6240,328000.00,RESIDENTIAL,100,,,,
6342356,2012,,12932,103 STREET NW,Plan: 1066KS  Block: 6  Lot: 45,53.58843,-113.49774,POINT (-113.49774 53.58843),LAUDERDALE,1955,Y,RF1,641.3780,213000.00,RESIDENTIAL,100,,,,
6333173,2014,,12831,107 STREET NW,Plan: 615KS  Block: 2  Lot: 8,53.58654,-113.5037,POINT (-113.5037 53.58654),LAUDERDALE,1957,Y,RF1,644.1120,250500.00,RESIDENTIAL,100,,,,
6176408,2018,,12241,102 STREET NW,Plan: 4600R  Block: 17  Lot: 4,53.57798,-113.49503,POINT (-113.49503 53.57798),WESTWOOD,1952,Y,RF3,459.2870,304500.00,RESIDENTIAL,100,,,,
6165104,2018,,12303,104 STREET NW,Plan: 1232HW  Block: 10  Lot: A,53.57845,-113.49871,POINT (-113.49871 53.57845),WESTWOOD,1947,Y,RF1,612.1130,270500.00,RESIDENTIAL,100,,,,
6298269,2014,,13332,105 STREET NW,Plan: 6490KS  Block: 20  Lot: 18,53.59408,-113.50125,POINT (-113.50125 53.59408),ROSSLYN,1961,Y,RF1,659.1290,329500.00,RESIDENTIAL,100,,,,
6332514,2015,,10507,128 AVENUE NW,Plan: 615KS  Block: 1  Lot: 8,53.58525,-113.501,POINT (-113.501 53.58525),LAUDERDALE,1955,Y,RF1,584.6290,254500.00,RESIDENTIAL,100,,,,
6330799,2017,,10803,132 AVENUE NW,Plan: 5065KS  Block: 17  Lot: 22,53.59176,-113.50665,POINT (-113.50665 53.59176),LAUDERDALE,1960,Y,RF1,512.4500,302500.00,RESIDENTIAL,100,,,,
6244495,2018,,16812,93 STREET NW,Plan: 8022146  Block: 8  Lot: 140,53.63071,-113.48546,POINT (-113.48546 53.63071),LAGO LINDO,1981,Y,RF1,821.7790,386000.00,RESIDENTIAL,100,,,,
6246078,2019,,17119,95 STREET NW,Plan: 8022148  Block: 8  Lot: 188,53.63374,-113.48819,POINT (-113.48819 53.63374),LAGO LINDO,1983,Y,RF1,506.8940,334500.00,RESIDENTIAL,100,,,,
6284129,2017,,10523,137 AVENUE NW,Plan: 6490KS  Block: 5  Lot: 6,53.59907,-113.50416,POINT (-113.50416 53.59907),ROSSLYN,1962,Y,RF1,526.3520,275000.00,RESIDENTIAL,100,,,,
6245716,2012,,17127,94 STREET NW,Plan: 8022148  Block: 8  Lot: 170,53.63331,-113.48586,POINT (-113.48586 53.63331),LAGO LINDO,1992,Y,RF1,637.5770,487500.00,RESIDENTIAL,100,,,,
6327571,2018,,12815,108 STREET NW,Plan: 915KS  Block: 13  Lot: 9,53.58605,-113.50608,POINT (-113.50608 53.58605),LAUDERDALE,1956,Y,RF1,659.3100,239500.00,RESIDENTIAL,100,,,,
6295729,2015,,13456,103 STREET NW,Plan: 6490KS  Block: 16  Lot: 14,53.5962,-113.4977,POINT (-113.4977 53.5962),ROSSLYN,1961,Y,RF1,599.1990,339500.00,RESIDENTIAL,100,,,,
6301709,2018,,13456,107 STREET NW,Plan: 6490KS  Block: 23  Lot: 48,53.59647,-113.50552,POINT (-113.50552 53.59647),ROSSLYN,1959,Y,RF1,575.9030,277000.00,RESIDENTIAL,100,,,,
6304489,2016,,10907,134A AVENUE NW,Plan: 6280KS  Block: 26  Lot: 28,53.59559,-113.50881,POINT (-113.50881 53.59559),ROSSLYN,1959,Y,RF1,557.3230,264500.00,RESIDENTIAL,100,,,,
6338214,2015,,10619,132 AVENUE NW,Plan: 6166KS  Block: 5A  Lot: 21,53.59176,-113.50338,POINT (-113.50338 53.59176),LAUDERDALE,1962,Y,RF1,457.4340,289000.00,RESIDENTIAL,100,,,,
