Building Address,Construction Completion Year,Name of Historic Resource,Neighbourhood,Warning Type 1,Warning Type 2,Latitude,Longitude,Location
12845 - 102 Avenue,,Provincial Museum Petrified Log,GLENORA,Inventory of Historic Resources,,53.541831,-113.543958,"(53.54183119451204, -113.54395790968407)"
11342 - 64 STREET NW,1912,Marshall McLuhan House,HIGHLANDS,Municipal Historic Resource,,53.567641,-113.438526,"(53.56764068443556, -113.4385257607633)"
10049 - 106 STREET NW,,Holowach Horse Chestnut Tree,DOWNTOWN,Inventory of Historic Resources,,53.540259,-113.502389,"(53.54025851160481, -113.50238904790982)"
7311 - 105A STREET NW,1914,Stephen Urquhart Residence,QUEEN ALEXANDRA,Inventory of Historic Resources,,53.509787,-113.502101,"(53.509787494248236, -113.50210132125682)"
12920 - STONY PLAIN ROAD NW,1913,Frank Lansdowne Residence,WESTMOUNT,Inventory of Historic Resources,,53.548317,-113.545580,"(53.54831697249685, -113.54558018947131)"
11404 - 89 AVENUE NW,1915,North Power Plant,UNIVERSITY OF ALBERTA,Inventory of Historic Resources,,53.527140,-113.526124,"(53.52713968374802, -113.52612354718134)"
10048 - 101A AVENUE,1927,Ramsay Block (Joined with Kelly Building),DOWNTOWN,Municipal Historic Resource,,53.541787,-113.492957,"(53.54178731521013, -113.49295720148604)"
10231 - 121 STREET NW,1932,Yeates/Williams Residence,OLIVER,Inventory of Historic Resources,,53.544024,-113.530183,"(53.54402382940937, -113.53018327903368)"
10158 - 94 STREET NW,1912,Arthur Hiller Residence,BOYLE STREET,Inventory of Historic Resources,,53.544930,-113.476950,"(53.54492966427132, -113.47694958199081)"
13119 - 124 STREET NW,1961,DeNommee Residence,CALDER,Inventory of Historic Resources,,53.591539,-113.536211,"(53.591539436180895, -113.53621143670865)"
10985 - 125 STREET NW,1915,McIntosh Residence,WESTMOUNT,Inventory of Historic Resources,,53.556759,-113.537193,"(53.556759442345076, -113.53719338481322)"
