LANDMARK_NAME,ADDRESS,STOP_ID,LATITUDE,LONGITUDE,LOCATION
Dinosaur Adventure,8882 170 Street NW,5005,53.52035997262053,-113.62222833466129,"(53.52035997262053, -113.62222833466129)"
McQueen Park,10825 McQueen Road NW,5231,53.55274938977236,-113.57016651477554,"(53.55274938977236, -113.57016651477554)"
Links Golf Course,Spruce Grove,8209,53.5600689875737,-113.90292578690718,"(53.5600689875737, -113.90292578690718)"
Park Plaza,10611 98 Avenue NW,1941,53.538478694108214,-113.50485792304949,"(53.538478694108214, -113.50485792304949)"
Mary Hanley Catholic Elem School,3330 37 Street NW,3492,53.46380707889815,-113.39958041699347,"(53.46380707889815, -113.39958041699347)"
Charles Simmonds Park,7830 115 Street NW,2921,53.51423023004205,-113.52600616720011,"(53.51423023004205, -113.52600616720011)"
Terrace Theatre,4445 Calgary Trail NW,4587,53.4796329239968,-113.49505876975239,"(53.4796329239968, -113.49505876975239)"
Taste of Edmonton,Sir Winston Churchill Square NW,1292,53.543730639286,-113.49085648787513,"(53.543730639286, -113.49085648787513)"
Jubilations Dinner Theatre,West Edmonton Mall NW,5007,53.52045016353139,-113.62233308107629,"(53.52045016353139, -113.62233308107629)"
Edmonton Northwest  Out of School Care Centre,11515 127 Street NW,1967,53.56406016712322,-113.53581880197716,"(53.56406016712322, -113.53581880197716)"
Body Quest Health Club,4960 93 Avenue NW,2985,53.53366101818826,-113.41874388832689,"(53.53366101818826, -113.41874388832689)"
Fantasyland Hotel,17700 87 Avenue NW,5013,53.52058437811167,-113.62215094613668,"(53.52058437811167, -113.62215094613668)"
Studio Theatre Box Office,87 Avenue 112 Street NW,2894,53.522842391395756,-113.52013466343168,"(53.522842391395756, -113.52013466343168)"
Evergreen Funeral Chapel Cemt./Crem.Centre,16204 Fort Road NW,7425,53.62547321346608,-113.38155244965827,"(53.62547321346608, -113.38155244965827)"
St Vincent Catholic Elem School,10530 138 Street NW,5080,53.548608463191506,-113.56563667948015,"(53.548608463191506, -113.56563667948015)"
Fantasyland Hotel,17700 87 Avenue NW,5008,53.52049594922783,-113.62260408524989,"(53.52049594922783, -113.62260408524989)"
Solomon College,10621 100 Avenue NW,1891,53.54097543548669,-113.50452707442601,"(53.54097543548669, -113.50452707442601)"
Epcor,10065 Jasper Avenue NW,1336,53.54093310987804,-113.49229303005471,"(53.54093310987804, -113.49229303005471)"
World Health St Albert Trail,13543 St Albert Trail NW,6673,53.597807060357184,-113.57328939039034,"(53.597807060357184, -113.57328939039034)"
Frere Antoine Cath Elem School,2850 Mill Woods Road NW,3012,53.45854027534642,-113.4458934715138,"(53.45854027534642, -113.4458934715138)"
Belvedere LRT Station,58 Street 129 Avenue NW,7202,53.58796909990192,-113.43491378731588,"(53.58796909990192, -113.43491378731588)"
Good Samaritan Society (19 Avenue),10525 19 Avenue NW,4575,53.45017819067829,-113.49975865873948,"(53.45017819067829, -113.49975865873948)"
Rideau Tower,10145 119 Street NW,1790,53.54118034761487,-113.5285413074324,"(53.54118034761487, -113.5285413074324)"
Police Services Eastwood Community Station,11845 81 Street NW,1231,53.57043658342987,-113.46804233699726,"(53.57043658342987, -113.46804233699726)"
Bell Tower,10104 103 Avenue NW,1128,53.54389498714358,-113.49358522677699,"(53.54389498714358, -113.49358522677699)"
Park Memorial,9709 111 Avenue NW,1471,53.55943223277488,-113.49157351941415,"(53.55943223277488, -113.49157351941415)"
Highlands Golf Course,6603 Ada Boulevard NW,1220,53.56516258554101,-113.4368027349387,"(53.56516258554101, -113.4368027349387)"
Meadows Transit Centre,17 Street Tamarack Way NW,3712,53.47814863116177,-113.36813616615188,"(53.47814863116177, -113.36813616615188)"
Movies 12,5074 130 Avenue NW,7645,53.58900426828885,-113.41840759763228,"(53.58900426828885, -113.41840759763228)"
Uplands Condominium Corp.,14804 45 Avenue NW,4430,53.483400036494494,-113.57907841390058,"(53.483400036494494, -113.57907841390058)"
Tipton Arena,10828 80 Avenue NW,2788,53.51816286439843,-113.50960303488911,"(53.51816286439843, -113.50960303488911)"
Beacon Heights Park,4704 121 Avenue NW,1449,53.57503487213403,-113.41183544456453,"(53.57503487213403, -113.41183544456453)"
Evangelical Free Church District Office,2403 145 Avenue NW,7098,53.60563408703254,-113.37844282779525,"(53.60563408703254, -113.37844282779525)"
Mill Woods Town Centre,2331 66 Street NW,3206,53.45644643256584,-113.42682994124928,"(53.45644643256584, -113.42682994124928)"
Union Bank Inn,10053 Jasper Avenue NW,1336,53.54093310987804,-113.49229303005471,"(53.54093310987804, -113.49229303005471)"
Hillside Estates,9903 104 Street NW,1949,53.53888233772337,-113.49821580762733,"(53.53888233772337, -113.49821580762733)"
Grandview Heights Medical Clinic,12313 63 Avenue NW,2962,53.49993016900483,-113.54129712573675,"(53.49993016900483, -113.54129712573675)"
City Square Tower,10020 103 Avenue NW,1292,53.543730639286,-113.49085648787513,"(53.543730639286, -113.49085648787513)"
YMCA Enterprise Centre,10211 105 Street NW,1783,53.54297233039265,-113.50068688005072,"(53.54297233039265, -113.50068688005072)"
The InKind Centre,16821 113 Avenue NW,5116,53.56094432991823,-113.60665331978387,"(53.56094432991823, -113.60665331978387)"
Mayfield Common Shopping Centre,170 Street Stony Plain Road NW,55377,53.54300351753861,-113.61066669410974,"(53.54300351753861, -113.61066669410974)"
Edgar Millen Park,11424 Fort Road NW,1239,53.563936425741296,-113.47339168577336,"(53.563936425741296, -113.47339168577336)"
Ticketmaster Westmount Mall,Groat Road 111 Avenue NW,5210,53.56147596494201,-113.55573969536472,"(53.56147596494201, -113.55573969536472)"
Mill Woods Library,2331 66 Street NW,3201,53.455776004762455,-113.42569474366863,"(53.455776004762455, -113.42569474366863)"
U of A,114 Street 89 Avenue NW,2001,53.52484149185844,-113.52118275051757,"(53.52484149185844, -113.52118275051757)"
Royal Scot Apartments,10514 92 Street NW,1335,53.54993474772754,-113.48127598367051,"(53.54993474772754, -113.48127598367051)"
The Churchill,10015 103 Avenue NW,1876,53.544307559501064,-113.4891749132825,"(53.544307559501064, -113.4891749132825)"
Royal Alexandra Hospital,10240 Kingsway NW,1377,53.55878978117118,-113.49476565531452,"(53.55878978117118, -113.49476565531452)"
Parkallen School,6703 112 Street NW,2795,53.50229909941251,-113.51983916478189,"(53.50229909941251, -113.51983916478189)"
Grey Nuns Community Hospital,1100 Youville Drive West NW,3360,53.46030904220926,-113.4302862486175,"(53.46030904220926, -113.4302862486175)"
St Augustine Anglican,6110 Fulton Road NW,2323,53.54549583142454,-113.42810191933978,"(53.54549583142454, -113.42810191933978)"
Anne Fitzgerald Catholic Elem. School,699  Clareview Road NW,7756,53.59333911182132,-113.38498227927919,"(53.59333911182132, -113.38498227927919)"
Academy of Learning - Downtown,Edmonton City Centre East NW,1128,53.54389498714358,-113.49358522677699,"(53.54389498714358, -113.49358522677699)"
Sir Winston Churchill Square,10216 99 Street NW,1707,53.5433555420722,-113.4892919814239,"(53.5433555420722, -113.4892919814239)"
Alberta Legislature Building,10800 97 Avenue NW,1308,53.536338938603045,-113.50459628952498,"(53.536338938603045, -113.50459628952498)"
MacKinnon Ravine Park,13814 Summit Drive NW,5478,53.536207167132304,-113.56546193180053,"(53.536207167132304, -113.56546193180053)"
Fantasyland Hotel,17700 87 Avenue NW,5009,53.520532796118005,-113.62289024781134,"(53.520532796118005, -113.62289024781134)"
On Eagles Wings,10072 164 Street NW,5364,53.53879013734967,-113.60278576903761,"(53.53879013734967, -113.60278576903761)"
St Thomas d'Aquin (French Parish),8410 89 Street NW,2087,53.51808127426711,-113.46541143512698,"(53.51808127426711, -113.46541143512698)"
Saville Sports Centre,11610 65 Ave NW,2713,53.503278217738895,-113.52878107958891,"(53.503278217738895, -113.52878107958891)"
Eveline Charles Academy,Edmonton City Centre NW,1950,53.54328161846287,-113.4909222223909,"(53.54328161846287, -113.4909222223909)"
Westview Village,10770 Winterburn Road NW,8943,53.550102228357616,-113.69407343416071,"(53.550102228357616, -113.69407343416071)"
Queen Alexandra Community League,10425 University Avenue NW,2642,53.51229155260959,-113.50009783658932,"(53.51229155260959, -113.50009783658932)"
U of A,114 Street 89 Avenue NW,2316,53.52514851206923,-113.52155629109248,"(53.52514851206923, -113.52155629109248)"
Northwest Pentecostal Assembly,9949 169 Avenue NW,6168,53.628401623705834,-113.4985149563611,"(53.628401623705834, -113.4985149563611)"
Lynnwood Park,15525 84 Avenue NW,5281,53.51933593943465,-113.58962371665865,"(53.51933593943465, -113.58962371665865)"
St Mary Catholic Elementary School,490 Rhatigan Road East NW,4441,53.4764317455689,-113.58562438282267,"(53.4764317455689, -113.58562438282267)"
South Campus/Fort Edmonton LRT Station,11457 68 Avenue NW,2116,53.50293527661283,-113.5284080768885,"(53.50293527661283, -113.5284080768885)"
Golden Harvest Ministery,10504 128 Street NW,1657,53.55105229787218,-113.5414687620652,"(53.55105229787218, -113.5414687620652)"
Ratachadham Temple-Thai Buddhist Temple,12520 135 Avenue NW,6269,53.59637050523575,-113.53733778865109,"(53.59637050523575, -113.53733778865109)"
CDI College Edmonton North,9450 137 Avenue NW,7004,53.599889502148365,-113.49004547973259,"(53.599889502148365, -113.49004547973259)"
Charles Anderson Park,3803 105 Street NW,4259,53.473224803802616,-113.50123483608536,"(53.473224803802616, -113.50123483608536)"
Pine Ridge,2207 118 Street NW,4065,53.45404242515664,-113.53081671737395,"(53.45404242515664, -113.53081671737395)"
Westlawn Memorial Gardens,10132 163 Street NW,5249,53.541362399938016,-113.60347072458457,"(53.541362399938016, -113.60347072458457)"
Hys Centre,11010 101 Street NW,1366,53.558336612526034,-113.49385044628703,"(53.558336612526034, -113.49385044628703)"
Westridge Wolf Willow Community League Hall and Tennis Club,505 Wolf Willow Road NW,5626,53.50708545843141,-113.60487601212479,"(53.50708545843141, -113.60487601212479)"
Ken Newman Park,10802 150 Street NW,5048,53.55112822255879,-113.57923653632241,"(53.55112822255879, -113.57923653632241)"
St Gregorios Orthodox Church,15603 99 Avenue NW,5426,53.53801984976445,-113.59021238172635,"(53.53801984976445, -113.59021238172635)"
Jasper Place High School,8950 163 Street NW,5577,53.52509516316308,-113.60268770244947,"(53.52509516316308, -113.60268770244947)"
Mewburn Veterans Centre,11440 University Avenue NW,2963,53.51756312262413,-113.53261811296024,"(53.51756312262413, -113.53261811296024)"
Cambridge Building,10024 Jasper Avenue NW,1262,53.54117180994099,-113.49136993815918,"(53.54117180994099, -113.49136993815918)"
Shamrock Curling Club,9330 80 Avenue NW,2294,53.51813230922226,-113.47082367424255,"(53.51813230922226, -113.47082367424255)"
Festival of Trees,9797 Jasper Avenue NW,1542,53.540600902702714,-113.49024535903122,"(53.540600902702714, -113.49024535903122)"
Health Sciences/Jubilee LRT Station,114 Street 83 Avenue NW,2660,53.51879362066348,-113.52562352232091,"(53.51879362066348, -113.52562352232091)"
S Bruce Smith Junior High School,5545 184 Street NW,5623,53.491631567020626,-113.63966138912649,"(53.491631567020626, -113.63966138912649)"
YMCA Housing,10030 102A Avenue NW,1763,53.54334759749727,-113.49164558791972,"(53.54334759749727, -113.49164558791972)"
Miller Ridge Apartments,14503 Miller Boulevard NW,7673,53.608600150117404,-113.4142098020303,"(53.608600150117404, -113.4142098020303)"
Kids R Us Child Care Centre N.A.I.T.,10504 118 Avenue NW,1075,53.57039239900926,-113.50160182543647,"(53.57039239900926, -113.50160182543647)"
Greenfield Community League,3803 114 Street NW,4044,53.47109772904079,-113.52844480203333,"(53.47109772904079, -113.52844480203333)"
End Of Steel Park,8720 103 Street NW,2860,53.51802153423974,-113.4972108790245,"(53.51802153423974, -113.4972108790245)"
Sun Life Place,10123 99 Street NW,1876,53.544307559501064,-113.4891749132825,"(53.544307559501064, -113.4891749132825)"
Londonderry Junior High School,7104 144 Avenue NW,7738,53.60640145541121,-113.45081939381843,"(53.60640145541121, -113.45081939381843)"
Mary Burlie Park,10465 97 Street NW,1479,53.54733731581051,-113.48741839676887,"(53.54733731581051, -113.48741839676887)"
Beechmont Cemetery,12420 104 Street NW,1158,53.57668646465989,-113.50038032090804,"(53.57668646465989, -113.50038032090804)"
Seniors Information Service,15 Sir Winston Churchill Square NW,1064,53.54484860570108,-113.49384541280457,"(53.54484860570108, -113.49384541280457)"
Wentworth Building,10211 97 Street NW,1756,53.54361160889481,-113.4882328299741,"(53.54361160889481, -113.4882328299741)"
Palace Casino,8882 170 Street NW,5010,53.5207224950946,-113.62320521147313,"(53.5207224950946, -113.62320521147313)"
Viselka,11415 86 Street NW,1277,53.564465772637384,-113.47320398112315,"(53.564465772637384, -113.47320398112315)"
Lillian Osborne High School,2019 Leger Road NW,4813,53.45513125321721,-113.57949349858619,"(53.45513125321721, -113.57949349858619)"
