_id,Permit_No,Permit_Sticker_No,Permit_Class,Permit_Holder,Permit_Address_Street_No,Permit_Address_Street_Name,Permit_Address_Unit,Permit_Address_Postal_Code,Permit_Address_Ward,Permit_Contact_Phone_No_,Issue_Date,Cancellation_Date,geometry
156986,P90-4532531,P08704,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),AMJ RECYCLING INC,20,TUXEDO CRT,,M1G3S5,24,(647) 295-6973,20160209,20200107.0,"{u'type': u'Point', u'coordinates': (-79.2301866878, 43.7801851032)}"
156987,P90-4532544,P08705,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),AMJ RECYCLING INC,40,TUXEDO CRT,,M1G3S7,24,(647) 295-6973,20160209,20200107.0,"{u'type': u'Point', u'coordinates': (-79.2307597681, 43.7812686846)}"
156988,P90-4532525,P08700,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),AMJ RECYCLING INC,3967,LAWRENCE AVE E,,M1G1S2,24,(647) 295-6973,20160209,20200113.0,"{u'type': u'Point', u'coordinates': (-79.2032064832, 43.7639678832)}"
156989,P90-4428993,P08438,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),GREEN EARTH USED CLOTHING RECYCLING INC,2601,EGLINTON AVE E,,M1K2S1,20,(416) 894-1666,20141106,20200120.0,"{u'type': u'Point', u'coordinates': (-79.2536894856, 43.735184118)}"
156990,P90-4428857,P08432,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),GREEN EARTH USED CLOTHING RECYCLING INC,4050,BLOOR ST W,,M9B1M5,2,(416) 894-1666,20141106,20200121.0,"{u'type': u'Point', u'coordinates': (-79.5553048364, 43.6375294592)}"
156991,P90-4719700,P09091,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),GREEN EARTH USED CLOTHING RECYCLING INC,2155,LAWRENCE AVE E,,M1R5G9,21,(416) 894-1666,20170523,20200121.0,"{u'type': u'Point', u'coordinates': (-79.2854390765, 43.7470832962)}"
156992,P90-4719699,P09128,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),GREEN EARTH USED CLOTHING RECYCLING INC,1408,VICTORIA PARK AVE,,M4A2L7,19,(416) 894-1666,20170523,20200121.0,"{u'type': u'Point', u'coordinates': (-79.3008830647, 43.7191339768)}"
156993,P90-4719698,P07886,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),GREEN EARTH USED CLOTHING RECYCLING INC,2715,LAWRENCE AVE E,,M1P2S2,21,(416) 894-1666,20170523,20200121.0,"{u'type': u'Point', u'coordinates': (-79.2602855883, 43.7519612801)}"
156994,P90-4729239,P08232,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),GREEN EARTH USED CLOTHING RECYCLING INC,33,DAVISVILLE AVE,,M4S2Y9,12,(416) 894-1666,20170915,20200121.0,"{u'type': u'Point', u'coordinates': (-79.3949238347, 43.6983951886)}"
156995,P90-4729234,P08231,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),GREEN EARTH USED CLOTHING RECYCLING INC,141,DAVISVILLE AVE,,M4S1G7,12,(416) 894-1666,20170915,20200121.0,"{u'type': u'Point', u'coordinates': (-79.3914184257, 43.6991911048)}"
156996,P90-4822037,P09210,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),GREEN EARTH USED CLOTHING RECYCLING INC,10,SAN ROMANOWAY,,M3N2Y2,7,(416) 894-1666,20180601,20200121.0,"{u'type': u'Point', u'coordinates': (-79.5166809322, 43.7585401941)}"
156997,P90-4919291,P09046,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),GREEN EARTH USED CLOTHING RECYCLING INC,2283,EGLINTON AVE E,,M1K2N4,20,(416) 894-1666,20190410,20200121.0,"{u'type': u'Point', u'coordinates': (-79.2723812981, 43.7305583723)}"
156998,P90-4919292,P09047,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),GREEN EARTH USED CLOTHING RECYCLING INC,236,DIXON RD,,M9P2M3,1,(416) 894-1666,20190410,20200121.0,"{u'type': u'Point', u'coordinates': (-79.5463927222, 43.6983362533)}"
156999,P90-4919293,P09048,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),GREEN EARTH USED CLOTHING RECYCLING INC,18,PANORAMA CRT,,M9V3Z8,1,(416) 894-1666,20190410,20200121.0,"{u'type': u'Point', u'coordinates': (-79.5819972103, 43.7471776431)}"
157000,P90-4919294,P09049,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),GREEN EARTH USED CLOTHING RECYCLING INC,370,MCCOWAN RD,,M1J1J3,21,(416) 894-1666,20190410,20200121.0,"{u'type': u'Point', u'coordinates': (-79.2395009689, 43.7399757697)}"
157001,P90-4919296,P09050,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),GREEN EARTH USED CLOTHING RECYCLING INC,215,MARKHAM RD,,M1J3C4,24,(416) 894-1666,20190410,20200121.0,"{u'type': u'Point', u'coordinates': (-79.2187713008, 43.744696642)}"
157002,P90-4919297,P09051,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),GREEN EARTH USED CLOTHING RECYCLING INC,4010,LAWRENCE AVE E,,M1E2R4,24,(416) 894-1666,20190410,20200121.0,"{u'type': u'Point', u'coordinates': (-79.1988475843, 43.7667315745)}"
157003,P90-4919298,P09052,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),GREEN EARTH USED CLOTHING RECYCLING INC,4000,LAWRENCE AVE E,,M1E2R3,24,(416) 894-1666,20190410,20200121.0,"{u'type': u'Point', u'coordinates': (-79.200010227, 43.7661120765)}"
157004,P90-4919299,P09053,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),GREEN EARTH USED CLOTHING RECYCLING INC,1216,YORK MILLS RD,,M3A1Y6,16,(416) 894-1666,20190410,20200121.0,"{u'type': u'Point', u'coordinates': (-79.3325640814, 43.7601779836)}"
157005,P90-4919300,P09054,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),GREEN EARTH USED CLOTHING RECYCLING INC,567,SCARBOROUGH GOLF CLUB RD,,M1G1H5,24,(416) 894-1666,20190410,20200121.0,"{u'type': u'Point', u'coordinates': (-79.2150743506, 43.761339074)}"
157006,P90-4919303,P09055,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),GREEN EARTH USED CLOTHING RECYCLING INC,30,TUXEDO CRT,,M1G3S6,24,(416) 894-1666,20190410,20200121.0,"{u'type': u'Point', u'coordinates': (-79.2295091754, 43.7813130122)}"
157007,P90-4924514,P09056,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),GREEN EARTH USED CLOTHING RECYCLING INC,270,SHELDON AVE,,M8W4M1,3,(416) 894-1666,20190410,20200121.0,"{u'type': u'Point', u'coordinates': (-79.5462107894, 43.6092105194)}"
157008,P90-4924597,P09057,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),GREEN EARTH USED CLOTHING RECYCLING INC,1004,LAWRENCE AVE E,,M3C1R5,16,(416) 894-1666,20190410,20200121.0,"{u'type': u'Point', u'coordinates': (-79.3414669469, 43.7382018911)}"
157009,P90-4924663,P09058,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),GREEN EARTH USED CLOTHING RECYCLING INC,625,EVANS AVE,,M8W2W5,3,(416) 894-1666,20190410,20200121.0,"{u'type': u'Point', u'coordinates': (-79.550545526, 43.609630037)}"
157010,P90-4924670,P09059,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),GREEN EARTH USED CLOTHING RECYCLING INC,321,CHAPLIN CRES,,M5P1B2,12,(416) 894-1666,20190410,20200121.0,"{u'type': u'Point', u'coordinates': (-79.4173230681, 43.7023575152)}"
157011,P90-4924672,P09060,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),GREEN EARTH USED CLOTHING RECYCLING INC,1757,VICTORIA PARK AVE,,M1R1S1,21,(416) 894-1666,20190410,20200121.0,"{u'type': u'Point', u'coordinates': (-79.3080818022, 43.7396579744)}"
157012,P90-4924673,P09061,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),GREEN EARTH USED CLOTHING RECYCLING INC,2020,SHEPPARD AVE W,,M3N1A3,7,(416) 894-1666,20190410,20200121.0,"{u'type': u'Point', u'coordinates': (-79.5181434205, 43.739202145)}"
157013,P90-4924674,P09062,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),GREEN EARTH USED CLOTHING RECYCLING INC,2180,WESTON RD,,M9N1Y1,5,(416) 894-1666,20190410,20200121.0,"{u'type': u'Point', u'coordinates': (-79.526148917, 43.702981103)}"
157014,P90-4924678,P09063,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),GREEN EARTH USED CLOTHING RECYCLING INC,2190,WESTON RD,,M9N1Y2,5,(416) 894-1666,20190410,20200121.0,"{u'type': u'Point', u'coordinates': (-79.526528746, 43.703114245)}"
157015,P90-4924679,P09064,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),GREEN EARTH USED CLOTHING RECYCLING INC,20,SHALLMAR BLVD,,M5N1J5,8,(416) 894-1666,20190410,20200121.0,"{u'type': u'Point', u'coordinates': (-79.424723028, 43.704511738)}"
157016,P90-4924680,P09065,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),GREEN EARTH USED CLOTHING RECYCLING INC,2265,VICTORIA PARK AVE,,M1R1W3,21,(416) 894-1666,20190410,20200121.0,"{u'type': u'Point', u'coordinates': (-79.316783785, 43.762813962)}"
157017,P90-4924681,P09066,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),GREEN EARTH USED CLOTHING RECYCLING INC,61,EASTDALE AVE,,M4C4Z9,19,(416) 894-1666,20190410,20200121.0,"{u'type': u'Point', u'coordinates': (-79.3004171655, 43.6946059977)}"
157018,P90-4924683,P09067,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),GREEN EARTH USED CLOTHING RECYCLING INC,33,EASTMOUNT AVE,,M4K1V3,14,(416) 894-1666,20190410,20200121.0,"{u'type': u'Point', u'coordinates': (-79.3612885228, 43.6790036577)}"
157019,P90-4924684,P09068,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),GREEN EARTH USED CLOTHING RECYCLING INC,88,ISABELLA ST,,M4Y1N5,13,(416) 894-1666,20190410,20200121.0,"{u'type': u'Point', u'coordinates': (-79.3813488094, 43.6687338253)}"
157020,P90-4924685,P09069,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),GREEN EARTH USED CLOTHING RECYCLING INC,100,WELLESLEY ST E,,M4Y1H5,13,(416) 894-1666,20190410,20200121.0,"{u'type': u'Point', u'coordinates': (-79.3792025495, 43.6665543282)}"
