_id,address,dir,end_date,flash_speed,geometry,min_speed,schedule,sign_id,sign_name,speed_limit,start_date,strobe_speed,ward_no
5318,51 Kingsview Boulevard,EB,,31,"{u'type': u'Point', u'coordinates': (-79.554847, 43.698055)}",20,Weekdays from 7 AM - 9 PM,51,Kingsview Blvd EB ,30,2019-01-03T19:00:00,36,1.0
5319,520 Cosburn Avenue,SB,2020-11-13T07:00:00,31,"{u'type': u'Point', u'coordinates': (-79.330745, 43.694763)}",20,Weekdays from 7 AM - 9 PM,866,Durant Ave SB ,30,2019-11-28T15:00:00,36,14.0
5320,2580 Kipling Avenue,EB,,41,"{u'type': u'Point', u'coordinates': (-79.586886, 43.746431)}",30,Weekdays from 7 AM - 9 PM,65,Mt. Olive Dr EB ,40,2019-04-03T13:00:00,46,1.0
5321,47 Silverstone Drive,NB,,41,"{u'type': u'Point', u'coordinates': (-79.58787, 43.744667)}",30,Weekdays from 7 AM - 9 PM,182,Silverstone Dr NB ,40,2019-04-03T13:00:00,46,1.0
5322,7 Hullen Crescent,SB,2020-04-05T03:00:00,41,"{u'type': u'Point', u'coordinates': (-79.619998, 43.729637)}",30,Weekdays from 7 AM - 9 PM,268,Humberwood Blvd SB ,40,2017-09-01T13:00:00,46,1.0
5323,850 Humberwood Boulevard ,NB,2018-12-03T20:00:00,41,"{u'type': u'Point', u'coordinates': (-79.6200688334, 43.7289179122)}",30,Weekdays from 7 AM - 9 PM,286,Humberwood Blvd NB ,40,2016-11-30T16:00:00,46,1.0
5324,68 Silverstone Drive,SB,,41,"{u'type': u'Point', u'coordinates': (-79.588289, 43.747123)}",30,Weekdays from 7 AM - 9 PM,300,Silverston Dr SB ,40,2019-04-03T13:00:00,46,1.0
5325,13 Mount Olive Drive,EB,,41,"{u'type': u'Point', u'coordinates': (-79.585901, 43.746366)}",30,Weekdays from 7 AM - 9 PM,399,Mt. Olive Dr EB ,40,2019-04-11T09:00:00,46,1.0
5326,82 Mount Olive Drive,EB,,41,"{u'type': u'Point', u'coordinates': (-79.590087, 43.745981)}",30,Weekdays from 7 AM - 9 PM,523,Mt. Olive Dr EB ,40,2019-04-03T13:00:00,46,1.0
5327,44 Kingsview Boulevard,WB,,31,"{u'type': u'Point', u'coordinates': (-79.553785, 43.698448)}",20,Weekdays from 7 AM - 9 PM,524,Kingsview Blvd WB ,30,2019-01-03T19:00:00,36,1.0
5328,2612 Kipling Avenue,NB,2020-01-08T04:00:00,61,"{u'type': u'Point', u'coordinates': (-79.584854, 43.748778)}",30,Weekdays from 7 AM - 9 PM,525,Kipling Avve NB ,60,2019-08-01T04:00:00,66,1.0
5329,20 York Road,EB,,51,"{u'type': u'Point', u'coordinates': (-79.552668, 43.69957)}",30,Weekdays from 7 AM - 9 PM,633,York Rd EB ,50,2019-03-20T13:00:00,56,1.0
5330,94 Fairview Avenue,WB,2020-11-29T19:00:00,31,"{u'type': u'Point', u'coordinates': (-79.476566, 43.66075)}",20,Weekdays from 7 AM - 9 PM,137,Annette St WB ,30,2019-03-07T15:00:00,36,4.0
5331,13 Maryhill Drive,SB,,51,"{u'type': u'Point', u'coordinates': (-79.586408, 43.752068)}",30,Weekdays from 7 AM - 9 PM,884,Kipling Ave SB ,50,2019-12-17T15:00:00,56,1.0
5332,1 Annabelle Drive,NB,,51,"{u'type': u'Point', u'coordinates': (-79.585995, 43.751632)}",30,Weekdays from 7 AM - 9 PM,885,Kipling Ave NB ,50,2019-12-17T16:00:00,56,1.0
5333,2614 Kipling Avenue,SB,2020-04-03T18:00:00,51,"{u'type': u'Point', u'coordinates': (-79.585146, 43.748907)}",30,Weekdays from 7 AM - 9 PM,918,Kipling Ave SB ,50,2020-01-27T15:00:00,56,1.0
5334,185 Mount Olive Drive,SB,,41,"{u'type': u'Point', u'coordinates': (-79.5955, 43.751305)}",5,Weekdays from 7 AM - 9 PM,1954,Mt. Olive Dr SB ,40,2020-03-09T15:00:00,46,1.0
5335,152 Mount Olive Drive,NB,,41,"{u'type': u'Point', u'coordinates': (-79.594836, 43.749095)}",5,Weekdays from 7 AM - 9 PM,1999,Mt. Olive Dr NB ,40,2020-03-09T16:00:00,46,1.0
5336,10 Jamestown Crescent,WB,,41,"{u'type': u'Point', u'coordinates': (-79.582097, 43.734507)}",5,Weekdays from 7 AM - 9 PM,2083,John Garland Blvd WB ,40,2020-03-17T14:00:00,46,1.0
5337,15 Jamestown Crescent,EB,,41,"{u'type': u'Point', u'coordinates': (-79.58281, 43.733546)}",5,Weekdays from 7 AM - 9 PM,2085,John Garland Blvd EB ,40,2020-03-17T13:00:00,46,1.0
5338,2667 Kipling Avenue,SB,,51,"{u'type': u'Point', u'coordinates': (-79.584638, 43.748906)}",30,Weekdays from 7 AM - 9 PM,2139,Kipling Ave SB ,50,2020-04-03T18:00:00,56,1.0
5339,7 Hullen Crescent,SB,,51,"{u'type': u'Point', u'coordinates': (-79.61987, 43.729674)}",30,Weekdays from 7 AM - 9 PM,2146,Humberwood Blvd SB ,50,2020-04-06T13:00:00,56,1.0
5340,7 Arborview Crescent,NB,,51,"{u'type': u'Point', u'coordinates': (-79.620937, 43.72809)}",30,Weekdays from 7 AM - 9 PM,2216,Humberwood Blvd NB ,50,2020-05-26T12:00:00,56,1.0
5341,1675 Martin Grove Road,NB,,51,"{u'type': u'Point', u'coordinates': (-79.588133, 43.729528)}",30,Weekdays from 7 AM - 9 PM,2233,Martin Grove Rd NB ,50,2020-07-15T13:00:00,56,1.0
5342,16 Gateway Boulevard,EB,,41,"{u'type': u'Point', u'coordinates': (-79.332705, 43.710406)}",30,Weekdays from 8 AM - 5 PM,667,Gateway Blvd EB ,40,2017-05-26T16:00:00,46,16.0
5343,109 John Garland Boulevard,EB,,41,"{u'type': u'Point', u'coordinates': (-79.587652, 43.732366)}",5,Weekdays from 7 AM - 9 PM,2235,John Garland Blvd EB ,40,2020-07-16T11:00:00,46,1.0
5344,249 John Garland Boulevard,SB,,41,"{u'type': u'Point', u'coordinates': (-79.592514, 43.73262)}",5,Weekdays from 7 AM - 9 PM,2238,John Garland Blvd SB C,40,2020-07-17T13:00:00,46,1.0
5345,108 John Garland Boulevard,WB,,41,"{u'type': u'Point', u'coordinates': (-79.584543, 43.732318)}",5,Weekdays from 7 AM - 9 PM,2240,John Garland Bld WB ,40,2020-07-15T15:00:00,46,1.0
5346,487 Silverstone Drive,SB,,41,"{u'type': u'Point', u'coordinates': (-79.596031, 43.738606)}",5,Weekdays from 7 AM - 9 PM,2241,Silverstone Dr SB c,40,2020-07-17T15:00:00,46,1.0
5347,10 Pittsboro Drive,NB,,51,"{u'type': u'Point', u'coordinates': (-79.591004, 43.735692)}",30,Weekdays from 7 AM - 9 PM,2244,Martin Grove Rd NB c,50,2020-07-17T14:00:00,56,1.0
5348,50 Lynmont Road,SB,,41,"{u'type': u'Point', u'coordinates': (-79.595586, 43.73158)}",5,Weekdays from 7 AM - 9 PM,2245,Lynmount Rd SB ,40,2020-07-16T14:00:00,46,1.0
5349,17 Lynmont Road,NB,,41,"{u'type': u'Point', u'coordinates': (-79.593431, 43.729537)}",5,Weekdays from 7 AM - 9 PM,2246,Lynmount Rd NB c,40,2020-07-17T12:00:00,46,1.0
5350,45 Lynmont Road,WB,,41,"{u'type': u'Point', u'coordinates': (-79.592766, 43.730528)}",5,Weekdays from 7 AM - 9 PM,2247,Four Leaf Dr WB ,40,2020-07-16T13:00:00,46,1.0
5351,143 Gihon Spring Drive,EB,,41,"{u'type': u'Point', u'coordinates': (-79.598554, 43.754386)}",5,Weekdays from 7 AM - 9 PM,2250,Gihon Spring Dr EB ,40,2020-07-20T13:00:00,46,1.0
5352,198 Mount Olive Drive,NB,,41,"{u'type': u'Point', u'coordinates': (-79.596798, 43.752924)}",5,Weekdays from 7 AM - 9 PM,2251,Mount Olive Dr NB ,40,2020-07-20T14:00:00,46,1.0
5353,249 John Garland Boulevard,SB,,41,"{u'type': u'Point', u'coordinates': (-79.592514, 43.73262)}",5,Weekdays from 7 AM - 9 PM,2254,John Garland Blvd SB ,40,2020-07-20T04:00:00,46,1.0
5354,10 Pittsboro Drive,NB,,51,"{u'type': u'Point', u'coordinates': (-79.591004, 43.735692)}",30,Weekdays from 7 AM - 9 PM,2255,Martin Grove Rd NB ,50,2020-07-20T04:00:00,56,1.0
5355,487 Silverstone Drive,SB,,41,"{u'type': u'Point', u'coordinates': (-79.596031, 43.738606)}",5,Weekdays from 7 AM - 9 PM,2256,Silverstone Dr SB ,40,2020-07-20T04:00:00,46,1.0
5356,70 Gihon Spring Drive,WB,,41,"{u'type': u'Point', u'coordinates': (-79.596796, 43.75489)}",5,Weekdays from 7 AM - 9 PM,2257,Gihon Spring Dr WB ,40,2020-07-20T13:00:00,46,1.0
5357,1 Scullion Court,NB,,41,"{u'type': u'Point', u'coordinates': (-79.597333, 43.753705)}",5,Weekdays from 7 AM - 9 PM,2258,Mount Olive Dr NB ,40,2020-07-20T14:00:00,46,1.0
5358,17 Lynmont Road,NB,,41,"{u'type': u'Point', u'coordinates': (-79.593431, 43.729537)}",5,Weekdays from 7 AM - 9 PM,2260,Lynmount Rd NB ,40,2020-07-20T04:00:00,46,1.0
5359,1795 Martin Grove Road,SB,,51,"{u'type': u'Point', u'coordinates': (-79.592333, 43.737876)}",30,Weekdays from 7 AM - 9 PM,2345,Martin Grove Rd SB ,50,2020-09-21T18:00:00,56,1.0
5360,8 Littleriver Crescent,EB,,51,"{u'type': u'Point', u'coordinates': (-79.593773, 43.73625)}",30,Weekdays from 7 AM - 9 PM,2346,Finch Ave W EB ,50,2020-09-21T16:00:00,56,1.0
5361,27 Sultan Pool Drive,WB,,51,"{u'type': u'Point', u'coordinates': (-79.592883, 43.736589)}",30,Weekdays from 7 AM - 9 PM,2347,Finch Ave W WB ,50,2020-09-21T16:00:00,56,1.0
5362,538 Silverstone Drive,NB,,41,"{u'type': u'Point', u'coordinates': (-79.595158, 43.736937)}",5,Weekdays from 7 AM - 9 PM,2373,Silverstone Dr NB - C,40,2020-09-22T14:00:00,46,1.0
5363,538 Silverstone Drive,NB,,41,"{u'type': u'Point', u'coordinates': (-79.595158, 43.736937)}",5,Weekdays from 7 AM - 9 PM,2381,Silverstone Dr NB ,40,2020-09-24T04:00:00,46,1.0
5364,18 Brownlow Avenue,SB,2020-11-29T19:00:00,41,"{u'type': u'Point', u'coordinates': (-79.391422, 43.706385)}",5,Weekdays from 7 AM - 9 PM,2219,Brownlow Ave SB ,40,2020-05-27T18:00:00,46,12.0
