_id,LONGITURE,INSPECTION_CLOSED_DATE,INSPECTION_OPENED_DATE,PROPERY_WARD,LATITUDE,VIOLATION_DESCRIPTION,PROPERTY_ADDRESS,VIOLATION_FIRE_CODE
2227511,-79.5856641573,2017-04-26 19:04:00,2017-04-10 19:07:11,1,43.7442337043,,40 Stevenson Rd,
2227512,-79.3729722927,2017-01-26 17:30:49,2017-01-26 17:30:49,13,43.6536262914,,145 Queen St E,
2227513,-79.48529559999999,2017-02-02 15:32:46,2017-01-04 19:59:06,6,43.72724984560001,,5 Agate Rd,
2227514,-79.3745165825,2017-09-11 16:41:47,2017-01-04 14:39:33,15,43.702778241400004,2.2.3.1 Damaged closures,1460 Bayview Ave,2.2.3.1
2227515,-79.3745165825,2017-09-11 16:41:47,2017-01-04 14:39:33,15,43.702778241400004,6.4.2.5 Hose,1460 Bayview Ave,6.4.2.5
2227516,-79.3816440622,2017-02-28 21:55:01,2017-01-06 15:47:19,13,43.6692336901,2.2.3.2 Maintenance of closures,77 Charles St E,2.2.3.2
2227517,-79.5525691249,2017-03-29 20:29:07,2017-01-04 15:09:18,2,43.694910741,,301 Dixon Rd,
2227518,-79.5479578196,2017-01-05 21:48:24,2017-01-05 21:48:24,1,43.7012039566,,2063 Islington Ave,
2227519,-79.418488924,2017-01-05 18:30:10,2017-01-05 17:30:45,12,43.6823113813,,21 Vaughan Rd,
2227520,-79.418488924,2017-05-26 17:30:52,2017-01-13 15:30:55,12,43.6823113813,6.6.1.2 Valve inspections,21 Vaughan Rd,6.6.1.2
2227521,-79.5798906401,2017-04-19 13:12:32,2017-01-09 14:06:46,2,43.6301975537,6.3.2.2 Fire alarm systems,210 Markland Dr,6.3.2.2
2227522,-79.56453962020001,2017-01-09 15:58:31,2017-01-09 15:58:31,2,43.651718136899994,,5 Capri Rd,
2227523,-79.42351148600001,2017-05-04 13:15:36,2017-01-17 05:00:00,10,43.64918867,1.1.2.3./2.7.3.3.(3) Records of Test (Emergency Lighting),1239 Dundas St W,1.1.2.3./2.7.3.3.(3)
2227524,-79.48060673,2017-02-27 14:27:09,2017-01-17 19:56:42,6,43.7258079014,,2737 Keele St,
2227525,-79.3738282072,2017-01-16 16:46:49,2017-01-13 19:03:20,13,43.664096113199996,"6.5.1.2 Repair, replacement, alterations, inspection, testing and maintenance",392 Sherbourne St,6.5.1.2
2227526,-79.543733135,2017-02-14 21:30:06,2017-02-14 21:30:06,1,43.722977575,,238 Albion Rd,
2227527,-79.5434359501,2017-02-23 16:52:02,2017-01-16 13:32:45,7,43.7498192236,2.2.3.2 Maintenance of closures,3400 Weston Rd,2.2.3.2
2227528,-79.3251799432,2017-02-01 19:30:53,2017-01-18 20:30:11,22,43.7958074279,2.4.1.1 Accumulation of combustible materials,55 Huntingdale Blvd,2.4.1.1
2227529,-79.5119719596,2017-04-21 15:39:38,2017-01-19 12:46:07,5,43.6990639559,,1765 Weston Rd,
2227530,-79.1944172425,2017-01-17 14:38:06,2017-01-12 14:56:36,24,43.7865043037,,110 Mornelle Crt,
2227531,-79.51474864069999,2017-05-17 18:22:04,2017-01-23 16:16:17,7,43.7243235641,9.6.2.7 Storage rooms,160 Chalkfarm Dr,9.6.2.7
2227532,-79.400577145,2017-07-07 13:00:00,2017-02-16 05:00:00,10,43.637501718,2.2.3.1 Damaged closures,20 Bruyeres Mews,2.2.3.1
2227533,-79.400577145,2017-07-07 13:00:00,2017-02-16 05:00:00,10,43.637501718,2.2.3.3 Operation of closures,20 Bruyeres Mews,2.2.3.3
2227534,-79.405573988,2017-03-23 19:01:44,2017-01-25 05:00:00,10,43.637007337,1.1.2.3./2.7.3.3.(3) Records of Test (Emergency Lighting),219 Fort York Blvd,1.1.2.3./2.7.3.3.(3)
2227535,-79.404729726,2017-06-29 04:00:00,2017-02-16 05:00:00,10,43.637158155,1.1.2.1 Records to be prepared,209 Fort York Blvd,1.1.2.1
2227536,-79.4060786521,2017-08-30 18:59:40,2017-01-25 05:00:00,10,43.63697944729999,2.4.1.1 Accumulation of combustible materials,231 Fort York Blvd,2.4.1.1
2227537,-79.400688603,2017-07-07 09:30:00,2017-03-14 18:00:00,10,43.637196151000005,6.3.1.4 Fire Alarm Maintenance ,15 Bruyeres Mews,6.3.1.4
2227538,-79.4469525657,2017-03-29 12:30:42,2017-01-25 21:11:16,12,43.695129788,6.3.2.2 Fire alarm systems,633 Northcliffe Blvd,6.3.2.2
2227539,-79.398094087,2017-06-29 13:52:01,2017-01-31 13:59:09,10,43.6508032017,6.4.3.6 Dry standpipes,99 Cameron St,6.4.3.6
2227540,-79.4363583389,2017-01-30 17:00:50,2017-01-30 17:00:50,4,43.6421900653,,20 West Lodge Ave,
2227541,-79.3448533882,2017-11-06 19:30:55,2017-01-31 21:22:01,14,43.665362780500004,"6.5.1.2 Repair, replacement, alterations, inspection, testing and maintenance",444 Logan Ave,6.5.1.2
2227542,-79.43860578600001,2019-01-15 17:29:40,2017-02-01 17:30:31,12,43.6978992413,2.4.6.1 Electrical wiring,1463 Eglinton Ave W,2.4.6.1
