_id,APPLICATION#,APPLICATION_TYPE,DATE_SUBMITTED,DESCRIPTION,HEARING_DATE,POSTAL,REFERENCE_FILE#,STATUS,STREET_DIRECTION,STREET_NAME,STREET_NUM,STREET_TYPE,X,Y
858926,18 147351 NNY 23 OZ,OZ,2018-04-23,"The proposal is for a 32-storey residential building.   A total gross floor area of 24,846m2 and a FSI of 4.99 x the lot area.  The proposed building will contain 358 units and 122 parking spaces in the two level below grade garage accessed from the public laneway to the west of the subject site.  A privately owned publically accessible park will be provided for a total area of 363 m2, in addition, to the required on-site parkland dedication of 481.9m2.  ",,M2N,,Closed, ,HOLMES,15,AVE,311707.497,4848408.923
858927,18 105146 STE 27 MV,MV,2018-01-15,To construct a pergola on the terrace of Suite 5B on the fifth floor.,2018-06-13,M5R,A0056/18TEY,Closed, ,HAZELTON,36,AVE,313347.19899999996,4836663.153
858928,18 137420 WET 11 MV,MV,2018-04-03,To convert the main floor of the existing mixed-use building to residential use.,2018-06-07,M6N,A0296/18EYK,Closed, ,SCARLETT,61,RD,304780.835,4836228.166999999
858929,18 150991 S45 29 TLAB,TLAB,2018-04-30,To alter the existing two-storey detached dwelling by constructing a third storey addition.,,M4K,18-150991,Decision Issued, ,CHESTER HILL,62,RD,316162.61699999997,4837734.345
858930,18 135637 STE 20 SB,SB,2018-03-28,Plan of Subdivison application for lands at 440 Front Street West and various addresses associated with the redevelopment of the former Globe and Mail site ('The Well').  The purpose of the plan of subdivision is to allow for the consolidation of parcels and the subsequent  creation and conveyancing of stratified interest in this mixed-use development.  The applicant has also filed a Part Lot control application to allow for the lifting of Part Lot Control provisions (file no. 18 135656 STE 20 PL).  The lands are also subject to an Official Plan amendment and Zoning By-law amendment application (14 116571 STE 20 OZ).  Both the OPA and Zoning are in force.   There are five site plan control applications currently under review on the lands.,,M5V,,Closed, ,SPADINA,6,AVE,313278.54,4833443.465
858931,18 149815 STE 28 SA,SA,2018-04-27,"Site Plan Control application for a 51-storey mixed use building with a GFA of 35,000 sq. m with 499 sq. m of retail space and 511 residential units, and the total number of rental units on the Block is 2057 units, of which 24 are rental replacement units (and therefore not market). The overall FSI is 7.38. ",,M4X,,Under Review , ,SHERBOURNE,589,ST,314789.173,4836546.733
858932,18 133881 STE 20 CD,CD,2018-03-23,"Plan of Standard Condominium to permit a 12-storey mixed-use building containing: 42 dwelling units, a total of 48 parking spaces (45 spaces for residences and 3 spaces for visitors below grade) and 253 square metres of office space.",,M5R,,Closed, ,PEARS,128,AVE,313019.005,4837077.013
858933,18 133890 STE 21 MV,MV,2018-03-23,To alter the two-storey detached dwelling currently under construction by expanding the rear ground floor deck and by reconfiguring the rear basement walkout stairs. Minor Variance Decision A0791/16TEY permitted the construction of a new two-storey detached dwelling.,2018-08-29,M5P,A0320/18TEY,Closed, ,AVA,7,CRES,311312.154,4839592.083000001
858934,18 171999 NNY 25 MV,MV,2018-06-05,"To alter existing dwelling by constructing a three-storey rear addition, a third storey addition over existing dwelling, and a rear deck.",2018-08-30,M4P,A0446/18NY,Approved with Conditions, ,SHERWOOD,46,AVE,313062.515,4841371.539
858935,18 152747 STE 21 MV,MV,2018-05-03,To construct a new two-storey detached dwelling with an integral garage.,2018-11-21,M5P,A0459/18TEY,Closed, ,GLENAYR,31,RD,311396.941,4838810.469
858936,18 152764 NNY 15 MV,MV,2018-05-03,To construct a new front addition and covered porch.,2018-06-14,M6B,A0345/18NY,Closed, ,GLEN PARK,528,AVE,308013.791,4840551.037
