_id,Index_,event_unique_id,Primary_Offence,Occurrence_Date,Occurrence_Year,Occurrence_Month,Occurrence_Day,Occurrence_Time,Division,City,Location_Type,Premise_Type,Bike_Make,Bike_Model,Bike_Type,Bike_Speed,Bike_Colour,Cost_of_Bike,Status,Hood_ID,Neighbourhood,Lat,Long,ObjectId,geometry
1,201,GO-20142058713,THEFT UNDER,2014-05-10T00:00:00,2014,5,10,16:30,23,Toronto,"Other Non Commercial / Corporate Places (Non-Profit, Gov'T, Firehall)",Other,SUPERCYCLE,,MT,10,ONG,,STOLEN,2,Mount Olive-Silverstone-Jamestown (2),,-79.5805969,1,"{u'type': u'Point', u'coordinates': (-79.5805969, 43.7396698)}"
2,202,GO-20142059340,PROPERTY - FOUND,2014-05-11T00:00:00,2014,5,11,18:30,53,Toronto,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,ROCKY MOUNTAIN,TRAILHEAD,MT,1,BLK,,RECOVERED,56,Leaside-Bennington (56),,-79.36458590000001,2,"{u'type': u'Point', u'coordinates': (-79.3645859, 43.7035179)}"
3,203,GO-20142060810,THEFT UNDER,2014-05-11T00:00:00,2014,5,11,18:00,52,Toronto,"Other Non Commercial / Corporate Places (Non-Profit, Gov'T, Firehall)",Other,MONGOOSE,,MT,18,BLU,200.0,STOLEN,76,Bay Street Corridor (76),,-79.38398740000001,3,"{u'type': u'Point', u'coordinates': (-79.3839874, 43.6629677)}"
4,204,GO-20142062543,THEFT UNDER,2014-05-11T00:00:00,2014,5,11,19:00,55,Toronto,"Private Property (Pool, Shed, Detached Garage)",Other,SCOTT,,OT,24,WHI,1600.0,STOLEN,62,East End-Danforth (62),,-79.2914963,4,"{u'type': u'Point', u'coordinates': (-79.2914963, 43.6868172)}"
5,205,GO-20142062543,THEFT UNDER,2014-05-11T00:00:00,2014,5,11,19:00,55,Toronto,"Private Property (Pool, Shed, Detached Garage)",Other,RALEIGH,,OT,18,BLU,650.0,STOLEN,62,East End-Danforth (62),,-79.2914963,5,"{u'type': u'Point', u'coordinates': (-79.2914963, 43.6868172)}"
6,206,GO-20142063112,THEFT UNDER,2014-05-09T00:00:00,2014,5,9,08:30,11,Toronto,"Private Property (Pool, Shed, Detached Garage)",Other,OTHER,,MT,0,GRY,300.0,STOLEN,88,High Park North (88),,-79.4654922,6,"{u'type': u'Point', u'coordinates': (-79.4654922, 43.6534843)}"
7,207,GO-20142064711,THEFT UNDER,2014-05-11T00:00:00,2014,5,11,02:00,51,Toronto,"Apartment (Rooming House, Condo)",Apartment,KHS,URBAN SOUL,RG,1,BLK,700.0,STOLEN,75,Church-Yonge Corridor (75),,-79.3815613,7,"{u'type': u'Point', u'coordinates': (-79.3815613, 43.6666489)}"
8,208,GO-20142065788,THEFT UNDER,2014-05-01T00:00:00,2014,5,1,12:00,52,Toronto,Universities / Colleges,Other,SUPERCYCLE,UNKNOWN,OT,21,BLKBLU,250.0,STOLEN,76,Bay Street Corridor (76),,-79.3897018,8,"{u'type': u'Point', u'coordinates': (-79.3897018, 43.6651764)}"
9,209,GO-20142065987,MISCHIEF UNDER,2014-05-08T00:00:00,2014,5,8,22:00,51,Toronto,"Private Property (Pool, Shed, Detached Garage)",Other,RALEIGH,,RG,3,BRN,500.0,STOLEN,73,Moss Park (73),,-79.3690262,9,"{u'type': u'Point', u'coordinates': (-79.3690262, 43.6569405)}"
10,210,GO-20142066066,THEFT UNDER,2014-05-05T00:00:00,2014,5,5,15:05,52,Toronto,Universities / Colleges,Other,NORCO,INDIE 1,OT,27,GRY,1200.0,STOLEN,79,University (79),,-79.3985672,10,"{u'type': u'Point', u'coordinates': (-79.3985672, 43.6677742)}"
11,211,GO-20142066244,THEFT UNDER,2014-05-08T00:00:00,2014,5,8,08:00,52,Toronto,Universities / Colleges,Other,NORCO,OLYMPIA,OT,21,GRY,500.0,STOLEN,76,Bay Street Corridor (76),,-79.3860855,11,"{u'type': u'Point', u'coordinates': (-79.3860855, 43.6569328)}"
12,212,GO-20142068530,B&E,2014-05-13T00:00:00,2014,5,13,05:16,51,Toronto,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,SPECIALIZED,SECTEUR,RC,12,REDWHI,1200.0,STOLEN,73,Moss Park (73),,-79.3655167,12,"{u'type': u'Point', u'coordinates': (-79.3655167, 43.6542053)}"
13,213,GO-20142068530,B&E,2014-05-13T00:00:00,2014,5,13,05:16,51,Toronto,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,OTHER,JAGERMEISTER,TO,0,BLKRED,1200.0,STOLEN,73,Moss Park (73),,-79.3655167,13,"{u'type': u'Point', u'coordinates': (-79.3655167, 43.6542053)}"
