TREE_ID,CIVIC_NUMBER,STD_STREET,GENUS_NAME,SPECIES_NAME,CULTIVAR_NAME,COMMON_NAME,ASSIGNED,ROOT_BARRIER,PLANT_AREA,ON_STREET_BLOCK,ON_STREET,NEIGHBOURHOOD_NAME,STREET_SIDE_NAME,HEIGHT_RANGE_ID,DIAMETER,CURB,DATE_PLANTED,Geom
232941,1700,WHYTE AV,PLATANUS,ACERIFOLIA   X,BLOODGOOD,BLOODGOOD PLANE TREE,Y,N,B,1700,WHYTE AV,KITSILANO,EVEN,1,3.0,Y,2011-11-19,
232955,709,SW MARINE DRIVE,ACER,RUBRUM,BOWHALL,BOWHALL RED MAPLE,N,N,4,700,SW MARINE DRIVE,MARPOLE,ODD,1,3.0,Y,2012-01-27,"{'type': 'Point', 'coordinates': [-123.123235, 49.2077]}"
232965,8579,SELKIRK ST,CERCIDIPHYLLUM,JAPONICUM,,KATSURA TREE,N,N,6,8500,SELKIRK ST,MARPOLE,ODD,1,3.0,Y,2012-03-05,"{'type': 'Point', 'coordinates': [-123.133088, 49.208681]}"
232970,6828,MONTGOMERY ST,PRUNUS,CERASIFERA,NIGRA,NIGHT PURPLE LEAF PLUM,N,N,N,1100,W 52ND AV,OAKRIDGE,EVEN,1,3.0,Y,2012-01-31,"{'type': 'Point', 'coordinates': [-123.131786, 49.223911]}"
232984,704,W 69TH AV,STYRAX,JAPONICA,,JAPANESE SNOWBELL,N,N,9,700,W 69TH AV,MARPOLE,EVEN,1,4.25,Y,2012-01-20,"{'type': 'Point', 'coordinates': [-123.121142, 49.209278]}"
232991,96,E 44TH AV,ACER,FREEMANI   X,MORGAN,MORGAN RED MAPLE,N,N,4,6000,QUEBEC ST,SUNSET,ODD,2,5.0,Y,2012-01-12,"{'type': 'Point', 'coordinates': [-123.103736, 49.230128]}"
232999,515,E 27TH AV,ACER,CAMPESTRE,PANACEK,PANACEK MAPLE,N,N,7,500,E 27TH AV,RILEY PARK,ODD,1,4.0,Y,2013-01-02,"{'type': 'Point', 'coordinates': [-123.093641, 49.246689]}"
233005,5635,DUMFRIES ST,CELTIS,OCCIDENTALIS,,COMMON HACKBERRY,N,N,10,5600,DUMFRIES ST,KENSINGTON-CEDAR COTTAGE,ODD,1,3.0,Y,2014-02-06,"{'type': 'Point', 'coordinates': [-123.074319, 49.233473]}"
233010,1863,E 6TH AV,ULMUS,PUMILA,,SIBERIAN ELM,N,N,8,1800,E 6TH AV,GRANDVIEW-WOODLAND,ODD,1,6.0,Y,2012-01-20,"{'type': 'Point', 'coordinates': [-123.066429, 49.2651]}"
233019,3628,NAPIER ST,ACER,RUBRUM,BRANDYWINE,BRANDYWINE RED MAPLE,N,N,5,3600,NAPIER ST,HASTINGS-SUNRISE,EVEN,1,3.0,Y,2013-05-13,"{'type': 'Point', 'coordinates': [-123.025424, 49.2749]}"
