ID;ADDRESS;BUILDINGNAME;VHR;DESIGNATION;ZONING;LOCALAREA;STREET;STREET_NBR;HRA_HCC;Geom
10;100 POWELL ST;;B;M;HA-2;Downtown;POWELL ST;100;;"{""type"": ""Point"", ""coordinates"": [-123.101835385269, 49.2829748316053]}"
26;1020 NICOLA ST;;B;;RM-5;West End;NICOLA ST;1020;;"{""type"": ""Point"", ""coordinates"": [-123.134394445688, 49.2862322912665]}"
32;1027 E GEORGIA ST;;C;;RT-3;Strathcona;E GEORGIA ST;1027;;"{""type"": ""Point"", ""coordinates"": [-123.0818464903, 49.2785092309632]}"
39;1036 KEEFER ST;;B;;RT-3;Strathcona;KEEFER ST;1036;;"{""type"": ""Point"", ""coordinates"": [-123.081512339535, 49.2788841164728]}"
42;1038 MAIN ST;;B;;FC-1;Strathcona;MAIN ST;1038;;"{""type"": ""Point"", ""coordinates"": [-123.09953914979, 49.2751873830635]}"
47;1046 COMMERCIAL DRIVE;;B;;C-2C1;Grandview-Woodland;COMMERCIAL DRIVE;1046;;"{""type"": ""Point"", ""coordinates"": [-123.069153817012, 49.2749718746189]}"
60;1074 CARDERO ST;;B;;RM-5;West End;CARDERO ST;1074;;"{""type"": ""Point"", ""coordinates"": [-123.136730589012, 49.2862475319777]}"
62;1076 CARDERO ST;;B;;RM-5;West End;CARDERO ST;1076;;"{""type"": ""Point"", ""coordinates"": [-123.136730589012, 49.2862475319777]}"
68;1083 MATTHEWS AV;;A;M;CD-1;Shaughnessy;MATTHEWS AV;1083;;"{""type"": ""Point"", ""coordinates"": [-123.129718972881, 49.2542405413145]}"
81;1102 COMMERCIAL DRIVE;;B;;C-2C1;Grandview-Woodland;COMMERCIAL DRIVE;1102;;"{""type"": ""Point"", ""coordinates"": [-123.069171170512, 49.2746993100626]}"
89;1110 BUTE ST;;B;;RM-5B;West End;BUTE ST;1110;;"{""type"": ""Point"", ""coordinates"": [-123.131796323391, 49.2826217692027]}"
91;1110 VICTORIA DRIVE;;A;;RT-5;Grandview-Woodland;VICTORIA DRIVE;1110;;"{""type"": ""Point"", ""coordinates"": [-123.065294329979, 49.2745828743509]}"
94;1114 BARCLAY ST;;A;M;RM-5B;West End;BARCLAY ST;1114;;"{""type"": ""Point"", ""coordinates"": [-123.127682626259, 49.2832981927351]}"
95;1114 COMOX ST;;B;;RM-5B;West End;COMOX ST;1114;;"{""type"": ""Point"", ""coordinates"": [-123.129824907263, 49.2818587271758]}"
99;1117 PENDRELL ST;LESLIE LANE HOUSE;B;M;RM-5B;West End;PENDRELL ST;1117;;"{""type"": ""Point"", ""coordinates"": [-123.130274225907, 49.2815322002222]}"
101;1119 THURLOW ST;;C;;RM-5B;West End;THURLOW ST;1119;;"{""type"": ""Point"", ""coordinates"": [-123.130170164444, 49.2813006556486]}"
105;1120 COMOX ST;;A;;RM-5B;West End;COMOX ST;1120;;"{""type"": ""Point"", ""coordinates"": [-123.129965021371, 49.2819651625348]}"
107;1122 BUTE ST;;B;;RM-5B;West End;BUTE ST;1122;;"{""type"": ""Point"", ""coordinates"": [-123.131980978598, 49.2824700886464]}"
109;1122 MAINLAND ST;;C;;HA-3;Downtown;MAINLAND ST;1122;;"{""type"": ""Point"", ""coordinates"": [-123.120702300081, 49.2751484139772]}"
115;1130 JERVIS ST;;A;M;RM-5B;West End;JERVIS ST;1130;;"{""type"": ""Point"", ""coordinates"": [-123.133770435157, 49.283173522534]}"
117;1132 HAMILTON ST;;C;M;HA-3;Downtown;HAMILTON ST;1132;;"{""type"": ""Point"", ""coordinates"": [-123.121513172254, 49.2753265683385]}"
118;1136 COMOX ST;;B;;RM-5B;West End;COMOX ST;1136;;"{""type"": ""Point"", ""coordinates"": [-123.130356186905, 49.2822206167464]}"
121;1140 COMOX ST;;B;;RM-5B;West End;COMOX ST;1140;;"{""type"": ""Point"", ""coordinates"": [-123.130417845111, 49.2822430351174]}"
125;1146 COMOX ST;ANTSIE HOUSE;B;;RM-5B;West End;COMOX ST;1146;;"{""type"": ""Point"", ""coordinates"": [-123.130524427359, 49.2823240332888]}"
126;1147 PENDRELL ST;RALSTON HOUSE;B;;RM-5B;West End;PENDRELL ST;1147;;"{""type"": ""Point"", ""coordinates"": [-123.131049894163, 49.2820295930585]}"
128;115 E PENDER ST;;;M;HA-1;Downtown;E PENDER ST;115;;"{""type"": ""Point"", ""coordinates"": [-123.101703525212, 49.2807161597808]}"
136;1154 COMOX ST;RUMMELL HOUSE;B;;RM-5B;West End;COMOX ST;1154;;"{""type"": ""Point"", ""coordinates"": [-123.130748746424, 49.2824765268003]}"
144;1159 PENDRELL ST;;B;;RM-5B;West End;PENDRELL ST;1159;;"{""type"": ""Point"", ""coordinates"": [-123.131244106295, 49.2821579946894]}"
148;1160 NICOLA ST;;B;;RM-5;West End;NICOLA ST;1160;;"{""type"": ""Point"", ""coordinates"": [-123.136535569979, 49.2848368966466]}"
150;1160 W GEORGIA ST;;B;MI;DD;West End;W GEORGIA ST;1160;H;"{""type"": ""Point"", ""coordinates"": [-123.124843457958, 49.286383446324]}"
153;1163 PENDRELL ST;;B;;RM-5B;West End;PENDRELL ST;1163;;"{""type"": ""Point"", ""coordinates"": [-123.131388843541, 49.2822434643017]}"
156;1164 W 7TH AV;;C;;FM-1;Fairview;W 7TH AV;1164;;"{""type"": ""Point"", ""coordinates"": [-123.130456697944, 49.2649602149946]}"
159;1169 PENDRELL ST;;B;;RM-5B;West End;PENDRELL ST;1169;;"{""type"": ""Point"", ""coordinates"": [-123.131442444391, 49.2822864002932]}"
162;1170 COMOX ST;LUMSDEN HOUSE;A;;RM-5B;West End;COMOX ST;1170;;"{""type"": ""Point"", ""coordinates"": [-123.131146792637, 49.2827310800068]}"
165;1176 THURLOW ST;;B;;C-5;West End;THURLOW ST;1176;;"{""type"": ""Point"", ""coordinates"": [-123.130598785791, 49.2805535001012]}"
169;1180 HOMER ST;MCMASTER BUILDING;B;M;HA-3;Downtown;HOMER ST;1180;H;"{""type"": ""Point"", ""coordinates"": [-123.122596505606, 49.2753267642819]}"
172;1188 WOLFE AV;;B;;FSD;Shaughnessy;WOLFE AV;1188;;"{""type"": ""Point"", ""coordinates"": [-123.131532554538, 49.2563941683731]}"
173;119 E PENDER ST;;;M;HA-1;Downtown;E PENDER ST;119;;"{""type"": ""Point"", ""coordinates"": [-123.101576137654, 49.2806694969008]}"
177;1195 W 16TH AV;;B;;RT-2;Fairview;W 16TH AV;1195;;"{""type"": ""Point"", ""coordinates"": [-123.131411175116, 49.2572983258792]}"
178;1196 W 59TH AV;RAMSAY HOUSE;A;M;RS-1;Marpole;W 59TH AV;1196;H;"{""type"": ""Point"", ""coordinates"": [-123.132473726557, 49.2169434643897]}"
181;12 WATER ST;;BC;M;HA-2;Downtown;WATER ST;12;H;"{""type"": ""Point"", ""coordinates"": [-123.104956671551, 49.283381966678]}"
191;121 E PENDER ST;;A;M;HA-1;Downtown;E PENDER ST;121;;"{""type"": ""Point"", ""coordinates"": [-123.101378232926, 49.2807136342144]}"
192;1210 E 14TH AV;;B;;RT-5;Mount Pleasant;E 14TH AV;1210;;"{""type"": ""Point"", ""coordinates"": [-123.079310582468, 49.2575652219795]}"
193;1210 JERVIS ST;;A;;C-5;West End;JERVIS ST;1210;;"{""type"": ""Point"", ""coordinates"": [-123.134840926049, 49.2824679732488]}"
194;1210 LAKEWOOD DRIVE;HARRIS HOUSE;A;M;RT-4;Grandview-Woodland;LAKEWOOD DRIVE;1210;;"{""type"": ""Point"", ""coordinates"": [-123.061464582777, 49.273661250168]}"
198;1218 E GEORGIA ST;;B;;RT-3;Strathcona;E GEORGIA ST;1218;;"{""type"": ""Point"", ""coordinates"": [-123.078755658685, 49.2782673666285]}"
200;122 WATER ST;;;M;HA-2;Downtown;WATER ST;122;;"{""type"": ""Point"", ""coordinates"": [-123.107038345624, 49.2836927475567]}"
201;1220 HOMER ST;;C;;HA-3;Downtown;HOMER ST;1220;;"{""type"": ""Point"", ""coordinates"": [-123.123392550432, 49.2748037372272]}"
209;1232 THE CRESCENT;;C;;FSD;Shaughnessy;THE CRESCENT;1232;;"{""type"": ""Point"", ""coordinates"": [-123.133358256033, 49.2551678170987]}"
210;1235 NELSON ST;;B;M;RM-5B;West End;NELSON ST;1235;;"{""type"": ""Point"", ""coordinates"": [-123.130584359584, 49.284515019578]}"
214;1238 TECUMSEH AV;;B;;FSD;Shaughnessy;TECUMSEH AV;1238;;"{""type"": ""Point"", ""coordinates"": [-123.132627796524, 49.2566748984038]}"
215;124 E PENDER ST;;;M;HA-1;Downtown;E PENDER ST;124;;"{""type"": ""Point"", ""coordinates"": [-123.101624014429, 49.2801708873938]}"
219;1245 HARWOOD ST;LEGG HOUSE;B;;RM-5A;West End;HARWOOD ST;1245;;"{""type"": ""Point"", ""coordinates"": [-123.136097362085, 49.2812248098162]}"
222;125 BOUNDARY ROAD;BECKETT HOUSE;C;M;RS-1;Hastings-Sunrise;BOUNDARY ROAD;125;H;"{""type"": ""Point"", ""coordinates"": [-123.023869301632, 49.2836625442117]}"
224;1254 W 7TH AV;;A;M;FM-1;Fairview;W 7TH AV;1254;;"{""type"": ""Point"", ""coordinates"": [-123.132645720699, 49.2649990466275]}"
226;1260 E 12TH AV;;C;;RT-5;Mount Pleasant;E 12TH AV;1260;;"{""type"": ""Point"", ""coordinates"": [-123.078257785722, 49.2593701097447]}"
227;1269 W 8TH AV;;C;;FM-1;Fairview;W 8TH AV;1269;;"{""type"": ""Point"", ""coordinates"": [-123.133239174585, 49.2646516615966]}"
228;127 E PENDER ST;;B;M;HA-1;Downtown;E PENDER ST;127;;"{""type"": ""Point"", ""coordinates"": [-123.101173963076, 49.2806688550573]}"
231;1279 E 28TH AV;;C;;RT-10;Kensington-Cedar Cottage;E 28TH AV;1279;;"{""type"": ""Point"", ""coordinates"": [-123.078548893188, 49.2457081575178]}"
235;1281 MATTHEWS AV;;A;;FSD;Shaughnessy;MATTHEWS AV;1281;;"{""type"": ""Point"", ""coordinates"": [-123.133904313434, 49.2540378264719]}"
241;1295 SEYMOUR ST;FEDERAL MOTOR CO.;B;M;DD;Downtown;SEYMOUR ST;1295;H;"{""type"": ""Point"", ""coordinates"": [-123.126940968168, 49.2757374169526]}"
244;1296 THE CRESCENT;;C;;FSD;Shaughnessy;THE CRESCENT;1296;;"{""type"": ""Point"", ""coordinates"": [-123.134561924596, 49.2545596758296]}"
253;1306 W 12TH AV;HUNTER HOUSE;A;;RM-3;Fairview;W 12TH AV;1306;;"{""type"": ""Point"", ""coordinates"": [-123.134099449009, 49.2604039382181]}"
254;131 WATER ST;;B;M;HA-2;Downtown;WATER ST;131;;"{""type"": ""Point"", ""coordinates"": [-123.107083095743, 49.2842801539326]}"
255;1310 W 13TH AV;;B;;RM-3;Fairview;W 13TH AV;1310;;"{""type"": ""Point"", ""coordinates"": [-123.134141611531, 49.2594929000742]}"
258;1317 WALNUT ST;;C;;RT-9;Kitsilano;WALNUT ST;1317;;"{""type"": ""Point"", ""coordinates"": [-123.149299173665, 49.2741500345914]}"
259;132 W 10TH AV;CLARK HOUSE;A;M;RT-6;Mount Pleasant;W 10TH AV;132;H;"{""type"": ""Point"", ""coordinates"": [-123.107959671758, 49.261862296242]}"
260;1323 WALNUT ST;;C;;RT-9;Kitsilano;WALNUT ST;1323;;"{""type"": ""Point"", ""coordinates"": [-123.149303708373, 49.2740582777759]}"
265;1335 W 7TH AV;;C;;FM-1;Fairview;W 7TH AV;1335;;"{""type"": ""Point"", ""coordinates"": [-123.134535700247, 49.2655144904654]}"
267;1339 W 7TH AV;;C;;FM-1;Fairview;W 7TH AV;1339;;"{""type"": ""Point"", ""coordinates"": [-123.134535700247, 49.2655144904654]}"
268;134 ABBOTT ST;;B;M;HA-2;Downtown;ABBOTT ST;134;;"{""type"": ""Point"", ""coordinates"": [-123.106005896093, 49.2840832173454]}"
270;1343 W 7TH AV;;C;;FM-1;Fairview;W 7TH AV;1343;;"{""type"": ""Point"", ""coordinates"": [-123.134535700247, 49.2655144904654]}"
271;135 E PENDER ST;;B;M;HA-1;Downtown;E PENDER ST;135;;"{""type"": ""Point"", ""coordinates"": [-123.101072213384, 49.2806645416725]}"
278;137 W 11TH AV;;B;;RT-6;Mount Pleasant;W 11TH AV;137;;"{""type"": ""Point"", ""coordinates"": [-123.108196469659, 49.261478878829]}"
281;1380 HORNBY ST;;A;MI;CD-1;Downtown;HORNBY ST;1380;H;
282;1386 NICOLA ST;;A;M;RM-5A;West End;NICOLA ST;1386;;"{""type"": ""Point"", ""coordinates"": [-123.140145968434, 49.2824518209657]}"
283;1386 THURLOW ST;;B;;RM-5A;West End;THURLOW ST;1386;;"{""type"": ""Point"", ""coordinates"": [-123.133911344205, 49.2783294457639]}"
288;139 W 11TH AV;;B;;RT-6;Mount Pleasant;W 11TH AV;139;;"{""type"": ""Point"", ""coordinates"": [-123.108401262196, 49.2614818351936]}"
290;1390 THURLOW ST;;B;;RM-5A;West End;THURLOW ST;1390;;"{""type"": ""Point"", ""coordinates"": [-123.1340403437, 49.2782465404974]}"
291;1390 W 14TH AV;;B;;RM-3;Fairview;W 14TH AV;1390;;"{""type"": ""Point"", ""coordinates"": [-123.135841524559, 49.2585967644171]}"
293;1398 THE CRESCENT;;B;;FSD;Shaughnessy;THE CRESCENT;1398;;"{""type"": ""Point"", ""coordinates"": [-123.136549164223, 49.2548510112239]}"
295;140 W 10TH AV;;A;M;RT-6;Mount Pleasant;W 10TH AV;140;;"{""type"": ""Point"", ""coordinates"": [-123.10819265602, 49.2618715952744]}"
298;1401 PENDRELL ST;FEE HOUSE;A;M;RM-5;West End;PENDRELL ST;1401;;"{""type"": ""Point"", ""coordinates"": [-123.13517316374, 49.2846994959731]}"
303;1415 BARCLAY ST;ROEDDE HOUSE;A;M;RM-5;West End;BARCLAY ST;1415;;"{""type"": ""Point"", ""coordinates"": [-123.131894471628, 49.2876624419866]}"
304;1415 W 11TH AV;;C;M;RM-3;Fairview;W 11TH AV;1415;H;"{""type"": ""Point"", ""coordinates"": [-123.136713198289, 49.261948887911]}"
309;142 E PENDER ST;;;M;HA-1;Downtown;E PENDER ST;142;;"{""type"": ""Point"", ""coordinates"": [-123.101308472134, 49.2801561071355]}"
310;1420 NAPIER ST;;B;;RM-4;Grandview-Woodland;NAPIER ST;1420;;"{""type"": ""Point"", ""coordinates"": [-123.074797865169, 49.2747590318858]}"
311;1423 E 11TH AV;;B;;RT-5;Kensington-Cedar Cottage;E 11TH AV;1423;;"{""type"": ""Point"", ""coordinates"": [-123.075123516974, 49.2607594315207]}"
312;1426 ANGUS DRIVE;;C;;FSD;Shaughnessy;ANGUS DRIVE;1426;;"{""type"": ""Point"", ""coordinates"": [-123.137021915081, 49.2546197240922]}"
320;144 W 10TH AV;FRED WELSH HOUSE;A;M;RT-6;Mount Pleasant;W 10TH AV;144;;"{""type"": ""Point"", ""coordinates"": [-123.10819265602, 49.2618715952744]}"
322;1443 W 8TH AV;;C;;C-3A;Fairview;W 8TH AV;1443;;"{""type"": ""Point"", ""coordinates"": [-123.136943566806, 49.2647362480143]}"
323;1447 BARCLAY ST;BARCLAY MANOR;A;M;RM-5;West End;BARCLAY ST;1447;;"{""type"": ""Point"", ""coordinates"": [-123.131894471628, 49.2876624419866]}"
325;1450 ANGUS DRIVE;;C;;FSD;Shaughnessy;ANGUS DRIVE;1450;;"{""type"": ""Point"", ""coordinates"": [-123.137488081514, 49.2544833244514]}"
330;1457 E 11TH AV;;C;;RT-5;Kensington-Cedar Cottage;E 11TH AV;1457;;"{""type"": ""Point"", ""coordinates"": [-123.074305485304, 49.2607509742952]}"
334;1460 NELSON ST;;B;;RM-5;West End;NELSON ST;1460;;"{""type"": ""Point"", ""coordinates"": [-123.134394445688, 49.2862322912665]}"
335;1462 GRAVELEY ST;;B;;RM-4;Grandview-Woodland;GRAVELEY ST;1462;;"{""type"": ""Point"", ""coordinates"": [-123.073981315742, 49.2702705165714]}"
340;1469 W 59TH AV;;B;;RS-1;Marpole;W 59TH AV;1469;;"{""type"": ""Point"", ""coordinates"": [-123.13914895023, 49.2176404502666]}"
341;147 E PENDER ST;;;M;HA-1;Downtown;E PENDER ST;147;;"{""type"": ""Point"", ""coordinates"": [-123.100756671624, 49.2806620371206]}"
345;148 E PENDER ST;;;M;HA-1;Downtown;E PENDER ST;148;;"{""type"": ""Point"", ""coordinates"": [-123.101200533588, 49.2801526036475]}"
349;149 E PENDER ST;;;M;HA-1;Downtown;E PENDER ST;149;;"{""type"": ""Point"", ""coordinates"": [-123.100650109695, 49.2806586224836]}"
353;1499 ANGUS DRIVE;;A;;FSD;Shaughnessy;ANGUS DRIVE;1499;;"{""type"": ""Point"", ""coordinates"": [-123.138411379304, 49.2551496674481]}"
356;150 ALEXANDER ST;MISSION HOUSE;C;;HA-2;Downtown;ALEXANDER ST;150;;"{""type"": ""Point"", ""coordinates"": [-123.100994481945, 49.2837922685322]}"
358;150 W 10TH AV;;A;M;RT-6;Mount Pleasant;W 10TH AV;150;;"{""type"": ""Point"", ""coordinates"": [-123.10819265602, 49.2618715952744]}"
362;1504 GRAVELEY ST;;B;;RM-4;Grandview-Woodland;GRAVELEY ST;1504;;"{""type"": ""Point"", ""coordinates"": [-123.073272408595, 49.2702879782096]}"
363;1504 W 14TH AV;;B;;C-3A;Fairview;W 14TH AV;1504;;"{""type"": ""Point"", ""coordinates"": [-123.139161715386, 49.2587794879599]}"
367;1510 GRAVELEY ST;;B;;RM-4;Grandview-Woodland;GRAVELEY ST;1510;;"{""type"": ""Point"", ""coordinates"": [-123.073144555052, 49.2702803233496]}"
368;1511 W 65TH AV;;B;;RS-1;Marpole;W 65TH AV;1511;;"{""type"": ""Point"", ""coordinates"": [-123.14129869872, 49.2125086489281]}"
369;1515 ATLAS LANE;;;L;CD-1;Kerrisdale;ATLAS LANE;1515;;"{""type"": ""Point"", ""coordinates"": [-123.14121000602, 49.2207871236576]}"
370;1515 LAURIER AV;;B;;FSD;Shaughnessy;LAURIER AV;1515;;"{""type"": ""Point"", ""coordinates"": [-123.1394290164, 49.2510686329859]}"
373;1516 POWELL ST;;B;;M-2;Grandview-Woodland;POWELL ST;1516;;"{""type"": ""Point"", ""coordinates"": [-123.073353024098, 49.282983964202]}"
374;1517 COMOX ST;;B;;RM-5;West End;COMOX ST;1517;;"{""type"": ""Point"", ""coordinates"": [-123.135427695694, 49.2862547422405]}"
376;152 W HASTINGS ST;;C;;DD;Downtown;W HASTINGS ST;152;;"{""type"": ""Point"", ""coordinates"": [-123.109058705138, 49.2820346126377]}"
377;1520 ATLAS LANE;SHANNON MANSION;A;M;CD-1;Kerrisdale;ATLAS LANE;1520;;"{""type"": ""Point"", ""coordinates"": [-123.141814421225, 49.2205601070707]}"
381;1525 ATLAS LANE;SHANNON COACH HOUS;A;;CD-1;Kerrisdale;ATLAS LANE;1525;;"{""type"": ""Point"", ""coordinates"": [-123.141816487692, 49.2205240064946]}"
383;1527 LAURIER AV;;B;;FSD;Shaughnessy;LAURIER AV;1527;;"{""type"": ""Point"", ""coordinates"": [-123.139960940497, 49.2511188128511]}"
385;1529 W 33RD AV;CROSBY HOUSE;B;M;RS-5;Shaughnessy;W 33RD AV;1529;H;"{""type"": ""Point"", ""coordinates"": [-123.140538755445, 49.2421868153372]}"
388;1535 W 14TH AV;;B;;RM-3;Fairview;W 14TH AV;1535;;"{""type"": ""Point"", ""coordinates"": [-123.139552166562, 49.2591745569026]}"
389;1537 E 10TH AV;;C;;RT-5;Kensington-Cedar Cottage;E 10TH AV;1537;;"{""type"": ""Point"", ""coordinates"": [-123.072773758274, 49.2616168205397]}"
395;1549 CLARK DRIVE;;B;;I-2;Strathcona;CLARK DRIVE;1549;;"{""type"": ""Point"", ""coordinates"": [-123.077819990092, 49.2709520034931]}"
396;155 E PENDER ST;;;M;HA-1;Downtown;E PENDER ST;155;;"{""type"": ""Point"", ""coordinates"": [-123.10054121313, 49.2806578177679]}"
401;1550 HARWOOD ST;;B;;RM-5A;West End;HARWOOD ST;1550;;"{""type"": ""Point"", ""coordinates"": [-123.140683747864, 49.2833103598501]}"
403;1550 W 33RD AV;;B;;RS-5;Shaughnessy;W 33RD AV;1550;;"{""type"": ""Point"", ""coordinates"": [-123.1410802002, 49.2415944357075]}"
406;1553 E 18TH AV;;B;;RS-2;Kensington-Cedar Cottage;E 18TH AV;1553;;"{""type"": ""Point"", ""coordinates"": [-123.071838316246, 49.2545575307164]}"
409;1558 COMOX ST;;B;;RM-5;West End;COMOX ST;1558;;"{""type"": ""Point"", ""coordinates"": [-123.136568983036, 49.2863651370653]}"
410;156 E 8TH AV;;B;;C-3A;Mount Pleasant;E 8TH AV;156;;"{""type"": ""Point"", ""coordinates"": [-123.101417035282, 49.2635441209579]}"
411;156 W 10TH AV;;B;M;RT-6;Mount Pleasant;W 10TH AV;156;;"{""type"": ""Point"", ""coordinates"": [-123.108802228022, 49.2618745309517]}"
412;1560 COMOX ST;;B;;RM-5;West End;COMOX ST;1560;;"{""type"": ""Point"", ""coordinates"": [-123.136568983036, 49.2863651370653]}"
423;1575 W 15TH AV;;B;;RM-3;Fairview;W 15TH AV;1575;;"{""type"": ""Point"", ""coordinates"": [-123.140394379974, 49.2582666006767]}"
425;159 E HASTINGS ST;;C;;DEOD;Downtown;E HASTINGS ST;159;;"{""type"": ""Point"", ""coordinates"": [-123.100737303765, 49.2817635141922]}"
427;1592 TRAFALGAR ST;;B;;RT-8;Kitsilano;TRAFALGAR ST;1592;;"{""type"": ""Point"", ""coordinates"": [-123.164044528015, 49.2720843108067]}"
434;1601 COMOX ST;GRACE COURT;B;M;RM-5A;West End;COMOX ST;1601;;"{""type"": ""Point"", ""coordinates"": [-123.136472634553, 49.2869247505578]}"
439;1606 VICTORIA DRIVE;;C;;RT-5;Grandview-Woodland;VICTORIA DRIVE;1606;;"{""type"": ""Point"", ""coordinates"": [-123.065471432161, 49.2702444206048]}"
455;163 W HASTINGS ST;;B;M;HA-2;Downtown;W HASTINGS ST;163;H;"{""type"": ""Point"", ""coordinates"": [-123.109156859482, 49.2826054258406]}"
457;1631 DUNBAR ST;;A;;RT-8;Kitsilano;DUNBAR ST;1631;;"{""type"": ""Point"", ""coordinates"": [-123.183799789157, 49.2716440591901]}"
460;1638 ANGUS DRIVE;;B;;FSD;Shaughnessy;ANGUS DRIVE;1638;;"{""type"": ""Point"", ""coordinates"": [-123.141921327691, 49.2538001107904]}"
461;1638 MARPOLE AV;;;;FSD;Shaughnessy;MARPOLE AV;1638;H;"{""type"": ""Point"", ""coordinates"": [-123.14172801173, 49.2553282495017]}"
463;1641 DUNBAR ST;;B;M;RT-8;Kitsilano;DUNBAR ST;1641;;"{""type"": ""Point"", ""coordinates"": [-123.183801941988, 49.27148349148]}"
464;1642 STEPHENS ST;;B;M;RT-8;Kitsilano;STEPHENS ST;1642;;"{""type"": ""Point"", ""coordinates"": [-123.165949198176, 49.2712330633843]}"
469;1652 MARPOLE AV;;C;;FSD;Shaughnessy;MARPOLE AV;1652;;"{""type"": ""Point"", ""coordinates"": [-123.14217567604, 49.255259281833]}"
