MAPID,NAME,LOCATION,MAINTAINER,IN_OPERATION,PET_FRIENDLY,PHOTO_NAME,Geom,Geo Local Area
DFPB0004,"Fountain location:
Almond Park",S-side of playground,Parks,spring to fall,,,"{""type"": ""Point"", ""coordinates"": [-123.18474450987034, 49.26108572763105]}",Kitsilano
DFPB0008,"Fountain location:
Arbutus Village Park",S-side of playground,Parks,spring to fall,,,"{""type"": ""Point"", ""coordinates"": [-123.157976371445, 49.248784480708856]}",Arbutus-Ridge
DFPB0011,"Fountain location:
Beaconsfield Park",adjacent to field house,Parks,spring to fall,,Beaconsfield Park - drinking fountain - 2005.JPG,"{""type"": ""Point"", ""coordinates"": [-123.05005566614936, 49.25529665790978]}",Renfrew-Collingwood
DFPB0014,"Fountain location:
Carnarvon Park",S-side of wading pool,Parks,spring to fall,,,"{""type"": ""Point"", ""coordinates"": [-123.17249944309232, 49.25703164790549]}",Arbutus-Ridge
DFPB0021,"Fountain location:
Clinton Park - East side of wading pool",E-side of wading pool,Parks,spring to fall,,Clinton Park - drinking fountain - 2005.JPG,"{""type"": ""Point"", ""coordinates"": [-123.05012162418116, 49.27080498248805]}",Hastings-Sunrise
DFPB0023,"Fountain location:
Coal Harbour Park",near playground,Parks,spring to fall,,,"{""type"": ""Point"", ""coordinates"": [-123.12537005471899, 49.28997735565045]}",Downtown
DFPB0033,"Fountain location:
David Lam Park - South west of playgrounds","E area, near playground",Parks,spring to fall,,,"{""type"": ""Point"", ""coordinates"": [-123.12327408831909, 49.27249998987751]}",Downtown
DFPB0036,"Fountain location:
Douglas Park (community centre)",exterior of building,Parks,spring to fall,,Douglas Park - drinking fountain 2 - 2005.JPG,"{""type"": ""Point"", ""coordinates"": [-123.12248713679699, 49.252041562131495]}",South Cambie
DFPB0038,"Fountain location:
Elm Park",N-side of field house,Parks,spring to fall,,,"{""type"": ""Point"", ""coordinates"": [-123.16338644585873, 49.2335891619661]}",Kerrisdale
DFPB0039,"Fountain location:
Emery Barnes Park - Dog off-leash area",,Parks,,,,"{""type"": ""Point"", ""coordinates"": [-123.12378107952713, 49.277097085980934]}",Downtown
DFPB0046,"Fountain location:
Fraser River Park - park entrance by Angus Dr",near park entrance by Angus Dr,Parks,spring to fall,,Fraser River Park - drinking fountain - 2007.JPG,"{""type"": ""Point"", ""coordinates"": [-123.14932242480502, 49.20723462029865]}",Kerrisdale
DFPB0053,"Fountain location:
George Park",southeast corner of park,Parks,spring to fall,,George Park - drinking fountain - 2005.JPG,"{""type"": ""Point"", ""coordinates"": [-123.09358705827185, 49.212521750458855]}",Sunset
DFPB0055,"Fountain location:
Grandview Park - West of Stage",Close to the Stage,Parks,spring to fall,,,"{""type"": ""Point"", ""coordinates"": [-123.07079528098261, 49.27367804148393]}",Grandview-Woodland
DFPB0058,"Fountain location:
Grays Park",front of wading pool,Parks,spring to fall,,,"{""type"": ""Point"", ""coordinates"": [-123.08497892775704, 49.24108234786047]}",Kensington-Cedar Cottage
DFPB0063,"Fountain location:
Hastings Community Park - South of wading pool",besides wading pool,Parks,spring to fall,,Hastings Community Park - drinking fountain - 2005.JPG,"{""type"": ""Point"", ""coordinates"": [-123.03820552198269, 49.280485189595346]}",Hastings-Sunrise
DFPB0072,"Fountain location:
Hillcrest Park - East side",,Parks,,,,"{""type"": ""Point"", ""coordinates"": [-123.10695405521624, 49.24576803722393]}",Riley Park
DFPB0076,"Fountain location:
Kaslo Park",SE corner of tennis courts,Parks,spring to fall,,,"{""type"": ""Point"", ""coordinates"": [-123.04513661129735, 49.26405984253122]}",Hastings-Sunrise
DFPB0078,"Fountain location:
Kerrisdale Centennial Park",2nd N-side entrance,Parks,spring to fall,,,"{""type"": ""Point"", ""coordinates"": [-123.15718540627705, 49.23343616142541]}",Kerrisdale
