TYPE,T_MF_9A_6P,T_MF_6P_10,T_SA_9A_6P,T_SA_6P_10,T_SU_9A_6P,T_SU_6P_10,TIME_MISC,R_MF_9A_6P,R_MF_6P_10,R_SA_9A_6P,R_SA_6P_10,R_SU_9A_6P,R_SU_6P_10,RATE_MISC,CREDITCARD,LOCATION,INTERSECTN,TIMEINEFFE,RUSH_HR,MAPID,Geom,Geo Local Area
Metered Motorcycle Parking,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No Time Limit,$ .50,$ .50,$ .50,$ .50,$ .50,$ .50,$ .50,No,n/a,n/a,METER IN EFFECT: 9:00 AM TO 10:00 PM,n/a,9041,"{""type"": ""Point"", ""coordinates"": [-123.13194137730336, 49.29070454951823]}",West End
Metered Motorcycle Parking,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No Time Limit,$1.00,$1.50,$1.00,$1.50,$1.00,$1.50,$1.00,No,n/a,n/a,METER IN EFFECT: 9:00 AM TO 10:00 PM,n/a,15830,"{""type"": ""Point"", ""coordinates"": [-123.10477875804996, 49.27919393929889]}",Downtown
Metered Motorcycle Parking,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No Time Limit,$5.00,$5.00,$5.00,$5.00,$5.00,$5.00,$2.00,No,n/a,n/a,METER IN EFFECT: 9:00 AM TO 10:00 PM,n/a,15842,"{""type"": ""Point"", ""coordinates"": [-123.11596170791283, 49.26409413482648]}",Fairview
Metered Motorcycle Parking,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No Time Limit,$2.50,$2.00,$2.50,$2.00,$2.50,$2.00,$2.50,No,n/a,n/a,METER IN EFFECT: 9:00 AM TO 10:00 PM,n/a,15770,"{""type"": ""Point"", ""coordinates"": [-123.12030105897982, 49.27730342454101]}",Downtown
Metered Motorcycle Parking,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No Time Limit,$1.00,$ .50,$1.00,$ .50,$1.00,$ .50,$1.00,No,n/a,n/a,METER IN EFFECT: 9:00 AM TO 10:00 PM,n/a,15912,"{""type"": ""Point"", ""coordinates"": [-123.12726203568538, 49.277659921814966]}",Downtown
Metered Motorcycle Parking,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No Time Limit,$1.50,$1.00,$1.50,$1.00,$1.50,$1.00,$1.50,No,n/a,n/a,METER IN EFFECT: 9:00 AM TO 10:00 PM,n/a,15660,"{""type"": ""Point"", ""coordinates"": [-123.11793159538504, 49.27995979695137]}",Downtown
Metered Motorcycle Parking,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No Time Limit,$ .50,$2.00,$ .50,$2.00,$ .50,$2.00,$ .50,No,n/a,n/a,METER IN EFFECT: 9:00 AM TO 10:00 PM,n/a,15756,"{""type"": ""Point"", ""coordinates"": [-123.10104566606762, 49.257632877449176]}",Mount Pleasant
Metered Motorcycle Parking,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No Time Limit,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,No,n/a,n/a,METER IN EFFECT: 9:00 AM TO 10:00 PM,n/a,15806,"{""type"": ""Point"", ""coordinates"": [-123.1253579411953, 49.28853333053899]}",Downtown
Metered Motorcycle Parking,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No Time Limit,$ .50,$ .50,$ .50,$ .50,$ .50,$ .50,$ .50,No,n/a,n/a,METER IN EFFECT: 9:00 AM TO 10:00 PM,n/a,9073,"{""type"": ""Point"", ""coordinates"": [-123.11775303273386, 49.27643607986959]}",Downtown
Metered Motorcycle Parking,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No Time Limit,$ .50,$ .50,$ .50,$ .50,$ .50,$ .50,$ .50,No,n/a,n/a,METER IN EFFECT: 9:00 AM TO 10:00 PM,n/a,18508,"{""type"": ""Point"", ""coordinates"": [-123.09302334031246, 49.27211278048591]}",Strathcona
Metered Motorcycle Parking,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No Time Limit,$ .50,$ .50,$ .50,$ .50,$ .50,$ .50,$ .50,No,n/a,n/a,METER IN EFFECT: 9:00 AM TO 10:00 PM,n/a,18549,"{""type"": ""Point"", ""coordinates"": [-123.16618899717294, 49.26825400532486]}",Kitsilano
Metered Motorcycle Parking,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No Time Limit,$2.00,$1.50,$2.00,$1.50,$2.00,$1.50,$2.00,No,n/a,n/a,METER IN EFFECT: 9:00 AM TO 10:00 PM,n/a,9077,"{""type"": ""Point"", ""coordinates"": [-123.12864167518703, 49.27957437718599]}",West End
Metered Motorcycle Parking,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No Time Limit,$3.50,$3.00,$3.50,$3.00,$3.50,$3.00,$3.50,No,n/a,n/a,METER IN EFFECT: 9:00 AM TO 10:00 PM,n/a,15914,"{""type"": ""Point"", ""coordinates"": [-123.1173461672302, 49.28704559574684]}",Downtown
Metered Motorcycle Parking,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No Time Limit,$4.00,$2.50,$4.00,$2.50,$4.00,$2.50,$4.00,No,n/a,n/a,METER IN EFFECT: 9:00 AM TO 10:00 PM,n/a,9024,"{""type"": ""Point"", ""coordinates"": [-123.11476298335006, 49.28722695109797]}",Downtown
Metered Motorcycle Parking,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No Time Limit,$1.00,$1.50,$1.00,$1.50,$1.00,$1.50,$1.00,No,n/a,n/a,METER IN EFFECT: 9:00 AM TO 10:00 PM,n/a,15828,"{""type"": ""Point"", ""coordinates"": [-123.10734939252016, 49.27960235365533]}",Downtown
Metered Motorcycle Parking,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No Time Limit,$ .50,$1.50,$ .50,$1.50,$ .50,$1.50,$ .50,No,n/a,n/a,METER IN EFFECT: 9:00 AM TO 10:00 PM,n/a,18475,"{""type"": ""Point"", ""coordinates"": [-123.10116175777678, 49.24942438434038]}",Riley Park
Metered Motorcycle Parking,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No Time Limit,$ .50,$ .50,$ .50,$ .50,$ .50,$ .50,$ .50,No,n/a,n/a,METER IN EFFECT: 9:00 AM TO 10:00 PM,n/a,18009,"{""type"": ""Point"", ""coordinates"": [-123.14590057646744, 49.26721996265301]}",Kitsilano
Metered Motorcycle Parking,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No Time Limit,$1.50,$ .50,$1.50,$ .50,$1.50,$ .50,$1.50,No,n/a,n/a,METER IN EFFECT: 9:00 AM TO 10:00 PM,n/a,9056,"{""type"": ""Point"", ""coordinates"": [-123.12926707033508, 49.291364273002834]}",Downtown
Metered Motorcycle Parking,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No Time Limit,$1.00,$1.50,$1.00,$1.50,$1.00,$1.50,$1.00,No,n/a,n/a,METER IN EFFECT: 9:00 AM TO 10:00 PM,n/a,15772,"{""type"": ""Point"", ""coordinates"": [-123.11988008182708, 49.27740541770349]}",Downtown
Metered Motorcycle Parking,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No Time Limit,$4.00,$4.00,$4.00,$4.00,$4.00,$4.00,$4.00,No,n/a,n/a,METER IN EFFECT: 9:00 AM TO 10:00 PM,n/a,17606,"{""type"": ""Point"", ""coordinates"": [-123.1171886067797, 49.28433599607934]}",Downtown
Metered Motorcycle Parking,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No Time Limit,$1.50,$1.50,$3.00,$3.00,$3.00,$3.00,$1.50,No,n/a,n/a,METER IN EFFECT: 9:00 AM TO 10:00 PM,n/a,9000,"{""type"": ""Point"", ""coordinates"": [-123.06981304613221, 49.27300107516604]}",Grandview-Woodland
Metered Motorcycle Parking,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No Time Limit,$1.50,$1.50,$1.50,$1.50,$1.50,$1.50,$1.50,No,n/a,n/a,METER IN EFFECT: 9:00 AM TO 10:00 PM,n/a,9004,"{""type"": ""Point"", ""coordinates"": [-123.06982067370033, 49.272083947898295]}",Grandview-Woodland
Metered Motorcycle Parking,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No Time Limit,$3.50,$1.00,$3.50,$1.00,$3.50,$1.00,$3.50,No,n/a,n/a,METER IN EFFECT: 9:00 AM TO 10:00 PM,n/a,16693,"{""type"": ""Point"", ""coordinates"": [-123.12250744659482, 49.280805440581396]}",Downtown
Metered Motorcycle Parking,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No Time Limit,$1.50,$1.50,$1.50,$1.50,$1.50,$1.50,$1.50,No,n/a,n/a,METER IN EFFECT: 9:00 AM TO 10:00 PM,n/a,9002,"{""type"": ""Point"", ""coordinates"": [-123.06991839739192, 49.272188430919584]}",Grandview-Woodland
Metered Motorcycle Parking,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No Time Limit,$ .50,$ .50,$ .50,$ .50,$ .50,$ .50,$ .50,No,n/a,n/a,METER IN EFFECT: 9:00 AM TO 10:00 PM,n/a,14824,"{""type"": ""Point"", ""coordinates"": [-123.10133342847479, 49.25735692207121]}",Mount Pleasant
Metered Motorcycle Parking,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No Time Limit,$ .50,$ .50,$ .50,$ .50,$ .50,$ .50,$ .50,No,n/a,n/a,METER IN EFFECT: 9:00 AM TO 10:00 PM,n/a,9019,"{""type"": ""Point"", ""coordinates"": [-123.12339648565347, 49.277621261477684]}",Downtown
Metered Motorcycle Parking,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No Time Limit,$1.50,$1.50,$1.50,$1.50,$1.50,$1.50,$1.50,No,n/a,n/a,METER IN EFFECT: 9:00 AM TO 10:00 PM,n/a,15798,"{""type"": ""Point"", ""coordinates"": [-123.12675656714211, 49.28606464559753]}",West End
Metered Motorcycle Parking,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No Time Limit,$1.00,$1.50,$1.00,$1.50,$1.00,$1.50,$1.00,No,n/a,n/a,METER IN EFFECT: 9:00 AM TO 10:00 PM,n/a,15800,"{""type"": ""Point"", ""coordinates"": [-123.13221679235758, 49.289306062113276]}",West End
Metered Motorcycle Parking,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No Time Limit,$ .50,$ .50,$ .50,$ .50,$ .50,$ .50,$ .50,No,n/a,n/a,METER IN EFFECT: 9:00 AM TO 10:00 PM,n/a,4491,"{""type"": ""Point"", ""coordinates"": [-123.10753272543933, 49.263159733377556]}",Mount Pleasant
Metered Motorcycle Parking,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No Time Limit,$ .50,$ .50,$ .50,$ .50,$ .50,$ .50,$ .50,No,n/a,n/a,METER IN EFFECT: 9:00 AM TO 10:00 PM,n/a,14654,"{""type"": ""Point"", ""coordinates"": [-123.09721417091988, 49.26288846845528]}",Mount Pleasant
Metered Motorcycle Parking,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No Time Limit,$ .50,$ .50,$ .50,$ .50,$ .50,$ .50,$ .50,No,n/a,n/a,METER IN EFFECT: 9:00 AM TO 10:00 PM,n/a,15834,"{""type"": ""Point"", ""coordinates"": [-123.09967497265134, 49.28397850095238]}",Downtown
Metered Motorcycle Parking,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No Time Limit,$1.50,$1.50,$1.50,$1.50,$1.50,$1.50,$1.50,No,n/a,n/a,METER IN EFFECT: 9:00 AM TO 10:00 PM,n/a,15774,"{""type"": ""Point"", ""coordinates"": [-123.11709664392806, 49.279423067068855]}",Downtown
Metered Motorcycle Parking,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No Time Limit,$1.00,$ .50,$1.00,$ .50,$1.00,$ .50,$1.00,No,n/a,n/a,METER IN EFFECT: 9:00 AM TO 10:00 PM,n/a,9047,"{""type"": ""Point"", ""coordinates"": [-123.17149913949834, 49.26404557449769]}",Kitsilano
Metered Motorcycle Parking,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No Time Limit,$3.00,$2.00,$3.00,$2.00,$3.00,$2.00,$3.00,No,n/a,n/a,METER IN EFFECT: 9:00 AM TO 10:00 PM,n/a,9066,"{""type"": ""Point"", ""coordinates"": [-123.11522610726527, 49.285620897229485]}",Downtown
Metered Motorcycle Parking,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No Time Limit,$ .50,$ .50,$ .50,$ .50,$ .50,$ .50,$ .50,No,n/a,n/a,METER IN EFFECT: 9:00 AM TO 10:00 PM,n/a,15905,"{""type"": ""Point"", ""coordinates"": [-123.10082803230664, 49.262139326763055]}",Mount Pleasant
Metered Motorcycle Parking,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No Time Limit,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,No,n/a,n/a,METER IN EFFECT: 9:00 AM TO 10:00 PM,n/a,15875,"{""type"": ""Point"", ""coordinates"": [-123.14536562634164, 49.26709907575227]}",Fairview
