KEY;ZONE;INSTALLATION;LOCATION_1;LOCATION_2;ORIENTATION;BIA;Geo Local Area;Geom
CVP001;DT;2009;Robson;Burrard;350;Robson Street;West End;"{""type"": ""Point"", ""coordinates"": [-123.12307, 49.28337]}"
CVP003;DT;2009;Robson;mid-block 1100;44;Robson Street;West End;"{""type"": ""Point"", ""coordinates"": [-123.125505, 49.285151]}"
CVP005;DT;2009;Cordova;Howe;176;Downtown Vancouver;Downtown;"{""type"": ""Point"", ""coordinates"": [-123.113604, 49.286713]}"
CVP006;DT;2009;Cordova;Seymour;134;Downtown Vancouver;Downtown;"{""type"": ""Point"", ""coordinates"": [-123.111818, 49.285448]}"
CVP008;DT;2009;Burrard;Georgia;93;Downtown Vancouver;Downtown;"{""type"": ""Point"", ""coordinates"": [-123.12102, 49.284627]}"
CVP015;DT;2009;Smithe;Expo;96;None;Downtown;"{""type"": ""Point"", ""coordinates"": [-123.114722, 49.276064]}"
CVP019;DT;2009;Burrard;Nelson;269;Downtown Vancouver;Downtown;"{""type"": ""Point"", ""coordinates"": [-123.125949, 49.28103]}"
CVP027;DT;2009;Granville;Pender;315;Downtown Vancouver;Downtown;"{""type"": ""Point"", ""coordinates"": [-123.115082, 49.284628]}"
CVP029;DT;2009;Robson;Thurlow;275;Robson Street;West End;"{""type"": ""Point"", ""coordinates"": [-123.124929, 49.284444]}"
CVP030;DT;2009;Water;Richards;58;Gastown;Downtown;"{""type"": ""Point"", ""coordinates"": [-123.110454, 49.284679]}"
CVS003;OT;2010;Alma;W 4th;180;None;West Point Grey;"{""type"": ""Point"", ""coordinates"": [-123.185891, 49.268547]}"
CVS006;OT;2010;Dunbar;W 16th;90;Dunbar Village;Dunbar-Southlands;"{""type"": ""Point"", ""coordinates"": [-123.184987, 49.257669]}"
CVS007;OT;2010;Dunbar;W 41st;90;Dunbar Village;Dunbar-Southlands;"{""type"": ""Point"", ""coordinates"": [-123.185493, 49.234657]}"
CVS008;OT;2010;W 4th;Balaclava;180;None;Kitsilano;"{""type"": ""Point"", ""coordinates"": [-123.173701, 49.268341]}"
CVS009;OT;2010;W Broadway;Balaclava;180;West Broadway;Kitsilano;"{""type"": ""Point"", ""coordinates"": [-123.17414, 49.264268]}"
CVS010;Metro Core;2010;W 4th;Macdonald;180;None;Kitsilano;"{""type"": ""Point"", ""coordinates"": [-123.168555, 49.268293]}"
CVS012;Metro Core;2010;W Broadway;Macdonald;180;West Broadway;Kitsilano;"{""type"": ""Point"", ""coordinates"": [-123.168375, 49.263972]}"
CVS013;Metro Core;2010;Cornwall;Trafalgar;180;None;Kitsilano;"{""type"": ""Point"", ""coordinates"": [-123.164454, 49.272834]}"
CVS014;Metro Core;2010;Yew;Cornwall;180;None;Kitsilano;"{""type"": ""Point"", ""coordinates"": [-123.155102, 49.272501]}"
CVS016;OT;2010;W 41st;West Blvd;180;Kerrisdale;Arbutus-Ridge;"{""type"": ""Point"", ""coordinates"": [-123.155328, 49.234663]}"
CVS017;OT;2010;W 41st;East Blvd;180;Kerrisdale;Kerrisdale;"{""type"": ""Point"", ""coordinates"": [-123.155144, 49.234456]}"
CVS021;Metro Core;2010;W 4th;Burrard;90;Kitsilano 4th Avenue;Fairview;"{""type"": ""Point"", ""coordinates"": [-123.145433, 49.267899]}"
CVS024;Metro Core;2009;W 4th;Granville;90;None;Fairview;"{""type"": ""Point"", ""coordinates"": [-123.138206, 49.268016]}"
CVS026;Metro Core;2009;Granville;W 13th;90;South Granville;Fairview;"{""type"": ""Point"", ""coordinates"": [-123.1389, 49.259773]}"
CVS030;OT;2010;Granville;W 68th;90;Marpole;Marpole;"{""type"": ""Point"", ""coordinates"": [-123.140605, 49.210408]}"
CVS031;Metro Core;2010;W Broadway;Oak;180;None;Fairview;"{""type"": ""Point"", ""coordinates"": [-123.126433, 49.263555]}"
CVS035;Metro Core;2009;Charleson;Heather;90;None;Fairview;"{""type"": ""Point"", ""coordinates"": [-123.120398, 49.266317]}"
CVS036;Metro Core;2009;Cambie;W 6th;142;None;Fairview;"{""type"": ""Point"", ""coordinates"": [-123.1158, 49.266369]}"
CVS048;OT;2010;Cambie;SW Marine;90;None;Marpole;"{""type"": ""Point"", ""coordinates"": [-123.116983, 49.210362]}"
CVS049;DT;2009;Cardero;Robson;45;West End;West End;"{""type"": ""Point"", ""coordinates"": [-123.13246, 49.289409]}"
CVS054;DT;2009;Bute;Seaside (Coal Harbour);30;None;Downtown;"{""type"": ""Point"", ""coordinates"": [-123.121116, 49.29022]}"
CVS055;DT;2009;Bute;W Hastings;135;Downtown Vancouver;Downtown;"{""type"": ""Point"", ""coordinates"": [-123.122692, 49.288939]}"
CVS059;DT;2009;Thurlow;Seaside (False Creek);71;None;West End;"{""type"": ""Point"", ""coordinates"": [-123.136213, 49.277313]}"
CVS061;DT;2009;Water;Cambie;13;Gastown;Downtown;"{""type"": ""Point"", ""coordinates"": [-123.108609, 49.284229]}"
CVS063;DT;2009;Main;E Hastings;90;Chinatown;Strathcona;"{""type"": ""Point"", ""coordinates"": [-123.099463, 49.281172]}"
CVS064;OT;2009;E Hastings;Renfrew;180;Hastings North;Hastings-Sunrise;"{""type"": ""Point"", ""coordinates"": [-123.043917, 49.281288]}"
CVS065;OT;2010;Commercial;Adanac;90;None;Grandview-Woodland;"{""type"": ""Point"", ""coordinates"": [-123.069801, 49.277475]}"
CVS076;DT;2009;Main;E Pender;90;Chinatown;Downtown;"{""type"": ""Point"", ""coordinates"": [-123.099833, 49.280511]}"
CVS083;Metro Core;2009;Spyglass;Seaside (False Creek);90;None;Fairview;"{""type"": ""Point"", ""coordinates"": [-123.115169, 49.270977]}"
CVS087;Metro Core;2009;Creekside;W 1st;70;None;Fairview;"{""type"": ""Point"", ""coordinates"": [-123.14016, 49.271494]}"
CVS088;Metro Core;2009;W 1st;Fir;65;None;Fairview;"{""type"": ""Point"", ""coordinates"": [-123.1411, 49.2705]}"
CVS089;Metro Core;2009;Whyte;Seaside (Burrard Civic Marina);109;None;Kitsilano;"{""type"": ""Point"", ""coordinates"": [-123.139893, 49.275258]}"
CVS091;Metro Core;2009;Cornwall;Chestnut;155;None;Kitsilano;"{""type"": ""Point"", ""coordinates"": [-123.145691, 49.272659]}"
CVS094;DT;2009;Davie;Thurlow;45;West End;West End;"{""type"": ""Point"", ""coordinates"": [-123.131138, 49.280501]}"
CVS097;DT;2009;Seymour;Seaside (False Creek);135;None;Downtown;"{""type"": ""Point"", ""coordinates"": [-123.130732, 49.272644]}"
CVS098;DT;2009;Pacific;Davie;70;Yaletown;Downtown;"{""type"": ""Point"", ""coordinates"": [-123.121385, 49.27385]}"
CVS103;DT;2009;Marinaside;Cooperage Way;94;None;Downtown;"{""type"": ""Point"", ""coordinates"": [-123.114612, 49.273703]}"
CVS109;OT;2009;Main;E 27th;90;None;Riley Park;"{""type"": ""Point"", ""coordinates"": [-123.1013, 49.247137]}"
CVS118;DT;2009;Bidwell;Beach;90;None;West End;"{""type"": ""Point"", ""coordinates"": [-123.142932, 49.284614]}"
CVS120;DT;2009;Thurlow;W Hastings;134;Downtown Vancouver;Downtown;"{""type"": ""Point"", ""coordinates"": [-123.119502, 49.288022]}"
CVS126;OT;2009;E Hastings;Penticton;180;Hastings North;Hastings-Sunrise;"{""type"": ""Point"", ""coordinates"": [-123.052103, 49.281029]}"
CVS127;OT;2009;E Hastings;Kamloops;180;Hastings North;Hastings-Sunrise;"{""type"": ""Point"", ""coordinates"": [-123.054712, 49.281288]}"
CVS128;OT;2009;E Hastings;Windermere (Playland);90;None;Hastings-Sunrise;"{""type"": ""Point"", ""coordinates"": [-123.036351, 49.281253]}"
CVS130;OT;2010;Fraser;E 44th;90;South Hill (Fraser Street);Sunset;"{""type"": ""Point"", ""coordinates"": [-123.090761, 49.230203]}"
CVS131;OT;2009;Main;E 30th;90;None;Riley Park;"{""type"": ""Point"", ""coordinates"": [-123.101205, 49.243567]}"
CVS132;Metro Core;2010;Main;E 22nd;90;None;Riley Park;"{""type"": ""Point"", ""coordinates"": [-123.100829, 49.251253]}"
CVS134;Metro Core;2010;Main;E 12th;90;Mount Pleasant;Mount Pleasant;"{""type"": ""Point"", ""coordinates"": [-123.100903, 49.260026]}"
CVS135;Metro Core;2010;Main;E 1st;90;None;Mount Pleasant;"{""type"": ""Point"", ""coordinates"": [-123.100868, 49.270204]}"
CVS136;OT;2010;Victoria;E 41st;90;Victoria Drive;Victoria-Fraserview;"{""type"": ""Point"", ""coordinates"": [-123.065408, 49.232588]}"
CVS143;DT;2009;Chilco;Alberni;135;None;;"{""type"": ""Point"", ""coordinates"": [-123.137357, 49.294142]}"
CVS145;OT;2010;Victoria;E 44th;90;Victoria Drive;Victoria-Fraserview;"{""type"": ""Point"", ""coordinates"": [-123.065451, 49.230457]}"
CVS147;DT;2012;Granville;Georgia;135;Downtown Vancouver;Downtown;"{""type"": ""Point"", ""coordinates"": [-123.118362, 49.282531]}"
CVS151;DT;2015;Chilco;Seawall/Beach;48;None;West End;"{""type"": ""Point"", ""coordinates"": [-123.1448, 49.289463]}"
CVS152;DT;2015;Robson;Nicola;45;West End;West End;"{""type"": ""Point"", ""coordinates"": [-123.13116, 49.288802]}"
CVS161;DT;2015;Georgia;Howe;45;Downtown Vancouver;Downtown;"{""type"": ""Point"", ""coordinates"": [-123.119361, 49.283126]}"
CVS175;Metro Core;2015;Princess;Hastings;180;Strathcona;Strathcona;"{""type"": ""Point"", ""coordinates"": [-123.091736, 49.281299]}"
CVS177;Metro Core;2015;Granville;W Broadway;90;South Granville;Fairview;"{""type"": ""Point"", ""coordinates"": [-123.138692, 49.263778]}"
CVS178;Metro Core;2015;W Broadway;Heather;180;None;Fairview;"{""type"": ""Point"", ""coordinates"": [-123.120068, 49.263211]}"
CVS179;Metro Core;2015;Fraser;E Broadway;180;None;Mount Pleasant;"{""type"": ""Point"", ""coordinates"": [-123.089325, 49.262605]}"
CVS181;Metro Core;2015;Hastings;Clark;180;Strathcona;Grandview-Woodland;"{""type"": ""Point"", ""coordinates"": [-123.076909, 49.281196]}"
CVS183;OT;2015;Hastings;Nanaimo;180;Hastings North;Grandview-Woodland;"{""type"": ""Point"", ""coordinates"": [-123.056826, 49.281257]}"
CVS190;OT;2015;Victoria;E 49th;90;Victoria Drive;Victoria-Fraserview;"{""type"": ""Point"", ""coordinates"": [-123.065857, 49.225302]}"
CVS192;OT;2015;Point Grey Rd;Jericho Beach Park;180;None;West Point Grey;"{""type"": ""Point"", ""coordinates"": [-123.190941, 49.271343]}"
CVS198;DT;2015;Burrard;Robson;45;Robson Street;Downtown;"{""type"": ""Point"", ""coordinates"": [-123.122811, 49.283133]}"
CVP004;DT;2009;W Hastings;Hornby;134;Downtown Vancouver;Downtown;"{""type"": ""Point"", ""coordinates"": [-123.115738, 49.286627]}"
CVP011;DT;2009;Denman;Beach;5;None;West End;"{""type"": ""Point"", ""coordinates"": [-123.142453, 49.286915]}"
CVP012;DT;2009;Robson;Bute;95;Robson Street;West End;"{""type"": ""Point"", ""coordinates"": [-123.126744, 49.285941]}"
CVP014;DT;2009;Dunsmuir;Granville;45;Downtown Vancouver;Downtown;"{""type"": ""Point"", ""coordinates"": [-123.116622, 49.283662]}"
CVP016;DT;2009;Georgia;Hornby;264;Downtown Vancouver;Downtown;"{""type"": ""Point"", ""coordinates"": [-123.120004, 49.283578]}"
CVP017;DT;2009;Georgia;Howe;88;Downtown Vancouver;Downtown;"{""type"": ""Point"", ""coordinates"": [-123.118831, 49.283103]}"
CVP020;DT;2009;Canada Place;Thurlow;78;Downtown Vancouver;Downtown;"{""type"": ""Point"", ""coordinates"": [-123.11838, 49.288868]}"
CVP024;Metro Core;2010;Granville;W Broadway;270;South Granville;Fairview;"{""type"": ""Point"", ""coordinates"": [-123.138711, 49.26342]}"
CVP028;DT;2009;Robson;1000 block;43;Robson Street;West End;"{""type"": ""Point"", ""coordinates"": [-123.123691, 49.283977]}"
CVS002;OT;2010;Alma;W 4th;180;None;Kitsilano;"{""type"": ""Point"", ""coordinates"": [-123.185541, 49.268738]}"
CVS011;Metro Core;2010;W Broadway;Macdonald;180;West Broadway;Kitsilano;"{""type"": ""Point"", ""coordinates"": [-123.168084, 49.264205]}"
CVS015;Metro Core;2010;W Broadway;Arbutus;90;None;Kitsilano;"{""type"": ""Point"", ""coordinates"": [-123.152808, 49.263651]}"
CVS020;Metro Core;2009;W 1st;Burrard;90;None;Kitsilano;"{""type"": ""Point"", ""coordinates"": [-123.145697, 49.270576]}"
CVS022;Metro Core;2010;W Broadway;Burrard;180;None;Fairview;"{""type"": ""Point"", ""coordinates"": [-123.145552, 49.263846]}"
CVS023;Metro Core;2009;Lamey's Mill;Anderson;131;None;Fairview;"{""type"": ""Point"", ""coordinates"": [-123.137818, 49.269605]}"
CVS027;Metro Core;2009;Granville;W 10th;90;South Granville;Fairview;"{""type"": ""Point"", ""coordinates"": [-123.138398, 49.262581]}"
CVS029;OT;2010;Granville;W 70th;90;Marpole;Marpole;"{""type"": ""Point"", ""coordinates"": [-123.140341, 49.208711]}"
