source_column,match_column
0041.Location,0037.LOCATION
0047.geometry,0050_comma.Geom
0089.Location,
0041.Longitude,0037.LONGITUDE
0047.BLD_DESC,
0089.Longitude,
0041.Latitude,0037.LATITUDE
0047.FLR_ABV_GR,
0089.Latitude,
0041.Sunday Close,
0047.BLD_FORM,
0089.Y-coordinate,
0041.Sunday Open,
0047.SCATTERED,
0089.X-coordinate,
0041.Saturday Close,
0047.YR_BUILT,
0089.Category Description,0068.Crm Cd Desc
0041.Saturday Open,
0047.RGI_UNITS,
0089.UCR Category,
0041.Friday Close,
0047.MRKT_UNIT,
0089.Clearance Date,
0041.Friday Open,
0047.TTL_RES_UNIT,
0089.Clearance Status,0068.Status
0041.Thursday Close,
0047.PSTL_CODE,
0089.Census Tract,
0041.Thursday Open,
0047.POLICE_DIV,
0089.PRA,
0041.Wednesday Close,
0047.NGHBRHD_NUM,
0089.APD District,0068.AREA 
0041.Wednesday Open,
0047.DEV_NAME,
0089.APD Sector,0068.AREA NAME
0041.Tuesday Close,
0047.DEV_ID,
0089.Council District,
0041.Tuesday Open,
0047.BLD_ID,
0089.Zip Code,
0041.Monday Close,
0047.OBJECTID,
0089.Address,
0041.Monday Open,
0047._id,
0089.Location Type,0068.Premis Desc
0041.Free WiFi,
0089.Report Time,
0041.Phone Number,
0089.Report Date,0068.Date Rptd
0041.Postal Code,0037.POSTAL_CODE
0089.Report Date Time,0068.Date Rptd
0041.Address,0037.ADDRESS
0089.Occurred Time,0068.TIME OCC
0041.Branch,
0089.Occurred Date,0068.DATE OCC
0041.Branch ID,
0089.Occurred Date Time,0068.DATE OCC
0089.Family Violence,
0089.Highest Offense Code,0068.Crm Cd
0089.Highest Offense Description,0068.Crm Cd Desc
0089.Incident Number,0068.DR_NO
0025.point,0027.Location
0025.Infrastructure,
0025.Traffic District,
0025.Activity Type,
0025.Description,
0025.Details,
0025.Duration,
0025.Impact,
0025.To Street,
0025.From Street,
0025.On Street,
0025.Closure,
0025.Status,
0025.Finish Date,
0025.Start Date,0027.Planned Start Date
0025.Date Issued,
0025.Disruption ID,
0101.Location,
0050.Geo Local Area,
0101.Longitude,
0050.Geom,
0101.Latitude,
0050.TotalUnits,
0101.Census Block Group,
0050.TOTALOUTSTANDING,
0101.Census Block,
0050.Street,
0101.Census Tract,
0050.StreetNumber,
0101.Police District,
0050.DetailURL,
0101.Council DIstrict,
0050.BUSINESSOPERATOR,
0101.Zip Code,
0101.State,
0101.City,
0101.Street,
0101.Address Number,
0101.Associate Supt. / Board of Ed. Member 2,
0101.Associate Supt. / Board of Ed. Member 1,
0101.Assistant Principal 4,
0101.Assistant Principal 3,
0101.Assistant Principal 2,
0101.Assistant Principal 1,
0101.Principal,
0101.Fax,
0101.Telephone,0099.PHONE
0101.End Time,
0101.Start Time,
0101.Maximum Grade,
0101.Minimum Grade,
0101.School Type,0099.CATEGORY
0101.School Number,
0101.School,0099.SCHOOL NAME
0023.Location1,0015.Location1
0061.Geo Local Area,
0023.Longitude,0015.Longitude
0061.Geom,
0023.Latitude,0015.Latitude
0061.MAPID,
0023.Link,0015.Link
0061.RUSH_HR,
0023.ContractorCompanyName,0015.ContractorCompanyName
0061.TIMEINEFFE,
0023.OriginalZip,0015.OriginalZip
0061.INTERSECTN,
0023.OriginalState,0015.OriginalState
0061.LOCATION,
0023.OriginalCity,0015.OriginalCity
0061.CREDITCARD,
0023.OriginalAddress1,0015.OriginalAddress1
0061.RATE_MISC,
0023.StatusCurrent,0015.StatusCurrent
0061.R_SU_6P_10,
0023.CompletedDate,0015.CompletedDate
0061.R_SU_9A_6P,
0023.ExpiresDate,0015.ExpiresDate
0061.R_SA_6P_10,
0023.IssuedDate,0015.IssuedDate
0061.R_SA_9A_6P,
0023.AppliedDate,0015.AppliedDate
0061.R_MF_6P_10,
0023.EstProjectCost,0015.EstProjectCost
0061.R_MF_9A_6P,
0023.Description,0015.Description
0061.TIME_MISC,
0023.PermitTypeMapped,0015.PermitTypeMapped
0061.T_SU_6P_10,
0023.PermitType,
0061.T_SU_9A_6P,
0023.PermitClassMapped,0015.PermitClassMapped
0061.T_SA_6P_10,
0023.PermitClass,0015.PermitClass
0061.T_SA_9A_6P,
0023.PermitNum,0015.PermitNum
0061.T_MF_6P_10,
0061.T_MF_9A_6P,
0061.TYPE,
0021.Mapped Location,
0048.geometry,0037.LOCATION
0079.LONGITUDE,0080.Longitude
0021.Longitude,
0048.STATUS,
0079.LATITUDE,0080.Latitude
0021.Latitude,
0048.TCDSB_LEVEL,0037.GRADE_LEVEL
0079.ADDRESS,
0021.Description,
0048.POSTAL_CODE,0037.POSTAL_CODE
0079.STATUS,
0021.Type,
0048.MUNICIPALITY,
0079.AVAILABLE BIKES,
0021.Medium,
0048.ADDRESS_FULL,0037.ADDRESS
0079.AVAILABLE BIKE STANDS,
0021.Location,
0048.SCH_NAME,0037.SCHOOL_NAME
0079.BIKE STANDS,
0021.Artist First Name,
0048.TCDSB_CODE,
0079.NAME,
0021.Artist Last Name,
0048.OBJECTID,
0079.LAST UPDATED,
0021.Title,
0048._id,
0079.TIME,
0079.STATION ID,
0038.Location,0033.Point Location
0049_comma.Geom,0028.Location
0090.Mapped Location,
0038.Longitude,0033.Longitude
0049_comma.ExtractDate,0028.Issue Date
0090.OA_CMNT,
0038.Latitude,0033.Latitude
0049_comma.FeePaid,
0090.CMNT_2,
0038.Warning Type 2,
0049_comma.NumberofEmployees,
0090.CPL_CW_2,
0038.Warning Type 1,
0049_comma.LocalArea,0028.Neighbourhood
0090.CPL_CW_1,
0038.Neighbourhood,0033.Neighbourhood
0049_comma.PostalCode,0028.Address
0090.CPL_HGT,
0038.Name of Historic Resource,
0049_comma.Country,
0090.CPL_SEP,
0038.Construction Completion Year,
0049_comma.Province,
0090.CPL_PLACE,
0038.Building Address,
0049_comma.City,0028.Neighbourhood
0090.CPL_PROX,
0049_comma.Street,0028.Address
0090.CPL_LDG,
0049_comma.House,
0090.CMNT_1,
0049_comma.UnitType,
0090.CPL_AUD,
0049_comma.Unit,
0090.CPL_VIS,
0049_comma.BusinessSubType,0028.Category
0090.CPL_CTRST,
0049_comma.BusinessType,0028.Category
0090.CPL_OP,
0049_comma.ExpiredDate,0028.Expiry Date
0090.CPL_FORCE,
0049_comma.IssuedDate,0028.Issue Date
0090.CPL_SIZE,
0049_comma.Status,0028.Licence Status
