source_column,match_column
0046.geometry,
0046.ObjectId,
0046.Long,0010.Longitude
0046.Lat,0010.Latitude
0046.Neighbourhood,
0046.Hood_ID,
0046.Status,
0046.Cost_of_Bike,
0046.Bike_Colour,
0046.Bike_Speed,
0046.Bike_Type,
0046.Bike_Model,
0046.Bike_Make,
0046.Premise_Type,
0046.Location_Type,
0046.City,
0046.Division,
0046.Occurrence_Time,0010.Date Time
0046.Occurrence_Day,0010.Date Time
0046.Occurrence_Month,0010.Date Time
0046.Occurrence_Year,0010.Date Time
0046.Occurrence_Date,0010.Date Time
0046.Primary_Offence,
0046.event_unique_id,
0046.Index_,
0046._id,
0101.Location,
0049_comma.Geom,0028.Location
0101.Longitude,
0049_comma.ExtractDate,0028.Issue Date
0101.Latitude,
0049_comma.FeePaid,
0101.Census Block Group,
0049_comma.NumberofEmployees,
0101.Census Block,
0049_comma.LocalArea,0028.Business Improvement Area
0101.Census Tract,
0049_comma.PostalCode,
0101.Police District,
0049_comma.Country,
0101.Council DIstrict,
0049_comma.Province,
0101.Zip Code,
0049_comma.City,
0101.State,
0049_comma.Street,0028.Address
0101.City,
0049_comma.House,0028.Address
0101.Street,
0049_comma.UnitType,
0101.Address Number,
0049_comma.Unit,
0101.Associate Supt. / Board of Ed. Member 2,
0049_comma.BusinessSubType,0028.Category
0101.Associate Supt. / Board of Ed. Member 1,
0049_comma.BusinessType,0028.Category
0101.Assistant Principal 4,
0049_comma.ExpiredDate,0028.Expiry Date
0101.Assistant Principal 3,
0049_comma.IssuedDate,0028.Issue Date
0101.Assistant Principal 2,
0049_comma.Status,0028.Licence Status
0101.Assistant Principal 1,
0049_comma.BusinessTradeName,0028.Trade Name
0101.Principal,
0049_comma.BusinessName,0028.Trade Name
0101.Fax,
0049_comma.LicenceRevisionNumber,
0101.Telephone,
0049_comma.LicenceNumber,0028.Licence Number
0101.End Time,
0049_comma.LicenceRSN,
0101.Start Time,
0049_comma.FOLDERYEAR,
0101.Maximum Grade,
0101.Minimum Grade,
0101.School Type,0099.CATEGORY
0101.School Number,
0101.School,0099.SCHOOL NAME
