source_column,match_column
student_data.G3,
student_data.G2,
student_data.G1,
student_data.absences,
student_data.health,
student_data.Walc,
student_data.Dalc,
student_data.goout,
student_data.freetime,
student_data.famrel,
student_data.romantic,
student_data.internet,student_info.internet_access
student_data.higher,
student_data.nursery,
student_data.activities,student_info.extra_activities
student_data.paid,
student_data.famsup,
student_data.schoolsup,
student_data.failures,
student_data.studytime,student_info.study_hours
student_data.traveltime,
student_data.guardian,
student_data.reason,
student_data.Fjob,
student_data.Mjob,
student_data.Fedu,
student_data.Medu,
student_data.Pstatus,
student_data.famsize,
student_data.address,
student_data.age,student_info.age
student_data.sex,student_info.gender
student_data.school,
