source_column,true_match
Airbnb Listings.availability_365,
Airbnb Listings.calculated_host_listings_count,
Airbnb Listings.reviews_per_month,spring23_final_train_with_price.reviews_per_month
Airbnb Listings.last_review,spring23_final_train_with_price.last_review
Airbnb Listings.number_of_reviews,spring23_final_train_with_price.number_of_reviews
Airbnb Listings.minimum_nights,spring23_final_train_with_price.minimum_nights
Airbnb Listings.price,spring23_final_train_with_price.price
Airbnb Listings.room_type,spring23_final_train_with_price.room_type
Airbnb Listings.longitude,spring23_final_train_with_price.longitude
Airbnb Listings.latitude,spring23_final_train_with_price.latitude
Airbnb Listings.neighbourhood,spring23_final_train_with_price.neighbourhood
Airbnb Listings.neighbourhood_group,spring23_final_train_with_price.neighbourhood_group
Airbnb Listings.host_name,spring23_final_train_with_price.host_name
Airbnb Listings.host_id,spring23_final_train_with_price.host_id
Airbnb Listings.name,spring23_final_train_with_price.name
Airbnb Listings.id,spring23_final_train_with_price.id
Airbnb Listings.index,
