source_column,true_match
Cancelled_Diverted_2023.Delay_LastAircraft,
Cancelled_Diverted_2023.Delay_Security,
Cancelled_Diverted_2023.Delay_NAS,
Cancelled_Diverted_2023.Delay_Weather,
Cancelled_Diverted_2023.Delay_Carrier,
Cancelled_Diverted_2023.Distance_type,
Cancelled_Diverted_2023.Flight_Duration,
Cancelled_Diverted_2023.Arr_Delay_Type,
Cancelled_Diverted_2023.Arr_Delay,
Cancelled_Diverted_2023.Arr_CityName,
Cancelled_Diverted_2023.Arr_Airport,flight_delays_sample1000.Destination
Cancelled_Diverted_2023.Dep_Delay_Type,
Cancelled_Diverted_2023.Dep_Delay_Tag,
Cancelled_Diverted_2023.Dep_Delay,
Cancelled_Diverted_2023.DepTime_label,
Cancelled_Diverted_2023.Dep_CityName,
Cancelled_Diverted_2023.Dep_Airport,flight_delays_sample1000.Origin
Cancelled_Diverted_2023.Diverted,flight_delays_sample1000.Diverted
Cancelled_Diverted_2023.Cancelled,flight_delays_sample1000.Cancelled
Cancelled_Diverted_2023.Tail_Number,flight_delays_sample1000.TailNumber
Cancelled_Diverted_2023.Airline,flight_delays_sample1000.Airline
Cancelled_Diverted_2023.Day_Of_Week,
Cancelled_Diverted_2023.FlightDate,
