source_column,match_column
0023.Location1,
0023.Longitude,
0023.Latitude,
0023.Link,
0023.ContractorCompanyName,
0023.OriginalZip,
0023.OriginalState,
0023.OriginalCity,
0023.OriginalAddress1,
0023.StatusCurrent,
0023.CompletedDate,
0023.ExpiresDate,
0023.IssuedDate,
0023.AppliedDate,
0023.EstProjectCost,
0023.Description,0015.Description
0023.PermitTypeMapped,0015.PermitTypeMapped
0023.PermitType,
0023.PermitClassMapped,0015.PermitClassMapped
0023.PermitClass,0015.PermitClass
0023.PermitNum,0015.PermitNum
